generation,fitness
1,"(11948.92,)"
2,"(11165.72,)"
3,"(10233.45,)"
4,"(10233.45,)"
5,"(10000.0,)"
6,"(9427.94,)"
7,"(9427.94,)"
8,"(9427.94,)"
9,"(9427.03,)"
10,"(9401.43,)"
11,"(9401.43,)"
12,"(9401.43,)"
13,"(9232.11,)"
14,"(9232.11,)"
15,"(9232.11,)"
16,"(9232.11,)"
17,"(9164.57,)"
18,"(9164.57,)"
19,"(9164.57,)"
20,"(9164.57,)"
21,"(9137.23,)"
22,"(9097.98,)"
23,"(8987.23,)"
24,"(8972.46,)"
25,"(8944.65,)"
26,"(8852.51,)"
27,"(8852.51,)"
28,"(8852.51,)"
29,"(8852.51,)"
30,"(8852.51,)"
31,"(8852.51,)"
32,"(8852.51,)"
33,"(8778.94,)"
34,"(8778.94,)"
35,"(8778.94,)"
36,"(8778.94,)"
37,"(8778.94,)"
38,"(8778.94,)"
39,"(8757.51,)"
40,"(8629.64,)"
41,"(8629.64,)"
42,"(8629.64,)"
43,"(8629.64,)"
44,"(8629.64,)"
45,"(8629.64,)"
46,"(8629.64,)"
47,"(8629.64,)"
48,"(8629.64,)"
49,"(8629.64,)"
50,"(8609.08,)"
51,"(8609.08,)"
52,"(8609.08,)"
53,"(8609.08,)"
54,"(8609.08,)"
55,"(8609.08,)"
56,"(8609.08,)"
57,"(8609.08,)"
58,"(8609.08,)"
59,"(8609.08,)"
60,"(8609.08,)"
61,"(8609.08,)"
62,"(8609.08,)"
63,"(8609.08,)"
64,"(8566.33,)"
65,"(8566.33,)"
66,"(8566.33,)"
67,"(8566.33,)"
68,"(8566.33,)"
69,"(8566.33,)"
70,"(8566.33,)"
71,"(8566.33,)"
72,"(8566.33,)"
73,"(8566.33,)"
74,"(8545.77,)"
75,"(8545.77,)"
76,"(8545.77,)"
77,"(8545.77,)"
78,"(8545.77,)"
79,"(8545.77,)"
80,"(8545.77,)"
81,"(8545.77,)"
82,"(8545.77,)"
83,"(8545.77,)"
84,"(8545.77,)"
85,"(8545.77,)"
86,"(8545.77,)"
87,"(8545.77,)"
88,"(8545.77,)"
89,"(8545.77,)"
90,"(8545.77,)"
91,"(8545.77,)"
92,"(8545.77,)"
93,"(8545.77,)"
94,"(8545.77,)"
95,"(8545.77,)"
96,"(8545.77,)"
97,"(8545.77,)"
98,"(8545.77,)"
99,"(8545.77,)"
100,"(8545.77,)"
101,"(8545.77,)"
