generation,fitness
1,"(11511.43,)"
2,"(11151.54,)"
3,"(10491.29,)"
4,"(10491.29,)"
5,"(10470.71,)"
6,"(9821.31,)"
7,"(9821.31,)"
8,"(9691.98,)"
9,"(9441.75,)"
10,"(9294.83,)"
11,"(9294.83,)"
12,"(9294.83,)"
13,"(9242.05,)"
14,"(9242.05,)"
15,"(9242.05,)"
16,"(9190.05,)"
17,"(9071.66,)"
18,"(9071.66,)"
19,"(9071.66,)"
20,"(9019.67,)"
21,"(9019.67,)"
22,"(9019.67,)"
23,"(9019.67,)"
24,"(9019.67,)"
25,"(9019.67,)"
26,"(9019.67,)"
27,"(9019.67,)"
28,"(9019.67,)"
29,"(9019.67,)"
30,"(9019.67,)"
31,"(9019.67,)"
32,"(9019.67,)"
33,"(8851.56,)"
34,"(8851.56,)"
35,"(8851.56,)"
36,"(8851.56,)"
37,"(8851.56,)"
38,"(8851.56,)"
39,"(8851.56,)"
40,"(8851.56,)"
41,"(8851.56,)"
42,"(8851.56,)"
43,"(8851.56,)"
44,"(8851.56,)"
45,"(8851.56,)"
46,"(8851.56,)"
47,"(8851.56,)"
48,"(8851.56,)"
49,"(8851.56,)"
50,"(8851.56,)"
51,"(8851.56,)"
52,"(8851.56,)"
53,"(8800.96,)"
54,"(8800.96,)"
55,"(8800.96,)"
56,"(8800.96,)"
57,"(8800.96,)"
58,"(8800.96,)"
59,"(8795.75,)"
60,"(8795.75,)"
61,"(8795.75,)"
62,"(8795.75,)"
63,"(8795.75,)"
64,"(8795.75,)"
65,"(8795.75,)"
66,"(8795.75,)"
67,"(8795.75,)"
68,"(8795.75,)"
69,"(8795.75,)"
70,"(8795.75,)"
71,"(8795.75,)"
72,"(8795.75,)"
73,"(8795.75,)"
74,"(8795.75,)"
75,"(8795.75,)"
76,"(8795.75,)"
77,"(8795.75,)"
78,"(8795.75,)"
79,"(8795.75,)"
80,"(8795.75,)"
81,"(8795.75,)"
82,"(8795.75,)"
83,"(8795.75,)"
84,"(8795.75,)"
85,"(8795.75,)"
86,"(8795.75,)"
87,"(8795.75,)"
88,"(8795.75,)"
89,"(8795.75,)"
90,"(8795.75,)"
91,"(8795.75,)"
92,"(8795.75,)"
93,"(8795.75,)"
94,"(8795.75,)"
95,"(8795.75,)"
96,"(8795.75,)"
97,"(8795.75,)"
98,"(8795.75,)"
99,"(8795.75,)"
100,"(8795.75,)"
101,"(8795.75,)"
102,"(8795.75,)"
103,"(8795.75,)"
104,"(8795.75,)"
105,"(8795.75,)"
106,"(8795.75,)"
107,"(8795.75,)"
108,"(8795.75,)"
109,"(8795.75,)"
110,"(8795.75,)"
111,"(8795.75,)"
112,"(8795.75,)"
113,"(8795.75,)"
114,"(8795.75,)"
115,"(8795.75,)"
116,"(8795.75,)"
117,"(8795.75,)"
118,"(8795.75,)"
119,"(8795.75,)"
120,"(8795.75,)"
121,"(8795.75,)"
122,"(8795.75,)"
123,"(8795.75,)"
124,"(8795.75,)"
125,"(8795.75,)"
126,"(8795.75,)"
127,"(8795.75,)"
128,"(8795.75,)"
129,"(8795.75,)"
130,"(8795.75,)"
131,"(8795.75,)"
132,"(8795.75,)"
133,"(8795.75,)"
134,"(8795.75,)"
135,"(8795.75,)"
136,"(8795.75,)"
137,"(8795.75,)"
138,"(8795.75,)"
139,"(8795.75,)"
140,"(8795.75,)"
141,"(8795.75,)"
142,"(8795.75,)"
143,"(8795.75,)"
144,"(8795.75,)"
145,"(8795.75,)"
146,"(8795.75,)"
147,"(8795.75,)"
148,"(8795.75,)"
149,"(8795.75,)"
150,"(8795.75,)"
151,"(8795.75,)"
152,"(8795.75,)"
153,"(8795.75,)"
154,"(8795.75,)"
155,"(8795.75,)"
156,"(8795.75,)"
157,"(8795.75,)"
158,"(8795.75,)"
159,"(8795.75,)"
160,"(8795.75,)"
161,"(8795.75,)"
162,"(8795.75,)"
163,"(8795.75,)"
164,"(8795.75,)"
165,"(8795.75,)"
166,"(8795.75,)"
167,"(8795.75,)"
168,"(8795.75,)"
169,"(8795.75,)"
170,"(8795.75,)"
171,"(8795.75,)"
172,"(8795.75,)"
173,"(8795.75,)"
174,"(8795.75,)"
175,"(8795.75,)"
