generation,fitness
1,"(11948.92,)"
2,"(11662.4,)"
3,"(10758.85,)"
4,"(10590.81,)"
5,"(10590.81,)"
6,"(10463.16,)"
7,"(10463.16,)"
8,"(10349.05,)"
9,"(10349.05,)"
10,"(9798.11,)"
11,"(9798.11,)"
12,"(9676.19,)"
13,"(9676.19,)"
14,"(9417.51,)"
15,"(9417.51,)"
16,"(9242.81,)"
17,"(9242.81,)"
18,"(9242.81,)"
19,"(9240.52,)"
20,"(9240.52,)"
21,"(9240.52,)"
22,"(9240.52,)"
23,"(9240.52,)"
24,"(9240.52,)"
25,"(9240.52,)"
26,"(9239.95,)"
27,"(9239.95,)"
28,"(9239.95,)"
29,"(9239.95,)"
30,"(9239.95,)"
31,"(9239.95,)"
32,"(9239.95,)"
33,"(9103.04,)"
34,"(9103.04,)"
35,"(9103.04,)"
36,"(9103.04,)"
37,"(9103.04,)"
38,"(9103.04,)"
39,"(9103.04,)"
40,"(8859.36,)"
41,"(8859.36,)"
42,"(8859.36,)"
43,"(8859.36,)"
44,"(8859.36,)"
45,"(8722.44,)"
46,"(8722.44,)"
47,"(8722.44,)"
48,"(8722.44,)"
49,"(8722.44,)"
50,"(8722.44,)"
51,"(8722.44,)"
52,"(8640.46,)"
53,"(8640.46,)"
54,"(8640.46,)"
55,"(8640.46,)"
56,"(8640.46,)"
57,"(8640.46,)"
58,"(8640.46,)"
59,"(8640.46,)"
60,"(8640.46,)"
61,"(8640.46,)"
62,"(8640.46,)"
63,"(8640.46,)"
64,"(8640.46,)"
65,"(8640.46,)"
66,"(8640.46,)"
67,"(8640.46,)"
68,"(8640.46,)"
69,"(8640.46,)"
70,"(8640.46,)"
71,"(8640.46,)"
72,"(8640.46,)"
73,"(8640.46,)"
74,"(8640.46,)"
75,"(8640.46,)"
76,"(8640.46,)"
77,"(8640.46,)"
78,"(8640.46,)"
79,"(8640.46,)"
80,"(8640.46,)"
81,"(8640.46,)"
82,"(8640.46,)"
83,"(8640.46,)"
84,"(8640.46,)"
85,"(8640.46,)"
86,"(8640.46,)"
87,"(8640.46,)"
88,"(8640.46,)"
89,"(8640.46,)"
90,"(8640.46,)"
91,"(8640.46,)"
92,"(8640.46,)"
93,"(8640.46,)"
94,"(8640.46,)"
95,"(8640.46,)"
96,"(8640.46,)"
97,"(8640.46,)"
98,"(8640.46,)"
99,"(8640.46,)"
100,"(8640.46,)"
101,"(8640.46,)"
102,"(8640.46,)"
103,"(8640.46,)"
104,"(8640.46,)"
105,"(8640.46,)"
106,"(8640.46,)"
107,"(8640.46,)"
