generation,fitness
1,"(11948.92,)"
2,"(11602.53,)"
3,"(10846.67,)"
4,"(10241.02,)"
5,"(9817.2,)"
6,"(9817.2,)"
7,"(9817.2,)"
8,"(9337.69,)"
9,"(9337.69,)"
10,"(9012.22,)"
11,"(8920.1,)"
12,"(8920.1,)"
13,"(8920.1,)"
14,"(8759.38,)"
15,"(8759.38,)"
16,"(8759.38,)"
17,"(8759.38,)"
18,"(8759.38,)"
19,"(8759.38,)"
20,"(8759.38,)"
21,"(8759.38,)"
22,"(8759.38,)"
23,"(8759.38,)"
24,"(8759.38,)"
25,"(8759.38,)"
26,"(8759.38,)"
27,"(8718.38,)"
28,"(8718.38,)"
29,"(8718.38,)"
30,"(8718.38,)"
31,"(8718.38,)"
32,"(8619.79,)"
33,"(8619.79,)"
34,"(8619.79,)"
35,"(8619.79,)"
36,"(8619.79,)"
37,"(8619.79,)"
38,"(8619.79,)"
39,"(8619.79,)"
40,"(8619.79,)"
41,"(8619.79,)"
42,"(8619.79,)"
43,"(8619.79,)"
44,"(8619.79,)"
45,"(8619.79,)"
46,"(8619.79,)"
47,"(8619.79,)"
48,"(8619.79,)"
49,"(8619.79,)"
50,"(8619.79,)"
51,"(8619.79,)"
52,"(8619.79,)"
53,"(8619.79,)"
54,"(8619.79,)"
55,"(8619.79,)"
56,"(8619.79,)"
57,"(8619.79,)"
58,"(8619.79,)"
59,"(8619.79,)"
60,"(8619.79,)"
61,"(8619.79,)"
62,"(8619.79,)"
63,"(8619.79,)"
64,"(8619.79,)"
65,"(8619.79,)"
66,"(8619.79,)"
67,"(8619.79,)"
68,"(8619.79,)"
69,"(8619.79,)"
70,"(8619.79,)"
71,"(8619.79,)"
72,"(8619.79,)"
73,"(8619.79,)"
74,"(8619.79,)"
75,"(8619.79,)"
76,"(8619.79,)"
77,"(8619.79,)"
78,"(8619.79,)"
79,"(8619.79,)"
80,"(8619.79,)"
81,"(8619.79,)"
82,"(8619.79,)"
83,"(8619.79,)"
84,"(8619.79,)"
85,"(8619.79,)"
86,"(8619.79,)"
87,"(8619.79,)"
88,"(8619.79,)"
89,"(8619.79,)"
90,"(8619.79,)"
91,"(8619.79,)"
92,"(8619.79,)"
93,"(8619.79,)"
94,"(8619.79,)"
