迭代：69，类型：定向，适应值：(7775.7489,)，车辆：12，距离：1974.874，满意度：82.07
迭代：70，类型：定向，适应值：(7757.3999,)，车辆：12，距离：1951.7，满意度：81.93
迭代：71，类型：定向，适应值：(7757.3999,)，车辆：12，距离：1951.7，满意度：81.93
迭代：72，类型：定向，适应值：(7742.6829,)，车辆：12，距离：1944.341，满意度：81.93
迭代：73，类型：定向，适应值：(7737.4389,)，车辆：12，距离：1948.719，满意度：82.0
迭代：74，类型：定向，适应值：(7729.4796,)，车辆：12，距离：1944.74，满意度：82.0
迭代：75，类型：定向，适应值：(7729.3919,)，车辆：12，距离：1944.696，满意度：82.0
迭代：76，类型：定向，适应值：(7704.6084,)，车辆：12，距离：1925.304，满意度：81.93
迭代：77，类型：定向，适应值：(7658.9564,)，车辆：12，距离：1909.478，满意度：82.0
迭代：78，类型：定向，适应值：(7658.9564,)，车辆：12，距离：1909.478，满意度：82.0
迭代：79，类型：定向，适应值：(7622.0537,)，车辆：12，距离：1891.027，满意度：82.0
迭代：80，类型：定向，适应值：(7622.0537,)，车辆：12，距离：1891.027，满意度：82.0
迭代：81，类型：定向，适应值：(7622.0537,)，车辆：12，距离：1891.027，满意度：82.0
迭代：82，类型：定向，适应值：(7622.0537,)，车辆：12，距离：1891.027，满意度：82.0
迭代：83，类型：定向，适应值：(7618.1569,)，车辆：12，距离：1889.078，满意度：82.0
迭代：84，类型：定向，适应值：(7618.1569,)，车辆：12，距离：1889.078，满意度：82.0
迭代：85，类型：定向，适应值：(7618.1569,)，车辆：12，距离：1889.078，满意度：82.0
迭代：86，类型：定向，适应值：(7618.1569,)，车辆：12，距离：1889.078，满意度：82.0
迭代：87，类型：定向，适应值：(7618.1569,)，车辆：12，距离：1889.078，满意度：82.0
迭代：88，类型：定向，适应值：(7601.8203,)，车辆：12，距离：1907.91，满意度：82.27
迭代：89，类型：定向，适应值：(7565.0709,)，车辆：12，距离：1909.535，满意度：82.47
迭代：90，类型：定向，适应值：(7565.0709,)，车辆：12，距离：1909.535，满意度：82.47
迭代：91，类型：定向，适应值：(7565.0709,)，车辆：12，距离：1909.535，满意度：82.47
迭代：92，类型：定向，适应值：(7565.0709,)，车辆：12，距离：1909.535，满意度：82.47
迭代：93，类型：定向，适应值：(7565.0709,)，车辆：12，距离：1909.535，满意度：82.47
迭代：94，类型：定向，适应值：(7564.2962,)，车辆：12，距离：1922.148，满意度：82.6
迭代：95，类型：定向，适应值：(7564.2962,)，车辆：12，距离：1922.148，满意度：82.6
迭代：96，类型：定向，适应值：(7564.2962,)，车辆：12，距离：1922.148，满意度：82.6
迭代：97，类型：定向，适应值：(7564.2962,)，车辆：12，距离：1922.148，满意度：82.6
迭代：98，类型：定向，适应值：(7463.858,)，车辆：12，距离：1891.929，满意度：82.8
迭代：99，类型：定向，适应值：(7463.858,)，车辆：12，距离：1891.929，满意度：82.8
迭代：100，类型：定向，适应值：(7463.858,)，车辆：12，距离：1891.929，满意度：82.8
迭代：101，类型：定向，适应值：(7463.858,)，车辆：12，距离：1891.929，满意度：82.8
迭代：102，类型：定向，适应值：(7463.858,)，车辆：12，距离：1891.929，满意度：82.8
迭代：103，类型：定向，适应值：(7455.7087,)，车辆：12，距离：1887.854，满意度：82.8
迭代：104，类型：定向，适应值：(7386.1,)，车辆：12，距离：1893.05，满意度：83.2
迭代：105，类型：定向，适应值：(7358.4124,)，车辆：12，距离：1879.206，满意度：83.2
迭代：106，类型：定向，适应值：(7358.4124,)，车辆：12，距离：1879.206，满意度：83.2
迭代：107，类型：定向，适应值：(7358.4124,)，车辆：12，距离：1879.206，满意度：83.2
迭代：108，类型：定向，适应值：(7358.4124,)，车辆：12，距离：1879.206，满意度：83.2
迭代：109，类型：定向，适应值：(7355.2931,)，车辆：12，距离：1877.647，满意度：83.2
迭代：110，类型：定向，适应值：(7345.7647,)，车辆：12，距离：1872.882，满意度：83.2
迭代：111，类型：定向，适应值：(7345.7647,)，车辆：12，距离：1872.882，满意度：83.2
迭代：112，类型：定向，适应值：(7345.7647,)，车辆：12，距离：1872.882，满意度：83.2
迭代：113，类型：定向，适应值：(7342.6455,)，车辆：12，距离：1871.323，满意度：83.2
迭代：114，类型：定向，适应值：(7342.6455,)，车辆：12，距离：1871.323，满意度：83.2
迭代：115，类型：定向，适应值：(7342.6455,)，车辆：12，距离：1871.323，满意度：83.2
迭代：116，类型：定向，适应值：(7342.6455,)，车辆：12，距离：1871.323，满意度：83.2
迭代：117，类型：定向，适应值：(7330.9821,)，车辆：12，距离：1852.491，满意度：83.07
迭代：118，类型：定向，适应值：(7330.9821,)，车辆：12，距离：1852.491，满意度：83.07
迭代：119，类型：定向，适应值：(7330.9821,)，车辆：12，距离：1852.491，满意度：83.07
迭代：120，类型：定向，适应值：(7330.9821,)，车辆：12，距离：1852.491，满意度：83.07
迭代：121，类型：定向，适应值：(7330.9821,)，车辆：12，距离：1852.491，满意度：83.07
迭代：122，类型：定向，适应值：(7330.9821,)，车辆：12，距离：1852.491，满意度：83.07
迭代：123，类型：定向，适应值：(7330.9821,)，车辆：12，距离：1852.491，满意度：83.07
迭代：124，类型：定向，适应值：(7330.9821,)，车辆：12，距离：1852.491，满意度：83.07
迭代：125，类型：定向，适应值：(7330.9821,)，车辆：12，距离：1852.491，满意度：83.07
迭代：126，类型：定向，适应值：(7330.9821,)，车辆：12，距离：1852.491，满意度：83.07
迭代：127，类型：定向，适应值：(7330.9821,)，车辆：12，距离：1852.491，满意度：83.07
迭代：128，类型：定向，适应值：(7328.0698,)，车辆：12，距离：1851.035，满意度：83.07
迭代：129，类型：定向，适应值：(7328.0698,)，车辆：12，距离：1851.035，满意度：83.07
迭代：130，类型：定向，适应值：(7328.0698,)，车辆：12，距离：1851.035，满意度：83.07
迭代：131，类型：定向，适应值：(7320.3932,)，车辆：12，距离：1847.197，满意度：83.07
迭代：132，类型：定向，适应值：(7317.3926,)，车辆：12，距离：1845.696，满意度：83.07
迭代：133，类型：定向，适应值：(7310.5891,)，车辆：12，距离：1842.295，满意度：83.07
