种群大小：50，变异率：0.02，类型：随机，迭代数：400，时间：12
迭代：22，时间：12，类型：随机，适应值：(17214.99,)，车辆：7，距离：168.6，满意度：100.0
迭代：23，时间：12，类型：随机，适应值：(16770.87,)，车辆：7，距离：164.2，满意度：100.0
迭代：24，时间：12，类型：随机，适应值：(16515.55,)，车辆：7，距离：161.7，满意度：100.0
迭代：25，时间：12，类型：随机，适应值：(16432.24,)，车辆：7，距离：160.8，满意度：100.0
迭代：26，时间：12，类型：随机，适应值：(16432.24,)，车辆：7，距离：160.8，满意度：100.0
迭代：27，时间：12，类型：随机，适应值：(16352.54,)，车辆：7，距离：160.0，满意度：100.0
迭代：28，时间：12，类型：随机，适应值：(16352.54,)，车辆：7，距离：160.0，满意度：100.0
迭代：29，时间：12，类型：随机，适应值：(15917.5,)，车辆：7，距离：155.7，满意度：100.0
迭代：30，时间：12，类型：随机，适应值：(15917.5,)，车辆：7，距离：155.7，满意度：100.0
迭代：31，时间：12，类型：随机，适应值：(15912.72,)，车辆：7，距离：155.6，满意度：100.0
迭代：32，时间：12，类型：随机，适应值：(15912.72,)，车辆：7，距离：155.6，满意度：100.0
迭代：33，时间：12，类型：随机，适应值：(15912.72,)，车辆：7，距离：155.6，满意度：100.0
迭代：34，时间：12，类型：随机，适应值：(15843.36,)，车辆：7，距离：154.9，满意度：100.0
迭代：35，时间：12，类型：随机，适应值：(15806.37,)，车辆：7，距离：154.6，满意度：100.0
迭代：36，时间：12，类型：随机，适应值：(15716.94,)，车辆：7，距离：153.7，满意度：100.0
迭代：37，时间：12，类型：随机，适应值：(15712.17,)，车辆：7，距离：153.6，满意度：100.0
迭代：38，时间：12，类型：随机，适应值：(15712.17,)，车辆：7，距离：153.6，满意度：100.0
迭代：39，时间：12，类型：随机，适应值：(15712.17,)，车辆：7，距离：153.6，满意度：100.0
迭代：40，时间：12，类型：随机，适应值：(15712.17,)，车辆：7，距离：153.6，满意度：100.0
迭代：41，时间：12，类型：随机，适应值：(15712.17,)，车辆：7，距离：153.6，满意度：100.0
迭代：42，时间：12，类型：随机，适应值：(15712.17,)，车辆：7，距离：153.6，满意度：100.0
迭代：43，时间：12，类型：随机，适应值：(15712.17,)，车辆：7，距离：153.6，满意度：100.0
迭代：44，时间：12，类型：随机，适应值：(15668.36,)，车辆：7，距离：153.2，满意度：100.0
迭代：45，时间：12，类型：随机，适应值：(15572.6,)，车辆：7，距离：151.7，满意度：99.5
迭代：46，时间：12，类型：随机，适应值：(15572.6,)，车辆：7，距离：151.7，满意度：99.5
迭代：47，时间：12，类型：随机，适应值：(15572.6,)，车辆：7，距离：151.7，满意度：99.5
迭代：48，时间：12，类型：随机，适应值：(15572.6,)，车辆：7，距离：151.7，满意度：99.5
迭代：49，时间：12，类型：随机，适应值：(15572.6,)，车辆：7，距离：151.7，满意度：99.5
迭代：50，时间：12，类型：随机，适应值：(15572.6,)，车辆：7，距离：151.7，满意度：99.5
迭代：51，时间：12，类型：随机，适应值：(15572.6,)，车辆：7，距离：151.7，满意度：99.5
迭代：52，时间：12，类型：随机，适应值：(15572.6,)，车辆：7，距离：151.7，满意度：99.5
迭代：53，时间：12，类型：随机，适应值：(15572.6,)，车辆：7，距离：151.7，满意度：99.5
迭代：54，时间：12，类型：随机，适应值：(15572.6,)，车辆：7，距离：151.7，满意度：99.5
迭代：55，时间：12，类型：随机，适应值：(15572.6,)，车辆：7，距离：151.7，满意度：99.5
迭代：56，时间：12，类型：随机，适应值：(15572.6,)，车辆：7，距离：151.7，满意度：99.5
迭代：57，时间：12，类型：随机，适应值：(15566.2,)，车辆：7，距离：151.7，满意度：99.5
迭代：58，时间：12，类型：随机，适应值：(15566.2,)，车辆：7，距离：151.7，满意度：99.5
迭代：59，时间：12，类型：随机，适应值：(15566.2,)，车辆：7，距离：151.7，满意度：99.5
迭代：60，时间：12，类型：随机，适应值：(15373.95,)，车辆：7，距离：148.2，满意度：98.0
迭代：61，时间：12，类型：随机，适应值：(15373.95,)，车辆：7，距离：148.2，满意度：98.0
迭代：62，时间：12，类型：随机，适应值：(15373.95,)，车辆：7，距离：148.2，满意度：98.0
迭代：63，时间：12，类型：随机，适应值：(15373.95,)，车辆：7，距离：148.2，满意度：98.0
迭代：64，时间：12，类型：随机，适应值：(15373.95,)，车辆：7，距离：148.2，满意度：98.0
迭代：65，时间：12，类型：随机，适应值：(15373.95,)，车辆：7，距离：148.2，满意度：98.0
迭代：66，时间：12，类型：随机，适应值：(15244.11,)，车辆：7，距离：146.9，满意度：98.0
迭代：67，时间：12，类型：随机，适应值：(15244.11,)，车辆：7，距离：146.9，满意度：98.0
迭代：68，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：69，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：70，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：71，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：72，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：73，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：74，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：75，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：76，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：77，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：78，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：79，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：80，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：81，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：82，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：83，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：84，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：85，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：86，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：87，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：88，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：89，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：90，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：91，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：92，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：93，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：94，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：95，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：96，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：97，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：98，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：99，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：100，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：101，时间：12，类型：随机，适应值：(15051.29,)，车辆：7，距离：145.0，满意度：98.0
迭代：102，时间：12，类型：随机，适应值：(14931.51,)，车辆：7，距离：143.8，满意度：98.0
迭代：103，时间：12，类型：随机，适应值：(14931.51,)，车辆：7，距离：143.8，满意度：98.0
迭代：104，时间：12，类型：随机，适应值：(14931.51,)，车辆：7，距离：143.8，满意度：98.0
迭代：105，时间：12，类型：随机，适应值：(14728.39,)，车辆：7，距离：141.8，满意度：98.0
