index,type,fitness,vehicle,distance,satisfaction
1,定向,9892.1794,13,1909.09,70.93
2,定向,9834.6182,13,1960.309,71.73
3,定向,9834.6182,13,1960.309,71.73
4,定向,9722.7662,13,2038.383,73.07
5,定向,9722.7662,13,2038.383,73.07
6,定向,9722.7662,13,2038.383,73.07
7,定向,9614.2312,13,2084.116,74.07
8,定向,9614.2312,13,2084.116,74.07
9,定向,9614.2312,13,2084.116,74.07
10,定向,9604.2845,13,2225.142,75.53
11,定向,9586.1874,13,2103.094,74.4
12,定向,9586.1874,13,2103.094,74.4
13,定向,9030.1089,13,2085.054,77.0
14,定向,9030.1089,13,2085.054,77.0
15,定向,9030.1089,13,2085.054,77.0
16,定向,9030.1089,13,2085.054,77.0
17,定向,9030.1089,13,2085.054,77.0
18,定向,8926.948,13,2033.474,77.0
19,定向,8530.7887,13,1915.394,77.8
20,定向,8530.7887,13,1915.394,77.8
21,定向,8487.5138,13,1973.757,78.6
22,定向,8487.5138,13,1973.757,78.6
23,定向,8487.5138,13,1973.757,78.6
24,定向,8487.5138,13,1973.757,78.6
25,定向,8473.8047,13,1966.902,78.6
26,定向,8473.8047,13,1966.902,78.6
27,定向,8472.4413,13,1966.221,78.6
28,定向,8472.4413,13,1966.221,78.6
29,定向,8371.3193,13,1742.66,76.87
30,定向,8371.3193,13,1742.66,76.87
31,定向,8371.3193,13,1742.66,76.87
32,定向,8371.3193,13,1742.66,76.87
33,定向,8176.4508,12,1915.225,79.47
34,定向,8176.4508,12,1915.225,79.47
35,定向,8072.6187,12,1863.309,79.47
36,定向,7931.9294,12,1865.965,80.2
37,定向,7931.9294,12,1865.965,80.2
38,定向,7931.9294,12,1865.965,80.2
39,定向,7931.9294,12,1865.965,80.2
40,定向,7804.211,12,1882.106,81.0
41,定向,7778.2347,12,1909.117,81.4
42,定向,7662.3753,12,1904.188,81.93
43,定向,7657.1815,12,1901.591,81.93
44,定向,7645.3477,12,1955.674,82.53
45,定向,7645.3477,12,1955.674,82.53
46,定向,7645.3477,12,1955.674,82.53
47,定向,7645.3477,12,1955.674,82.53
48,定向,7645.3477,12,1955.674,82.53
49,定向,7595.9697,13,2014.985,83.47
50,定向,7595.9697,13,2014.985,83.47
51,定向,7595.9697,13,2014.985,83.47
52,定向,7595.9697,13,2014.985,83.47
53,定向,7595.9697,13,2014.985,83.47
54,定向,7588.3391,12,1894.17,82.2
55,定向,7588.3391,12,1894.17,82.2
56,定向,7588.3391,12,1894.17,82.2
57,定向,7588.3391,12,1894.17,82.2
58,定向,7588.3391,12,1894.17,82.2
59,定向,7507.392,13,2030.696,84.07
60,定向,7507.392,13,2030.696,84.07
61,定向,7507.392,13,2030.696,84.07
62,定向,7507.392,13,2030.696,84.07
63,定向,7507.392,13,2030.696,84.07
64,定向,7507.392,13,2030.696,84.07
65,定向,7321.6675,12,1973.834,84.33
66,定向,7321.6675,12,1973.834,84.33
67,定向,7305.5631,12,1965.782,84.33
68,定向,7305.5631,12,1965.782,84.33
69,定向,7305.5631,12,1965.782,84.33
70,定向,7305.5631,12,1965.782,84.33
71,定向,7290.7564,12,1958.378,84.33
72,定向,7202.7065,12,1961.353,84.8
73,定向,7202.7065,12,1961.353,84.8
74,定向,6918.7677,12,1972.384,86.33
75,定向,6918.7677,12,1972.384,86.33
76,定向,6815.9112,12,1967.956,86.8
77,定向,6815.9112,12,1967.956,86.8
78,定向,6781.0415,12,1950.521,86.8
79,定向,6781.0415,12,1950.521,86.8
80,定向,6781.0415,12,1950.521,86.8
81,定向,6781.0415,12,1950.521,86.8
82,定向,6678.4525,13,2042.226,88.33
83,定向,6678.4525,13,2042.226,88.33
84,定向,6678.4525,13,2042.226,88.33
85,定向,6678.4525,13,2042.226,88.33
86,定向,6678.4525,13,2042.226,88.33
87,定向,6678.4525,13,2042.226,88.33
88,定向,6678.4525,13,2042.226,88.33
89,定向,6678.4525,13,2042.226,88.33
90,定向,6678.4525,13,2042.226,88.33
91,定向,6678.4525,13,2042.226,88.33
92,定向,6678.4525,13,2042.226,88.33
93,定向,6678.4525,13,2042.226,88.33
94,定向,6678.4525,13,2042.226,88.33
95,定向,6678.4525,13,2042.226,88.33
96,定向,6678.4525,13,2042.226,88.33
97,定向,6678.4525,13,2042.226,88.33
98,定向,6678.4525,13,2042.226,88.33
99,定向,6678.4525,13,2042.226,88.33
100,定向,6678.4525,13,2042.226,88.33
101,定向,6678.4525,13,2042.226,88.33
102,定向,6678.4525,13,2042.226,88.33
103,定向,6678.4525,13,2042.226,88.33
104,定向,6678.4525,13,2042.226,88.33
105,定向,6678.4525,13,2042.226,88.33
106,定向,6678.4525,13,2042.226,88.33
107,定向,6328.6076,12,1891.304,88.47
108,定向,6328.6076,12,1891.304,88.47
109,定向,6328.6076,12,1891.304,88.47
110,定向,6328.6076,12,1891.304,88.47
111,定向,6328.6076,12,1891.304,88.47
112,定向,6328.6076,12,1891.304,88.47
113,定向,6328.6076,12,1891.304,88.47
114,定向,6328.6076,12,1891.304,88.47
115,定向,6328.6076,12,1891.304,88.47
116,定向,6328.6076,12,1891.304,88.47
117,定向,6328.6076,12,1891.304,88.47
118,定向,6328.6076,12,1891.304,88.47
119,定向,6328.6076,12,1891.304,88.47
120,定向,6328.6076,12,1891.304,88.47
121,定向,6328.6076,12,1891.304,88.47
122,定向,6328.6076,12,1891.304,88.47
123,定向,6328.6076,12,1891.304,88.47
124,定向,6328.6076,12,1891.304,88.47
125,定向,6328.6076,12,1891.304,88.47
126,定向,6328.6076,12,1891.304,88.47
127,定向,6328.6076,12,1891.304,88.47
128,定向,6328.6076,12,1891.304,88.47
129,定向,6328.6076,12,1891.304,88.47
130,定向,6242.207,12,1821.103,88.2
131,定向,6242.207,12,1821.103,88.2
132,定向,6235.794,12,1817.897,88.2
133,定向,6235.794,12,1817.897,88.2
134,定向,6235.794,12,1817.897,88.2
135,定向,6184.4009,12,1972.2,90.0
136,定向,6184.4009,12,1972.2,90.0
137,定向,6184.4009,12,1972.2,90.0
138,定向,6184.4009,12,1972.2,90.0
139,定向,6184.4009,12,1972.2,90.0
140,定向,6132.6461,12,1946.323,90.0
141,定向,6132.6461,12,1946.323,90.0
142,定向,6132.6461,12,1946.323,90.0
143,定向,6132.6461,12,1946.323,90.0
144,定向,6132.6461,12,1946.323,90.0
145,定向,6132.6461,12,1946.323,90.0
146,定向,6132.6461,12,1946.323,90.0
147,定向,6132.6461,12,1946.323,90.0
148,定向,6132.6461,12,1946.323,90.0
149,定向,6132.6461,12,1946.323,90.0
150,定向,5999.1432,12,1886.572,90.07
151,定向,5999.1432,12,1886.572,90.07
152,定向,5999.1432,12,1886.572,90.07
153,定向,5999.1432,12,1886.572,90.07
154,定向,5999.1432,12,1886.572,90.07
155,定向,5999.1432,12,1886.572,90.07
156,定向,5999.1432,12,1886.572,90.07
157,定向,5999.1432,12,1886.572,90.07
158,定向,5999.1432,12,1886.572,90.07
159,定向,5999.1432,12,1886.572,90.07
160,定向,5999.1432,12,1886.572,90.07
161,定向,5999.1432,12,1886.572,90.07
162,定向,5999.1432,12,1886.572,90.07
163,定向,5999.1432,12,1886.572,90.07
164,定向,5999.1432,12,1886.572,90.07
165,定向,5999.1432,12,1886.572,90.07
166,定向,5999.1432,12,1886.572,90.07
167,定向,5999.1432,12,1886.572,90.07
168,定向,5999.1432,12,1886.572,90.07
169,定向,5952.2582,12,1883.129,90.27
170,定向,5952.2582,12,1883.129,90.27
171,定向,5952.2582,12,1883.129,90.27
172,定向,5952.2582,12,1883.129,90.27
173,定向,5952.2582,12,1883.129,90.27
174,定向,5952.2582,12,1883.129,90.27
175,定向,5952.2582,12,1883.129,90.27
176,定向,5952.2582,12,1883.129,90.27
177,定向,5952.2582,12,1883.129,90.27
178,定向,5952.2582,12,1883.129,90.27
179,定向,5952.2582,12,1883.129,90.27
180,定向,5938.7912,12,1856.396,90.07
181,定向,5938.7912,12,1856.396,90.07
182,定向,5938.7912,12,1856.396,90.07
183,定向,5938.7912,12,1856.396,90.07
184,定向,5938.7912,12,1856.396,90.07
185,定向,5938.7912,12,1856.396,90.07
186,定向,5938.7912,12,1856.396,90.07
187,定向,5938.7912,12,1856.396,90.07
188,定向,5938.7912,12,1856.396,90.07
189,定向,5938.7912,12,1856.396,90.07
190,定向,5938.7912,12,1856.396,90.07
191,定向,5938.7912,12,1856.396,90.07
192,定向,5938.7912,12,1856.396,90.07
193,定向,5938.7912,12,1856.396,90.07
194,定向,5938.7912,12,1856.396,90.07
195,定向,5938.7912,12,1856.396,90.07
196,定向,5938.7912,12,1856.396,90.07
197,定向,5938.7912,12,1856.396,90.07
198,定向,5938.7912,12,1856.396,90.07
199,定向,5938.7912,12,1856.396,90.07
200,定向,5938.7912,12,1856.396,90.07
201,定向,5938.7912,12,1856.396,90.07
202,定向,5938.7912,12,1856.396,90.07
203,定向,5938.7912,12,1856.396,90.07
204,定向,5938.7912,12,1856.396,90.07
205,定向,5938.7912,12,1856.396,90.07
206,定向,5938.7912,12,1856.396,90.07
207,定向,5938.7912,12,1856.396,90.07
208,定向,5938.7912,12,1856.396,90.07
209,定向,5938.7912,12,1856.396,90.07
210,定向,5938.7912,12,1856.396,90.07
211,定向,5938.7912,12,1856.396,90.07
212,定向,5938.7912,12,1856.396,90.07
213,定向,5921.9977,12,1880.999,90.4
214,定向,5921.9977,12,1880.999,90.4
215,定向,5921.9977,12,1880.999,90.4
216,定向,5873.878,12,1856.939,90.4
217,定向,5873.878,12,1856.939,90.4
218,定向,5873.878,12,1856.939,90.4
219,定向,5873.878,12,1856.939,90.4
220,定向,5873.878,12,1856.939,90.4
221,定向,5873.878,12,1856.939,90.4
222,定向,5873.878,12,1856.939,90.4
223,定向,5873.878,12,1856.939,90.4
224,定向,5873.878,12,1856.939,90.4
225,定向,5873.878,12,1856.939,90.4
226,定向,5873.878,12,1856.939,90.4
227,定向,5873.878,12,1856.939,90.4
228,定向,5873.878,12,1856.939,90.4
229,定向,5873.878,12,1856.939,90.4
230,定向,5873.878,12,1856.939,90.4
231,定向,5830.2123,12,1895.106,91.0
232,定向,5830.2123,12,1895.106,91.0
233,定向,5830.2123,12,1895.106,91.0
234,定向,5830.2123,12,1895.106,91.0
235,定向,5830.2123,12,1895.106,91.0
236,定向,5830.2123,12,1895.106,91.0
237,定向,5830.2123,12,1895.106,91.0
238,定向,5830.2123,12,1895.106,91.0
239,定向,5830.2123,12,1895.106,91.0
240,定向,5830.2123,12,1895.106,91.0
241,定向,5830.2123,12,1895.106,91.0
242,定向,5830.2123,12,1895.106,91.0
243,定向,5830.2123,12,1895.106,91.0
