index,type,fitness,vehicle,distance,satisfaction
127,定向,7364.869,11,1625.435,80.53
128,定向,7364.869,11,1625.435,80.53
129,定向,7364.869,11,1625.435,80.53
130,定向,7364.869,11,1625.435,80.53
131,定向,7364.869,11,1625.435,80.53
132,定向,7364.869,11,1625.435,80.53
133,定向,7364.869,11,1625.435,80.53
134,定向,7364.869,11,1625.435,80.53
135,定向,7364.869,11,1625.435,80.53
136,定向,7364.869,11,1625.435,80.53
137,定向,7364.869,11,1625.435,80.53
138,定向,7364.869,11,1625.435,80.53
139,定向,7193.3667,11,1586.683,81.0
140,定向,7193.3667,11,1586.683,81.0
141,定向,7193.3667,11,1586.683,81.0
142,定向,7193.3667,11,1586.683,81.0
143,定向,7193.3667,11,1586.683,81.0
144,定向,7193.3667,11,1586.683,81.0
145,定向,7193.3667,11,1586.683,81.0
146,定向,7193.3667,11,1586.683,81.0
147,定向,7193.3667,11,1586.683,81.0
148,定向,7193.3667,11,1586.683,81.0
149,定向,7193.3667,11,1586.683,81.0
150,定向,7193.3667,11,1586.683,81.0
151,定向,7193.3667,11,1586.683,81.0
152,定向,7193.3667,11,1586.683,81.0
153,定向,7193.3667,11,1586.683,81.0
154,定向,7193.3667,11,1586.683,81.0
155,定向,7193.3667,11,1586.683,81.0
156,定向,7193.3667,11,1586.683,81.0
157,定向,7193.3667,11,1586.683,81.0
158,定向,7193.3667,11,1586.683,81.0
159,定向,7193.3667,11,1586.683,81.0
160,定向,7193.3667,11,1586.683,81.0
161,定向,7193.3667,11,1586.683,81.0
162,定向,7193.3667,11,1586.683,81.0
163,定向,7193.3667,11,1586.683,81.0
164,定向,7193.3667,11,1586.683,81.0
165,定向,7193.3667,11,1586.683,81.0
166,定向,7193.3667,11,1586.683,81.0
167,定向,7193.3667,11,1586.683,81.0
168,定向,7193.3667,11,1586.683,81.0
169,定向,7193.3667,11,1586.683,81.0
170,定向,7193.3667,11,1586.683,81.0
171,定向,7193.3667,11,1586.683,81.0
172,定向,7193.3667,11,1586.683,81.0
173,定向,7193.3667,11,1586.683,81.0
