generation,fitness
1,"(12237.23,)"
2,"(11525.71,)"
3,"(10152.35,)"
4,"(10152.35,)"
5,"(8956.25,)"
6,"(8956.25,)"
7,"(8956.25,)"
8,"(8956.25,)"
9,"(8867.81,)"
10,"(8867.81,)"
11,"(8867.81,)"
12,"(8801.5,)"
13,"(8801.5,)"
14,"(8801.5,)"
15,"(8801.5,)"
16,"(8712.27,)"
17,"(8712.27,)"
18,"(8712.27,)"
19,"(8712.27,)"
20,"(8712.27,)"
21,"(8712.27,)"
22,"(8712.27,)"
23,"(8712.27,)"
24,"(8712.27,)"
25,"(8712.27,)"
26,"(8346.11,)"
27,"(8346.11,)"
28,"(8346.11,)"
29,"(8346.11,)"
30,"(8346.11,)"
31,"(8346.11,)"
32,"(8346.11,)"
33,"(8256.88,)"
34,"(8256.88,)"
35,"(8256.88,)"
36,"(8256.88,)"
37,"(8256.88,)"
38,"(8256.88,)"
39,"(8256.88,)"
40,"(8256.88,)"
41,"(8256.88,)"
42,"(8256.88,)"
43,"(8256.88,)"
44,"(8256.88,)"
45,"(8256.88,)"
46,"(8256.88,)"
47,"(8256.88,)"
48,"(8256.88,)"
49,"(8256.88,)"
50,"(8256.88,)"
51,"(8194.68,)"
52,"(8194.68,)"
53,"(8194.68,)"
54,"(8194.68,)"
55,"(8194.68,)"
56,"(8194.68,)"
57,"(8194.68,)"
58,"(8194.68,)"
59,"(8194.68,)"
60,"(8194.68,)"
61,"(8194.68,)"
62,"(8194.68,)"
63,"(8194.68,)"
64,"(8194.68,)"
65,"(8194.68,)"
66,"(8194.68,)"
67,"(8194.68,)"
68,"(8146.18,)"
69,"(8146.18,)"
70,"(8146.18,)"
71,"(8084.89,)"
72,"(8084.89,)"
73,"(8056.1,)"
74,"(8056.1,)"
75,"(8056.1,)"
76,"(8056.1,)"
77,"(8056.1,)"
78,"(8056.1,)"
79,"(8056.1,)"
80,"(8056.1,)"
81,"(8056.1,)"
82,"(8056.1,)"
83,"(8056.1,)"
84,"(8056.1,)"
85,"(8056.1,)"
86,"(8056.1,)"
87,"(8056.1,)"
88,"(8056.1,)"
89,"(8056.1,)"
90,"(8056.1,)"
91,"(8056.1,)"
92,"(8056.1,)"
93,"(8056.1,)"
94,"(8056.1,)"
95,"(8056.1,)"
96,"(8056.1,)"
97,"(8056.1,)"
98,"(8056.1,)"
99,"(8056.1,)"
100,"(8056.1,)"
101,"(8056.1,)"
102,"(8056.1,)"
103,"(8056.1,)"
104,"(8056.1,)"
105,"(8056.1,)"
106,"(8056.1,)"
107,"(8056.1,)"
108,"(8056.1,)"
109,"(8056.1,)"
110,"(8056.1,)"
111,"(8056.1,)"
112,"(8056.1,)"
113,"(8056.1,)"
114,"(8056.1,)"
115,"(8056.1,)"
116,"(8056.1,)"
117,"(8056.1,)"
118,"(8056.1,)"
119,"(8056.1,)"
120,"(8056.1,)"
121,"(8056.1,)"
122,"(8056.1,)"
123,"(8056.1,)"
124,"(8056.1,)"
125,"(8056.1,)"
126,"(8056.1,)"
127,"(8056.1,)"
128,"(8056.1,)"
129,"(8056.1,)"
130,"(8056.1,)"
131,"(8056.1,)"
132,"(8056.1,)"
133,"(8056.1,)"
134,"(8056.1,)"
135,"(8056.1,)"
136,"(8056.1,)"
137,"(8056.1,)"
138,"(8056.1,)"
139,"(8056.1,)"
140,"(8056.1,)"
141,"(8056.1,)"
142,"(8056.1,)"
143,"(8056.1,)"
144,"(8056.1,)"
145,"(8056.1,)"
146,"(8056.1,)"
147,"(8056.1,)"
148,"(8056.1,)"
149,"(8056.1,)"
150,"(8056.1,)"
151,"(8056.1,)"
152,"(8056.1,)"
