index,type,fitness,vehicle,distance,satisfaction
1,定向,10682.2334,13,2004.117,67.93
2,定向,10340.118,12,1850.059,68.0
3,定向,10154.1375,13,2180.069,72.33
4,定向,10154.1375,13,2180.069,72.33
5,定向,10154.1375,13,2180.069,72.33
6,定向,10154.1375,13,2180.069,72.33
7,定向,10154.1375,13,2180.069,72.33
8,定向,10107.6443,13,1996.822,70.73
9,定向,10107.6443,13,1996.822,70.73
10,定向,10051.5265,12,1858.763,69.53
11,定向,10051.5265,12,1858.763,69.53
12,定向,9942.4251,12,1891.213,70.4
13,定向,9799.9329,12,1912.966,71.33
14,定向,9634.1461,12,1890.073,71.93
15,定向,9634.1461,12,1890.073,71.93
16,定向,9634.1461,12,1890.073,71.93
17,定向,9634.1461,12,1890.073,71.93
18,定向,9634.1461,12,1890.073,71.93
19,定向,9552.3662,13,1993.183,73.47
20,定向,9552.3662,13,1993.183,73.47
21,定向,9552.3662,13,1993.183,73.47
22,定向,9532.1548,12,1966.077,73.2
23,定向,9532.1548,12,1966.077,73.2
24,定向,9451.2071,12,1945.604,73.4
25,定向,9451.2071,12,1945.604,73.4
26,定向,9451.2071,12,1945.604,73.4
27,定向,9255.7409,12,2087.87,75.8
28,定向,9255.7409,12,2087.87,75.8
29,定向,9255.7409,12,2087.87,75.8
30,定向,9068.0276,12,2081.014,76.67
31,定向,9068.0276,12,2081.014,76.67
32,定向,9068.0276,12,2081.014,76.67
33,定向,9068.0276,12,2081.014,76.67
34,定向,9068.0276,12,2081.014,76.67
35,定向,9001.8087,12,1967.904,75.87
36,定向,9001.8087,12,1967.904,75.87
37,定向,8713.7874,12,2009.894,77.73
38,定向,8713.7874,12,2009.894,77.73
39,定向,8508.9787,12,2021.489,78.87
40,定向,8508.9787,12,2021.489,78.87
41,定向,8433.5723,12,2049.786,79.53
42,定向,8323.2654,12,2014.633,79.73
43,定向,8302.1828,12,2058.091,80.27
44,定向,8116.4694,12,2051.235,81.13
45,定向,8116.4694,12,2051.235,81.13
46,定向,8102.5643,12,2044.282,81.13
47,定向,7949.0032,12,2054.502,82.0
48,定向,7949.0032,12,2054.502,82.0
49,定向,7949.0032,12,2054.502,82.0
50,定向,7935.0981,12,2047.549,82.0
51,定向,7934.6947,12,2054.347,82.07
52,定向,7934.6947,12,2054.347,82.07
53,定向,7858.0353,12,2009.018,82.0
54,定向,7858.0353,12,2009.018,82.0
55,定向,7857.6318,12,2015.816,82.07
56,定向,7842.6072,12,2001.304,82.0
57,定向,7828.9496,12,2001.475,82.07
58,定向,7826.001,12,1993.0,82.0
59,定向,7825.5976,12,1999.799,82.07
60,定向,7825.5099,12,1999.755,82.07
61,定向,7823.6719,12,1998.836,82.07
62,定向,7792.0411,12,1976.021,82.0
63,定向,7791.6376,12,1982.819,82.07
64,定向,7791.6376,12,1982.819,82.07
65,定向,7791.6376,12,1982.819,82.07
66,定向,7786.7158,12,1966.358,81.93
67,定向,7784.912,12,1965.456,81.93
68,定向,7776.1523,12,1968.076,82.0
69,定向,7775.7489,12,1974.874,82.07
70,定向,7757.3999,12,1951.7,81.93
71,定向,7757.3999,12,1951.7,81.93
72,定向,7742.6829,12,1944.341,81.93
73,定向,7737.4389,12,1948.719,82.0
74,定向,7729.4796,12,1944.74,82.0
75,定向,7729.3919,12,1944.696,82.0
76,定向,7704.6084,12,1925.304,81.93
77,定向,7658.9564,12,1909.478,82.0
78,定向,7658.9564,12,1909.478,82.0
79,定向,7622.0537,12,1891.027,82.0
80,定向,7622.0537,12,1891.027,82.0
81,定向,7622.0537,12,1891.027,82.0
82,定向,7622.0537,12,1891.027,82.0
83,定向,7618.1569,12,1889.078,82.0
84,定向,7618.1569,12,1889.078,82.0
85,定向,7618.1569,12,1889.078,82.0
86,定向,7618.1569,12,1889.078,82.0
87,定向,7618.1569,12,1889.078,82.0
88,定向,7601.8203,12,1907.91,82.27
89,定向,7565.0709,12,1909.535,82.47
90,定向,7565.0709,12,1909.535,82.47
91,定向,7565.0709,12,1909.535,82.47
92,定向,7565.0709,12,1909.535,82.47
93,定向,7565.0709,12,1909.535,82.47
94,定向,7564.2962,12,1922.148,82.6
95,定向,7564.2962,12,1922.148,82.6
96,定向,7564.2962,12,1922.148,82.6
97,定向,7564.2962,12,1922.148,82.6
98,定向,7463.858,12,1891.929,82.8
99,定向,7463.858,12,1891.929,82.8
100,定向,7463.858,12,1891.929,82.8
101,定向,7463.858,12,1891.929,82.8
102,定向,7463.858,12,1891.929,82.8
103,定向,7455.7087,12,1887.854,82.8
104,定向,7386.1,12,1893.05,83.2
105,定向,7358.4124,12,1879.206,83.2
106,定向,7358.4124,12,1879.206,83.2
107,定向,7358.4124,12,1879.206,83.2
108,定向,7358.4124,12,1879.206,83.2
109,定向,7355.2931,12,1877.647,83.2
110,定向,7345.7647,12,1872.882,83.2
111,定向,7345.7647,12,1872.882,83.2
112,定向,7345.7647,12,1872.882,83.2
113,定向,7342.6455,12,1871.323,83.2
114,定向,7342.6455,12,1871.323,83.2
115,定向,7342.6455,12,1871.323,83.2
116,定向,7342.6455,12,1871.323,83.2
117,定向,7330.9821,12,1852.491,83.07
118,定向,7330.9821,12,1852.491,83.07
119,定向,7330.9821,12,1852.491,83.07
120,定向,7330.9821,12,1852.491,83.07
121,定向,7330.9821,12,1852.491,83.07
122,定向,7330.9821,12,1852.491,83.07
123,定向,7330.9821,12,1852.491,83.07
124,定向,7330.9821,12,1852.491,83.07
125,定向,7330.9821,12,1852.491,83.07
126,定向,7330.9821,12,1852.491,83.07
127,定向,7330.9821,12,1852.491,83.07
128,定向,7328.0698,12,1851.035,83.07
129,定向,7328.0698,12,1851.035,83.07
130,定向,7328.0698,12,1851.035,83.07
131,定向,7320.3932,12,1847.197,83.07
132,定向,7317.3926,12,1845.696,83.07
133,定向,7310.5891,12,1842.295,83.07
134,定向,7310.5891,12,1842.295,83.07
135,定向,7310.5891,12,1842.295,83.07
136,定向,7310.5891,12,1842.295,83.07
137,定向,7292.2796,12,1846.14,83.2
138,定向,7292.2796,12,1846.14,83.2
139,定向,7285.4761,12,1842.738,83.2
140,定向,7285.4761,12,1842.738,83.2
141,定向,7283.1289,12,1841.564,83.2
142,定向,7283.1289,12,1841.564,83.2
143,定向,7283.1289,12,1841.564,83.2
144,定向,7278.0157,12,1839.008,83.2
145,定向,7278.0157,12,1839.008,83.2
146,定向,7275.339,12,1837.67,83.2
147,定向,7275.339,12,1837.67,83.2
148,定向,7270.2258,12,1835.113,83.2
149,定向,7232.9312,12,1816.466,83.2
150,定向,7232.9312,12,1816.466,83.2
151,定向,7225.1413,12,1812.571,83.2
152,定向,7225.1413,12,1812.571,83.2
153,定向,7221.3045,12,1810.652,83.2
154,定向,7221.3045,12,1810.652,83.2
155,定向,7221.3045,12,1810.652,83.2
156,定向,7213.5146,12,1806.757,83.2
157,定向,7213.5146,12,1806.757,83.2
158,定向,7213.5146,12,1806.757,83.2
159,定向,7213.5146,12,1806.757,83.2
160,定向,7213.5146,12,1806.757,83.2
161,定向,7213.5146,12,1806.757,83.2
162,定向,7213.5146,12,1806.757,83.2
163,定向,7213.5146,12,1806.757,83.2
164,定向,7213.5146,12,1806.757,83.2
165,定向,7213.5146,12,1806.757,83.2
166,定向,7213.5146,12,1806.757,83.2
167,定向,7199.736,12,1799.868,83.2
168,定向,7199.736,12,1799.868,83.2
169,定向,7199.736,12,1799.868,83.2
170,定向,7199.736,12,1799.868,83.2
171,定向,7199.736,12,1799.868,83.2
172,定向,7199.736,12,1799.868,83.2
173,定向,7199.736,12,1799.868,83.2
174,定向,7199.736,12,1799.868,83.2
175,定向,7199.736,12,1799.868,83.2
176,定向,7199.736,12,1799.868,83.2
177,定向,7199.736,12,1799.868,83.2
178,定向,7199.736,12,1799.868,83.2
179,定向,7199.736,12,1799.868,83.2
180,定向,7199.736,12,1799.868,83.2
181,定向,7199.736,12,1799.868,83.2
182,定向,7199.736,12,1799.868,83.2
183,定向,7199.736,12,1799.868,83.2
184,定向,7199.736,12,1799.868,83.2
185,定向,7199.736,12,1799.868,83.2
186,定向,7199.736,12,1799.868,83.2
187,定向,7199.736,12,1799.868,83.2
188,定向,7199.736,12,1799.868,83.2
189,定向,7199.736,12,1799.868,83.2
190,定向,7176.3088,12,1788.154,83.2
191,定向,7176.3088,12,1788.154,83.2
192,定向,7176.3088,12,1788.154,83.2
193,定向,7176.3088,12,1788.154,83.2
194,定向,7176.3088,12,1788.154,83.2
195,定向,7176.3088,12,1788.154,83.2
196,定向,7176.3088,12,1788.154,83.2
197,定向,7148.9565,12,1801.478,83.47
198,定向,7148.9565,12,1801.478,83.47
199,定向,7148.9565,12,1801.478,83.47
200,定向,7146.0582,12,1800.029,83.47
201,定向,7146.0582,12,1800.029,83.47
202,定向,7125.3274,12,1762.664,83.2
203,定向,7125.3274,12,1762.664,83.2
204,定向,7125.3274,12,1762.664,83.2
205,定向,7125.3274,12,1762.664,83.2
206,定向,7109.0287,12,1821.514,83.87
207,定向,7109.0287,12,1821.514,83.87
208,定向,7109.0287,12,1821.514,83.87
209,定向,7109.0287,12,1821.514,83.87
210,定向,7109.0287,12,1821.514,83.87
211,定向,7109.0287,12,1821.514,83.87
212,定向,7109.0287,12,1821.514,83.87
213,定向,7109.0287,12,1821.514,83.87
214,定向,7109.0287,12,1821.514,83.87
215,定向,7109.0287,12,1821.514,83.87
216,定向,7109.0287,12,1821.514,83.87
217,定向,7109.0287,12,1821.514,83.87
218,定向,7109.0287,12,1821.514,83.87
219,定向,7109.0287,12,1821.514,83.87
220,定向,7109.0287,12,1821.514,83.87
221,定向,7109.0287,12,1821.514,83.87
222,定向,7042.1863,12,1768.093,83.67
223,定向,7042.1863,12,1768.093,83.67
224,定向,7042.1863,12,1768.093,83.67
225,定向,7042.1863,12,1768.093,83.67
226,定向,7042.1863,12,1768.093,83.67
227,定向,7037.3973,12,1771.699,83.73
228,定向,7037.3973,12,1771.699,83.73
229,定向,7037.3973,12,1771.699,83.73
230,定向,7037.3973,12,1771.699,83.73
231,定向,7037.3973,12,1771.699,83.73
232,定向,7037.3973,12,1771.699,83.73
233,定向,7037.3973,12,1771.699,83.73
234,定向,7037.3973,12,1771.699,83.73
235,定向,7036.9731,12,1771.487,83.73
236,定向,7036.9731,12,1771.487,83.73
237,定向,7036.9731,12,1771.487,83.73
238,定向,7036.9731,12,1771.487,83.73
239,定向,7036.9731,12,1771.487,83.73
240,定向,7036.9731,12,1771.487,83.73
241,定向,7036.9731,12,1771.487,83.73
242,定向,7036.9731,12,1771.487,83.73
243,定向,7036.9731,12,1771.487,83.73
244,定向,7036.9731,12,1771.487,83.73
245,定向,7018.0932,12,1789.047,84.0
246,定向,6979.8389,12,1776.919,84.07
247,定向,6979.8389,12,1776.919,84.07
248,定向,6979.8389,12,1776.919,84.07
249,定向,6979.8389,12,1776.919,84.07
250,定向,6979.8389,12,1776.919,84.07
251,定向,6979.8389,12,1776.919,84.07
252,定向,6979.8389,12,1776.919,84.07
253,定向,6979.8389,12,1776.919,84.07
254,定向,6844.9441,12,1795.472,84.93
255,定向,6844.9441,12,1795.472,84.93
256,定向,6746.1727,12,1853.086,86.0
257,定向,6746.1727,12,1853.086,86.0
258,定向,6746.1727,12,1853.086,86.0
259,定向,6609.278,12,1871.639,86.87
260,定向,6609.278,12,1871.639,86.87
261,定向,6609.278,12,1871.639,86.87
262,定向,6609.278,12,1871.639,86.87
263,定向,6609.278,12,1871.639,86.87
264,定向,6609.278,12,1871.639,86.87
265,定向,6609.278,12,1871.639,86.87
266,定向,6609.278,12,1871.639,86.87
267,定向,6609.278,12,1871.639,86.87
268,定向,6609.278,12,1871.639,86.87
269,定向,6608.6864,12,1871.343,86.87
270,定向,6608.6864,12,1871.343,86.87
271,定向,6608.6864,12,1871.343,86.87
272,定向,6608.6864,12,1871.343,86.87
273,定向,6608.6864,12,1871.343,86.87
274,定向,6608.6864,12,1871.343,86.87
275,定向,6608.6864,12,1871.343,86.87
