Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[ 70.93895243 705.23839355],[ 2.44208372 46.15596046],[ 68.         582.52852954],[ 80.         824.85157966],"[2, 24, 19, 15, 13, 1, 10, 25, 3, 9, 6, 14, 8, 21, 23, 11, 5, 22, 17, 16, 20, 4, 12, 18, 7]","(80.0, 656.4810807135702)"
1,336,[ 72.30205125 668.64873402],[ 2.94633787 39.18409496],[ 68.         582.52852954],[ 80.         820.42354084],"[2, 24, 19, 15, 13, 1, 10, 25, 3, 9, 6, 14, 8, 21, 23, 11, 5, 22, 17, 16, 20, 4, 12, 18, 7]","(80.0, 656.4810807135702)"
2,340,[ 73.03499041 647.20123799],[ 3.1492413 35.5278066],[ 68.         567.59650257],[ 80.         783.47753762],"[23, 18, 25, 9, 11, 19, 10, 3, 2, 5, 17, 22, 13, 6, 7, 16, 24, 14, 12, 15, 1, 20, 21, 8, 4]","(80.0, 628.8855607955596)"
3,336,[ 73.44026744 633.77284953],[ 3.41455258 42.95290169],[ 68.         558.03251773],[ 80.         783.47753762],"[23, 18, 25, 9, 11, 19, 10, 3, 2, 6, 17, 22, 13, 5, 7, 16, 14, 24, 12, 15, 1, 20, 21, 8, 4]","(80.0, 623.1215576213717)"
4,352,[ 74.31199072 625.66352392],[ 3.66892397 43.7396952 ],[ 68.         558.03251773],[ 80.         736.47343387],"[2, 3, 19, 15, 13, 1, 10, 25, 24, 9, 6, 14, 8, 21, 23, 11, 5, 22, 17, 16, 20, 4, 12, 18, 7]","(80.0, 610.8406144737733)"
5,346,[ 75.16088382 620.02893357],[ 3.83380633 45.68688961],[ 68.         558.03251773],[ 80.         724.85049285],"[2, 3, 19, 15, 13, 1, 10, 25, 24, 9, 6, 14, 8, 21, 23, 11, 5, 22, 17, 16, 20, 4, 12, 18, 7]","(80.0, 610.8406144737733)"
6,322,[ 74.6992288  600.80877069],[ 3.9769109  28.28808395],[ 68.         555.62545192],[ 80.         656.48108071],"[2, 3, 19, 15, 13, 1, 10, 25, 24, 9, 6, 14, 8, 21, 23, 11, 5, 22, 17, 16, 20, 4, 12, 18, 7]","(80.0, 610.8406144737733)"
7,348,[ 74.56085883 589.78886885],[ 4.15294712 26.68074334],[ 68.         550.16381832],[ 80.        641.4979252],"[23, 18, 25, 9, 11, 19, 10, 3, 2, 6, 17, 22, 13, 5, 7, 16, 14, 1, 12, 15, 24, 20, 21, 8, 4]","(80.0, 595.939618090465)"
8,358,[ 74.97206934 580.23435877],[ 3.80748181 24.29861811],[ 68.         548.01047268],[ 80.         628.06277513],"[23, 18, 25, 9, 11, 10, 5, 3, 2, 19, 17, 22, 13, 6, 7, 16, 24, 14, 12, 15, 1, 20, 21, 8, 4]","(80.0, 591.3408695566148)"
9,314,[ 74.15883829 575.5569054 ],[ 3.86108422 23.38419637],[ 68.         526.15658019],[ 80.         619.97203952],"[23, 18, 25, 9, 11, 10, 5, 3, 2, 19, 17, 22, 13, 6, 7, 16, 24, 14, 12, 15, 1, 20, 21, 8, 4]","(80.0, 591.3408695566148)"
10,344,[ 74.2440926  577.81622782],[ 4.16703794 27.02560329],[ 68.         524.54853415],[ 80.        616.1005551],"[23, 18, 25, 9, 11, 10, 5, 3, 2, 19, 17, 22, 13, 6, 7, 16, 24, 14, 12, 15, 1, 20, 21, 8, 4]","(80.0, 591.3408695566148)"
