Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,180,[  10.         1609.46540062],[  0.         129.23491715],[  10.         1281.28478058],[  10.         1999.42720073],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 99, 96, 100, 98, 95, 97, 94, 93, 92, 2, 1, 4, 75, 6, 3, 9, 12, 14, 16, 15, 13, 19, 17, 18, 11, 8, 10, 7, 5, 80, 79, 77, 73, 81, 78, 70, 76, 71, 82, 72, 83, 91, 89, 88, 90, 87, 86, 85, 84, 63, 65, 67, 74, 62, 31, 32, 35, 33, 37, 34, 36, 38, 39, 52, 51, 50, 49, 29, 47, 64, 61, 68, 66, 69, 41, 42, 43, 46, 20, 21, 22, 30, 28, 27, 26, 25, 24, 23]","(10.0, 1281.2847805788392)"
1,154,[  10.         1521.96570835],[ 0.         78.84056063],[  10.         1281.28478058],[  10.         1632.06828017],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 99, 96, 100, 98, 95, 97, 94, 93, 92, 2, 1, 4, 75, 6, 3, 9, 12, 14, 16, 15, 13, 19, 17, 18, 11, 8, 10, 7, 5, 80, 79, 77, 73, 81, 78, 70, 76, 71, 82, 72, 83, 91, 89, 88, 90, 87, 86, 85, 84, 63, 65, 67, 74, 62, 31, 32, 35, 33, 37, 34, 36, 38, 39, 52, 51, 50, 49, 29, 47, 64, 61, 68, 66, 69, 41, 42, 43, 46, 20, 21, 22, 30, 28, 27, 26, 25, 24, 23]","(10.0, 1281.2847805788392)"
2,164,[  10.         1480.63978643],[ 0.         68.33964834],[  10.         1281.28478058],[  10.         1568.90226828],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 99, 96, 100, 98, 95, 97, 94, 93, 92, 2, 1, 4, 75, 6, 3, 9, 12, 14, 16, 15, 13, 19, 17, 18, 11, 8, 10, 7, 5, 80, 79, 77, 73, 81, 78, 70, 76, 71, 82, 72, 83, 91, 89, 88, 90, 87, 86, 85, 84, 63, 65, 67, 74, 62, 31, 32, 35, 33, 37, 34, 36, 38, 39, 52, 51, 50, 49, 29, 47, 64, 61, 68, 66, 69, 41, 42, 43, 46, 20, 21, 22, 30, 28, 27, 26, 25, 24, 23]","(10.0, 1281.2847805788392)"
3,160,[  10.         1452.98948109],[ 0.         62.11473598],[  10.         1281.28478058],[  10.         1526.53192672],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 99, 96, 100, 98, 95, 97, 94, 93, 92, 2, 1, 4, 75, 6, 3, 9, 12, 14, 16, 15, 13, 19, 17, 18, 11, 8, 10, 7, 5, 80, 79, 77, 73, 81, 78, 70, 76, 71, 82, 72, 83, 91, 89, 88, 90, 87, 86, 85, 84, 63, 65, 67, 74, 62, 31, 32, 35, 33, 37, 34, 36, 38, 39, 52, 51, 50, 49, 29, 47, 64, 61, 68, 66, 69, 41, 42, 43, 46, 20, 21, 22, 30, 28, 27, 26, 25, 24, 23]","(10.0, 1281.2847805788392)"
4,166,[  10.         1428.63481864],[ 0.         59.31729783],[  10.         1281.28478058],[  10.         1502.61153711],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 99, 96, 100, 98, 95, 97, 94, 93, 92, 2, 1, 4, 75, 6, 3, 9, 12, 14, 16, 15, 13, 19, 17, 18, 11, 8, 10, 7, 5, 80, 79, 77, 73, 81, 78, 70, 76, 71, 82, 72, 83, 91, 89, 88, 90, 87, 86, 85, 84, 63, 65, 67, 74, 62, 31, 32, 35, 33, 37, 34, 36, 38, 39, 52, 51, 50, 49, 29, 47, 64, 61, 68, 66, 69, 41, 42, 43, 46, 20, 21, 22, 30, 28, 27, 26, 25, 24, 23]","(10.0, 1281.2847805788392)"
5,162,[  10.         1405.39806421],[ 0.       51.507501],[  10.         1281.28478058],[  10.         1482.97778264],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 99, 96, 100, 98, 95, 97, 94, 93, 92, 2, 1, 4, 75, 6, 3, 9, 12, 14, 16, 15, 13, 19, 17, 18, 11, 8, 10, 7, 5, 80, 79, 77, 73, 81, 78, 70, 76, 71, 82, 72, 83, 91, 89, 88, 90, 87, 86, 85, 84, 63, 65, 67, 74, 62, 31, 32, 35, 33, 37, 34, 36, 38, 39, 52, 51, 50, 49, 29, 47, 64, 61, 68, 66, 69, 41, 42, 43, 46, 20, 21, 22, 30, 28, 27, 26, 25, 24, 23]","(10.0, 1281.2847805788392)"
6,166,[  10.         1387.40083093],[ 0.         46.64619625],[  10.         1281.28478058],[  10.         1455.41333646],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 99, 96, 100, 98, 95, 97, 94, 93, 92, 2, 1, 4, 75, 6, 3, 9, 12, 14, 16, 15, 13, 19, 17, 18, 11, 8, 10, 7, 5, 80, 79, 77, 73, 81, 78, 70, 76, 71, 82, 72, 83, 91, 89, 88, 90, 87, 86, 85, 84, 63, 65, 67, 74, 62, 31, 32, 35, 33, 37, 34, 36, 38, 39, 52, 51, 50, 49, 29, 47, 64, 61, 68, 66, 69, 41, 42, 43, 46, 20, 21, 22, 30, 28, 27, 26, 25, 24, 23]","(10.0, 1281.2847805788392)"
7,168,[  10.         1371.15259836],[ 0.         41.85493862],[  10.         1281.28478058],[  10.        1430.6684864],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 99, 96, 100, 98, 95, 97, 94, 93, 92, 2, 1, 4, 75, 6, 3, 9, 12, 14, 16, 15, 13, 19, 17, 18, 11, 8, 10, 7, 5, 80, 79, 77, 73, 81, 78, 70, 76, 71, 82, 72, 83, 91, 89, 88, 90, 87, 86, 85, 84, 63, 65, 67, 74, 62, 31, 32, 35, 33, 37, 34, 36, 38, 39, 52, 51, 50, 49, 29, 47, 64, 61, 68, 66, 69, 41, 42, 43, 46, 20, 21, 22, 30, 28, 27, 26, 25, 24, 23]","(10.0, 1281.2847805788392)"
8,168,[  10.         1357.26122451],[ 0.         40.37489569],[  10.         1281.28478058],[  10.         1403.06291152],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 99, 96, 100, 98, 95, 97, 94, 93, 92, 2, 1, 4, 75, 6, 3, 9, 12, 14, 16, 15, 13, 19, 17, 18, 11, 8, 10, 7, 5, 80, 79, 77, 73, 81, 78, 70, 76, 71, 82, 72, 83, 91, 89, 88, 90, 87, 86, 85, 84, 63, 65, 67, 74, 62, 31, 32, 35, 33, 37, 34, 36, 38, 39, 52, 51, 50, 49, 29, 47, 64, 61, 68, 66, 69, 41, 42, 43, 46, 20, 21, 22, 30, 28, 27, 26, 25, 24, 23]","(10.0, 1281.2847805788392)"
9,166,[  10.         1348.76833805],[ 0.         38.79767742],[  10.         1281.28478058],[  10.        1398.4396084],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 99, 96, 100, 98, 95, 97, 94, 93, 92, 2, 1, 4, 75, 6, 3, 9, 12, 14, 16, 15, 13, 19, 17, 18, 11, 8, 10, 7, 5, 80, 79, 77, 73, 81, 78, 70, 76, 71, 82, 72, 83, 91, 89, 88, 90, 87, 86, 85, 84, 63, 65, 67, 74, 62, 31, 32, 35, 33, 37, 34, 36, 38, 39, 52, 51, 50, 49, 29, 47, 64, 61, 68, 66, 69, 41, 42, 43, 46, 20, 21, 22, 30, 28, 27, 26, 25, 24, 23]","(10.0, 1281.2847805788392)"
10,168,[  10.         1338.74719411],[ 0.         34.66121519],[  10.         1281.28478058],[  10.         1391.76960891],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 99, 96, 100, 98, 95, 97, 94, 93, 92, 2, 1, 4, 75, 6, 3, 9, 12, 14, 16, 15, 13, 19, 17, 18, 11, 8, 10, 7, 5, 80, 79, 77, 73, 81, 78, 70, 76, 71, 82, 72, 83, 91, 89, 88, 90, 87, 86, 85, 84, 63, 65, 67, 74, 62, 31, 32, 35, 33, 37, 34, 36, 38, 39, 52, 51, 50, 49, 29, 47, 64, 61, 68, 66, 69, 41, 42, 43, 46, 20, 21, 22, 30, 28, 27, 26, 25, 24, 23]","(10.0, 1281.2847805788392)"
11,158,[  10.         1327.05493076],[ 0.        31.5072927],[  10.         1278.68245531],[  10.         1363.26509147],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 99, 96, 100, 98, 95, 97, 94, 93, 92, 2, 1, 4, 75, 6, 3, 9, 12, 14, 16, 15, 13, 17, 19, 18, 11, 8, 10, 7, 5, 80, 79, 77, 73, 81, 78, 70, 76, 71, 82, 72, 83, 91, 89, 88, 90, 87, 86, 85, 84, 63, 65, 67, 74, 62, 31, 32, 35, 33, 37, 34, 36, 38, 39, 52, 51, 50, 49, 29, 47, 64, 61, 68, 66, 69, 41, 42, 43, 46, 20, 21, 22, 30, 28, 27, 26, 25, 24, 23]","(10.0, 1278.6824553117967)"
12,156,[  10.         1319.05141282],[ 0.         29.95868482],[  10.         1278.68245531],[  10.         1352.60043504],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 99, 96, 100, 98, 95, 97, 94, 93, 92, 2, 1, 4, 75, 6, 3, 9, 12, 14, 16, 15, 13, 17, 19, 18, 11, 8, 10, 7, 5, 80, 79, 77, 73, 81, 78, 70, 76, 71, 82, 72, 83, 91, 89, 88, 90, 87, 86, 85, 84, 63, 65, 67, 74, 62, 31, 32, 35, 33, 37, 34, 36, 38, 39, 52, 51, 50, 49, 29, 47, 64, 61, 68, 66, 69, 41, 42, 43, 46, 20, 21, 22, 30, 28, 27, 26, 25, 24, 23]","(10.0, 1278.6824553117967)"
13,164,[  10.        1311.4024145],[ 0.         28.66863327],[  10.         1278.68245531],[  10.         1345.16481266],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 99, 96, 100, 98, 95, 97, 94, 93, 92, 2, 1, 4, 75, 6, 3, 9, 12, 14, 16, 15, 13, 17, 19, 18, 11, 8, 10, 7, 5, 80, 79, 77, 73, 81, 78, 70, 76, 71, 82, 72, 83, 91, 89, 88, 90, 87, 86, 85, 84, 63, 65, 67, 74, 62, 31, 32, 35, 33, 37, 34, 36, 38, 39, 52, 51, 50, 49, 29, 47, 64, 61, 68, 66, 69, 41, 42, 43, 46, 20, 21, 22, 30, 28, 27, 26, 25, 24, 23]","(10.0, 1278.6824553117967)"
14,160,[  10.         1300.19162706],[ 0.         24.65635837],[  10.         1278.68245531],[  10.         1343.86632776],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 99, 96, 100, 98, 95, 97, 94, 93, 92, 2, 1, 4, 75, 6, 3, 9, 12, 14, 16, 15, 13, 17, 19, 18, 11, 8, 10, 7, 5, 80, 79, 77, 73, 81, 78, 70, 76, 71, 82, 72, 83, 91, 89, 88, 90, 87, 86, 85, 84, 63, 65, 67, 74, 62, 31, 32, 35, 33, 37, 34, 36, 38, 39, 52, 51, 50, 49, 29, 47, 64, 61, 68, 66, 69, 41, 42, 43, 46, 20, 21, 22, 30, 28, 27, 26, 25, 24, 23]","(10.0, 1278.6824553117967)"
15,164,[  10.         1290.98077483],[ 0.         17.85010838],[  10.         1278.68245531],[  10.         1332.41359346],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 99, 96, 100, 98, 95, 97, 94, 93, 92, 2, 1, 4, 75, 6, 3, 9, 12, 14, 16, 15, 13, 17, 19, 18, 11, 8, 10, 7, 5, 80, 79, 77, 73, 81, 78, 70, 76, 71, 82, 72, 83, 91, 89, 88, 90, 87, 86, 85, 84, 63, 65, 67, 74, 62, 31, 32, 35, 33, 37, 34, 36, 38, 39, 52, 51, 50, 49, 29, 47, 64, 61, 68, 66, 69, 41, 42, 43, 46, 20, 21, 22, 30, 28, 27, 26, 25, 24, 23]","(10.0, 1278.6824553117967)"
16,164,[  10.         1282.31615289],[0.         3.85108976],[  10.         1277.62142519],[  10.         1308.54090881],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 99, 96, 100, 98, 95, 97, 94, 93, 92, 2, 1, 4, 75, 6, 3, 9, 12, 14, 16, 15, 13, 19, 17, 18, 11, 8, 10, 7, 5, 80, 79, 77, 73, 81, 78, 70, 76, 71, 82, 72, 83, 91, 89, 88, 90, 87, 86, 85, 84, 63, 65, 67, 64, 62, 31, 32, 35, 33, 37, 34, 36, 38, 39, 52, 51, 50, 49, 29, 47, 74, 61, 68, 66, 69, 41, 42, 43, 46, 20, 21, 22, 30, 28, 27, 26, 25, 24, 23]","(10.0, 1277.6214251855663)"
17,174,[  10.         1281.20607356],[0.         1.23537492],[  10.         1276.23260899],[  10.         1284.96030247],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 99, 96, 100, 98, 95, 97, 94, 93, 92, 2, 1, 4, 6, 75, 3, 9, 12, 14, 16, 15, 13, 17, 19, 18, 11, 8, 10, 7, 5, 80, 79, 77, 73, 81, 78, 70, 76, 71, 82, 72, 83, 91, 89, 88, 90, 87, 86, 85, 84, 63, 65, 67, 74, 62, 31, 32, 35, 33, 37, 34, 36, 38, 39, 52, 51, 50, 49, 29, 47, 64, 61, 68, 66, 69, 41, 42, 43, 46, 20, 21, 22, 30, 28, 27, 26, 25, 24, 23]","(10.0, 1276.2326089868816)"
18,164,[  10.         1280.91371766],[0.         0.88507953],[  10.         1276.23260899],[  10.         1281.28478058],"[60, 58, 56, 54, 53, 59, 57, 55, 40, 44, 45, 48, 99, 96, 100, 98, 95, 97, 94, 93, 92, 2, 1, 4, 6, 75, 3, 9, 12, 14, 16, 15, 13, 17, 19, 18, 11, 8, 10, 7, 5, 80, 79, 77, 73, 81, 78, 70, 76, 71, 82, 72, 83, 91, 89, 88, 90, 87, 86, 85, 84, 63, 65, 67, 74, 62, 31, 32, 35, 33, 37, 34, 36, 38, 39, 52, 51, 50, 49, 29, 47, 64, 61, 68, 66, 69, 41, 42, 43, 46, 20, 21, 22, 30, 28, 27, 26, 25, 24, 23]","(10.0, 1276.2326089868816)"
