generation,fitness
1,"(11773.92,)"
2,"(11418.26,)"
3,"(10856.13,)"
4,"(10487.3,)"
5,"(9943.65,)"
6,"(9943.65,)"
7,"(9943.65,)"
8,"(9943.65,)"
9,"(9943.65,)"
10,"(9934.56,)"
11,"(9885.73,)"
12,"(9700.34,)"
13,"(9487.73,)"
14,"(9487.73,)"
15,"(9484.2,)"
16,"(9358.31,)"
17,"(9358.31,)"
18,"(9028.99,)"
19,"(9028.99,)"
20,"(9028.99,)"
21,"(9028.99,)"
22,"(9028.99,)"
23,"(9028.99,)"
24,"(9028.99,)"
25,"(8748.95,)"
26,"(8748.95,)"
27,"(8748.95,)"
28,"(8748.95,)"
29,"(8715.21,)"
30,"(8715.21,)"
31,"(8715.21,)"
32,"(8715.21,)"
33,"(8715.21,)"
34,"(8634.31,)"
35,"(8634.31,)"
36,"(8443.77,)"
37,"(8441.7,)"
38,"(8441.7,)"
39,"(8407.96,)"
40,"(8407.96,)"
41,"(8407.96,)"
42,"(8407.96,)"
43,"(8407.96,)"
44,"(8407.96,)"
45,"(8407.96,)"
46,"(8407.96,)"
47,"(8407.96,)"
48,"(8262.4,)"
49,"(8262.4,)"
50,"(8262.4,)"
51,"(8262.4,)"
52,"(8262.4,)"
53,"(8229.34,)"
54,"(8229.34,)"
55,"(8184.64,)"
56,"(8184.64,)"
57,"(8184.64,)"
58,"(8184.64,)"
59,"(8151.58,)"
60,"(8151.58,)"
61,"(8151.58,)"
62,"(8151.58,)"
63,"(8151.58,)"
64,"(8151.58,)"
65,"(8151.58,)"
66,"(8151.58,)"
67,"(8151.58,)"
68,"(8151.58,)"
69,"(8151.58,)"
70,"(8151.58,)"
71,"(8151.58,)"
72,"(8151.58,)"
73,"(8008.47,)"
74,"(8008.47,)"
75,"(8008.47,)"
76,"(8008.47,)"
77,"(8008.47,)"
78,"(8008.47,)"
79,"(8008.47,)"
80,"(8008.47,)"
81,"(8008.47,)"
82,"(8008.47,)"
83,"(8008.47,)"
84,"(8008.47,)"
85,"(7993.46,)"
86,"(7993.46,)"
87,"(7993.46,)"
88,"(7993.46,)"
89,"(7993.46,)"
90,"(7993.46,)"
