generation,fitness
1,"(12212.67,)"
2,"(11645.27,)"
3,"(11448.11,)"
4,"(11328.23,)"
5,"(11312.32,)"
6,"(11045.05,)"
7,"(10899.1,)"
8,"(10567.68,)"
9,"(10341.48,)"
10,"(10067.1,)"
11,"(10062.22,)"
12,"(10046.66,)"
13,"(10041.78,)"
14,"(9791.24,)"
15,"(9791.24,)"
16,"(9791.24,)"
17,"(9791.24,)"
18,"(9791.24,)"
19,"(9741.54,)"
20,"(9649.47,)"
21,"(9537.24,)"
22,"(9410.1,)"
23,"(9410.1,)"
24,"(9205.91,)"
25,"(9205.91,)"
26,"(9205.91,)"
27,"(9205.91,)"
28,"(9205.87,)"
29,"(9037.79,)"
30,"(9037.79,)"
31,"(9037.79,)"
32,"(9037.79,)"
33,"(9037.79,)"
34,"(8893.2,)"
35,"(8893.2,)"
36,"(8893.2,)"
37,"(8857.49,)"
38,"(8725.47,)"
39,"(8725.47,)"
40,"(8725.47,)"
41,"(8679.94,)"
42,"(8679.94,)"
43,"(8679.94,)"
44,"(8679.94,)"
45,"(8679.94,)"
46,"(8679.94,)"
47,"(8679.94,)"
48,"(8503.31,)"
49,"(8503.31,)"
50,"(8503.31,)"
51,"(8464.58,)"
52,"(8464.58,)"
53,"(8451.48,)"
54,"(8451.48,)"
55,"(8451.48,)"
56,"(8451.48,)"
57,"(8451.48,)"
58,"(8451.48,)"
59,"(8451.48,)"
60,"(8451.48,)"
61,"(8451.48,)"
62,"(8401.85,)"
63,"(8401.85,)"
64,"(8364.16,)"
65,"(8364.16,)"
66,"(8364.16,)"
67,"(8364.16,)"
68,"(8364.16,)"
69,"(8364.16,)"
70,"(8364.16,)"
71,"(8364.16,)"
72,"(8364.16,)"
73,"(8364.16,)"
74,"(8364.16,)"
75,"(8364.16,)"
76,"(8364.16,)"
77,"(8364.16,)"
78,"(8364.16,)"
79,"(8364.16,)"
80,"(8364.16,)"
81,"(8364.16,)"
82,"(8364.16,)"
83,"(8364.16,)"
84,"(8364.16,)"
85,"(8364.16,)"
86,"(8364.16,)"
87,"(8364.16,)"
88,"(8364.16,)"
89,"(8364.16,)"
90,"(8364.16,)"
91,"(8364.16,)"
92,"(8364.16,)"
93,"(8364.16,)"
94,"(8364.16,)"
95,"(8364.16,)"
96,"(8364.16,)"
97,"(8364.16,)"
98,"(8364.16,)"
