迭代：69，类型：随机，适应值：(9675.9538,)，车辆：20，距离：3997.977，满意度：93.6
迭代：70，类型：随机，适应值：(9593.2524,)，车辆：20，距离：3996.626，满意度：94.0
迭代：71，类型：随机，适应值：(9511.8856,)，车辆：20，距离：4008.943，满意度：94.53
迭代：72，类型：随机，适应值：(9511.8856,)，车辆：20，距离：4008.943，满意度：94.53
迭代：73，类型：随机，适应值：(9511.8856,)，车辆：20，距离：4008.943，满意度：94.53
迭代：74，类型：随机，适应值：(9428.2121,)，车辆：20，距离：4021.106，满意度：95.07
迭代：75，类型：随机，适应值：(9420.7194,)，车辆：20，距离：4017.36，满意度：95.07
迭代：76，类型：随机，适应值：(9420.7194,)，车辆：20，距离：4017.36，满意度：95.07
迭代：77，类型：随机，适应值：(9415.6693,)，车辆：20，距离：4020.835，满意度：95.13
迭代：78，类型：随机，适应值：(9233.8637,)，车辆：20，距离：4016.932，满意度：96.0
迭代：79，类型：随机，适应值：(9233.8637,)，车辆：20，距离：4016.932，满意度：96.0
迭代：80，类型：随机，适应值：(9219.3209,)，车辆：20，距离：4016.66，满意度：96.07
迭代：81，类型：随机，适应值：(9210.9645,)，车辆：20，距离：4032.482，满意度：96.27
迭代：82，类型：随机，适应值：(9210.9645,)，车辆：20，距离：4032.482，满意度：96.27
迭代：83，类型：随机，适应值：(9210.9645,)，车辆：20，距离：4032.482，满意度：96.27
迭代：84，类型：随机，适应值：(9198.2871,)，车辆：20，距离：4026.144，满意度：96.27
迭代：85，类型：随机，适应值：(9198.2871,)，车辆：20，距离：4026.144，满意度：96.27
迭代：86，类型：随机，适应值：(9185.7191,)，车辆：20，距离：4032.86，满意度：96.4
迭代：87，类型：随机，适应值：(9175.534,)，车辆：20，距离：4020.767，满意度：96.33
迭代：88，类型：随机，适应值：(9172.6856,)，车辆：20，距离：4026.343，满意度：96.4
迭代：89，类型：随机，适应值：(9090.2318,)，车辆：20，距离：4005.116，满意度：96.6
迭代：90，类型：随机，适应值：(9090.2318,)，车辆：20，距离：4005.116，满意度：96.6
迭代：91，类型：随机，适应值：(9090.2318,)，车辆：20，距离：4005.116，满意度：96.6
迭代：92，类型：随机，适应值：(9090.2318,)，车辆：20，距离：4005.116，满意度：96.6
迭代：93，类型：随机，适应值：(9090.2318,)，车辆：20，距离：4005.116，满意度：96.6
迭代：94，类型：随机，适应值：(9090.2318,)，车辆：20，距离：4005.116，满意度：96.6
迭代：95，类型：随机，适应值：(9090.2318,)，车辆：20，距离：4005.116，满意度：96.6
迭代：96，类型：随机，适应值：(9064.8141,)，车辆：20，距离：3992.407，满意度：96.6
迭代：97，类型：随机，适应值：(9064.8141,)，车辆：20，距离：3992.407，满意度：96.6
迭代：98，类型：随机，适应值：(9015.6289,)，车辆：20，距离：3987.814，满意度：96.8
