index,fitness
1,17055.8216
2,16979.2303
3,16345.778
4,15877.9403
5,15163.961
6,15163.961
7,14807.8874
8,13858.5297
9,13858.5297
10,13640.2766
11,13640.2766
12,13640.2766
13,13589.8378
14,13073.5445
15,13073.5445
16,13073.5445
17,12551.5795
18,12551.5795
19,12468.1233
20,12468.1233
21,12468.1233
22,12348.9232
23,12348.9232
24,12348.9232
25,12348.9232
26,12151.2447
27,12151.2447
28,12151.2447
29,12121.1966
30,12028.8474
31,12028.8474
32,12028.8474
33,12017.9849
34,12017.9849
35,11890.1074
36,11890.1074
37,11890.1074
38,11889.1217
39,11725.3697
40,11725.3697
41,11585.644
42,11585.644
43,11585.644
44,11526.5046
45,11489.9446
46,11489.9446
47,11476.0907
48,11476.0907
49,11434.034
50,11434.034
51,11434.034
52,11430.557
53,11242.0877
54,11200.0309
55,11200.0309
56,11196.554
57,11084.2309
58,11084.2309
59,11084.2309
60,11084.2309
61,11084.2309
62,11084.2309
63,10909.5284
64,10909.5284
65,10909.5284
66,10909.5284
67,10909.5284
68,10909.5284
69,10909.5284
70,10909.5284
71,10909.5284
72,10909.5284
73,10909.5284
74,10908.2044
75,10908.2044
76,10908.2044
77,10908.2044
78,10862.8463
79,10862.8463
80,10862.8463
81,10861.5223
82,10861.5223
83,10861.5223
84,10861.5223
85,10860.3477
86,10860.3477
87,10860.3477
88,10860.3477
89,10799.908
90,10799.908
91,10799.908
92,10799.908
93,10639.2401
94,10639.2401
95,10639.2401
96,10639.2401
97,10596.9836
98,10596.9836
99,10436.3157
100,10436.3157
101,10436.3157
102,10436.3157
103,10436.3157
104,10358.8326
105,10358.8326
106,10358.8326
107,10313.7215
108,10313.7215
109,10313.7215
110,10313.7215
111,10313.7215
112,10313.7215
113,10293.7122
114,10293.7122
115,10293.7122
116,10293.7122
117,10293.7122
118,10293.7122
119,10293.7122
120,10293.7122
121,10293.7122
122,10293.7122
123,10293.7122
124,10293.7122
125,10293.7122
126,10293.7122
127,10293.7122
128,10293.7122
129,10293.7122
130,10293.7122
131,10293.7122
132,10293.7122
133,10293.7122
134,10293.7122
135,10293.7122
136,10293.7122
137,10293.7122
138,10293.7122
139,10293.7122
140,10293.7122
141,10293.7122
142,10293.7122
143,10293.7122
144,10293.7122
145,10293.7122
146,10293.7122
147,10293.7122
148,10293.7122
149,10293.7122
150,10293.7122
151,10293.7122
152,10293.7122
153,10293.7122
154,10293.7122
155,10293.7122
156,10293.7122
157,10293.7122
158,10293.7122
159,10293.7122
160,10293.7122
161,10293.7122
162,10293.7122
163,10293.7122
164,10293.7122
165,10293.7122
166,10293.7122
167,10293.7122
168,10293.7122
169,10293.7122
170,10293.7122
171,10293.7122
172,10293.7122
173,10293.7122
174,10293.7122
175,10293.7122
176,10293.7122
177,10293.7122
178,10293.7122
179,10293.7122
180,10293.7122
181,10293.7122
182,10293.7122
183,10293.7122
184,10293.7122
185,10293.7122
186,10293.7122
187,10293.7122
188,10293.7122
189,10293.7122
190,10293.7122
191,10293.7122
192,10293.7122
193,10293.7122
194,10293.7122
195,10293.7122
196,10293.7122
197,10293.7122
198,10293.7122
199,10293.7122
200,10293.7122
201,10293.7122
202,10293.7122
203,10293.7122
204,10293.7122
205,10293.7122
206,10293.7122
207,10293.7122
208,10293.7122
209,10293.7122
210,10293.7122
211,10293.7122
212,10293.7122
213,10293.7122
214,10293.7122
215,10293.7122
216,10293.7122
217,10293.7122
218,10293.7122
219,10293.7122
220,10293.7122
221,10293.7122
222,10293.7122
223,10293.7122
224,10293.7122
225,10293.7122
226,10293.7122
227,10293.7122
228,10293.7122
229,10293.7122
230,10293.7122
231,10293.7122
232,10293.7122
233,10293.7122
234,10293.7122
235,10293.7122
236,10293.7122
237,10293.7122
238,10293.7122
239,10293.7122
240,10293.7122
241,10293.7122
242,10293.7122
243,10293.7122
244,10293.7122
