generation,fitness
1,"(12171.51,)"
2,"(11421.27,)"
3,"(11421.27,)"
4,"(10939.57,)"
5,"(10766.66,)"
6,"(10637.91,)"
7,"(10506.36,)"
8,"(10506.36,)"
9,"(10336.99,)"
10,"(9956.02,)"
11,"(9671.23,)"
12,"(9660.59,)"
13,"(9628.52,)"
14,"(9610.39,)"
15,"(9610.39,)"
16,"(9610.39,)"
17,"(9442.61,)"
18,"(9442.61,)"
19,"(9442.61,)"
20,"(9442.61,)"
21,"(9442.61,)"
22,"(9442.61,)"
23,"(9442.61,)"
24,"(9442.61,)"
25,"(9442.61,)"
26,"(9442.61,)"
27,"(9442.61,)"
28,"(9442.61,)"
29,"(9442.61,)"
30,"(9409.39,)"
31,"(9409.39,)"
32,"(9409.39,)"
33,"(9409.39,)"
34,"(9409.39,)"
35,"(9409.39,)"
36,"(9409.39,)"
37,"(9409.39,)"
38,"(9409.39,)"
39,"(9409.39,)"
40,"(9269.94,)"
41,"(9269.94,)"
42,"(9269.94,)"
43,"(9269.94,)"
44,"(9269.94,)"
45,"(9269.94,)"
46,"(9220.92,)"
47,"(9147.97,)"
48,"(9147.97,)"
49,"(9147.97,)"
50,"(9147.97,)"
51,"(9147.97,)"
52,"(9147.97,)"
53,"(9137.11,)"
54,"(9137.11,)"
55,"(9034.35,)"
56,"(9034.35,)"
57,"(9034.35,)"
58,"(9034.35,)"
59,"(9034.35,)"
60,"(9034.35,)"
61,"(9034.35,)"
62,"(9034.35,)"
63,"(8994.32,)"
64,"(8994.32,)"
65,"(8994.32,)"
66,"(8994.32,)"
67,"(8994.32,)"
68,"(8994.32,)"
69,"(8994.32,)"
70,"(8994.32,)"
71,"(8994.32,)"
72,"(8994.32,)"
73,"(8994.32,)"
74,"(8994.32,)"
75,"(8902.89,)"
76,"(8902.89,)"
77,"(8807.52,)"
78,"(8807.52,)"
79,"(8716.09,)"
80,"(8716.09,)"
81,"(8626.5,)"
82,"(8626.5,)"
83,"(8626.5,)"
84,"(8626.5,)"
85,"(8626.5,)"
86,"(8626.5,)"
87,"(8626.5,)"
88,"(8626.5,)"
89,"(8626.5,)"
90,"(8626.5,)"
91,"(8626.5,)"
92,"(8626.5,)"
93,"(8626.5,)"
94,"(8626.5,)"
95,"(8626.5,)"
96,"(8626.5,)"
97,"(8626.5,)"
98,"(8626.5,)"
99,"(8626.5,)"
100,"(8626.5,)"
101,"(8626.5,)"
102,"(8626.5,)"
103,"(8626.5,)"
104,"(8626.5,)"
105,"(8626.5,)"
106,"(8626.5,)"
107,"(8626.5,)"
108,"(8626.5,)"
109,"(8626.5,)"
110,"(8626.5,)"
111,"(8626.5,)"
112,"(8626.5,)"
113,"(8626.5,)"
114,"(8626.5,)"
115,"(8626.5,)"
116,"(8626.5,)"
117,"(8626.5,)"
118,"(8626.5,)"
119,"(8626.5,)"
120,"(8626.5,)"
121,"(8626.5,)"
122,"(8626.5,)"
123,"(8626.5,)"
124,"(8626.5,)"
125,"(8626.5,)"
126,"(8626.5,)"
127,"(8626.5,)"
128,"(8626.5,)"
129,"(8626.5,)"
130,"(8626.5,)"
131,"(8626.5,)"
132,"(8626.5,)"
133,"(8626.5,)"
134,"(8626.5,)"
135,"(8626.5,)"
136,"(8626.5,)"
137,"(8626.5,)"
138,"(8626.5,)"
139,"(8626.5,)"
140,"(8626.5,)"
141,"(8626.5,)"
142,"(8626.5,)"
143,"(8626.5,)"
144,"(8626.5,)"
145,"(8626.5,)"
146,"(8626.5,)"
147,"(8626.5,)"
148,"(8626.5,)"
149,"(8626.5,)"
150,"(8626.5,)"
151,"(8626.5,)"
152,"(8626.5,)"
153,"(8626.5,)"
154,"(8626.5,)"
155,"(8626.5,)"
156,"(8626.5,)"
157,"(8626.5,)"
158,"(8626.5,)"
159,"(8626.5,)"
160,"(8626.5,)"
161,"(8626.5,)"
162,"(8626.5,)"
163,"(8626.5,)"
164,"(8626.5,)"
165,"(8626.5,)"
166,"(8626.5,)"
167,"(8626.5,)"
168,"(8626.5,)"
169,"(8626.5,)"
170,"(8626.5,)"
171,"(8626.5,)"
172,"(8626.5,)"
173,"(8626.5,)"
174,"(8626.5,)"
175,"(8626.5,)"
176,"(8626.5,)"
177,"(8626.5,)"
178,"(8626.5,)"
179,"(8626.5,)"
180,"(8626.5,)"
181,"(8626.5,)"
182,"(8626.5,)"
183,"(8626.5,)"
184,"(8626.5,)"
185,"(8626.5,)"
186,"(8626.5,)"
187,"(8626.5,)"
188,"(8626.5,)"
189,"(8626.5,)"
190,"(8626.5,)"
191,"(8626.5,)"
192,"(8626.5,)"
193,"(8626.5,)"
194,"(8626.5,)"
195,"(8626.5,)"
196,"(8626.5,)"
197,"(8626.5,)"
198,"(8626.5,)"
199,"(8626.5,)"
200,"(8626.5,)"
201,"(8626.5,)"
202,"(8626.5,)"
203,"(8626.5,)"
204,"(8626.5,)"
205,"(8626.5,)"
206,"(8626.5,)"
207,"(8626.5,)"
208,"(8626.5,)"
209,"(8626.5,)"
210,"(8626.5,)"
211,"(8626.5,)"
212,"(8626.5,)"
213,"(8626.5,)"
214,"(8626.5,)"
215,"(8626.5,)"
216,"(8626.5,)"
217,"(8626.5,)"
218,"(8626.5,)"
219,"(8626.5,)"
220,"(8626.5,)"
221,"(8626.5,)"
222,"(8626.5,)"
223,"(8626.5,)"
224,"(8626.5,)"
225,"(8626.5,)"
226,"(8626.5,)"
227,"(8626.5,)"
228,"(8626.5,)"
229,"(8626.5,)"
230,"(8626.5,)"
231,"(8626.5,)"
232,"(8626.5,)"
233,"(8626.5,)"
234,"(8626.5,)"
235,"(8626.5,)"
236,"(8626.5,)"
237,"(8626.5,)"
238,"(8626.5,)"
239,"(8626.5,)"
240,"(8626.5,)"
241,"(8626.5,)"
242,"(8626.5,)"
243,"(8626.5,)"
244,"(8626.5,)"
245,"(8626.5,)"
246,"(8626.5,)"
247,"(8626.5,)"
248,"(8626.5,)"
249,"(8626.5,)"
250,"(8626.5,)"
251,"(8626.5,)"
252,"(8626.5,)"
253,"(8626.5,)"
254,"(8626.5,)"
255,"(8626.5,)"
256,"(8626.5,)"
257,"(8626.5,)"
258,"(8626.5,)"
259,"(8626.5,)"
260,"(8626.5,)"
261,"(8626.5,)"
262,"(8626.5,)"
263,"(8626.5,)"
264,"(8626.5,)"
265,"(8626.5,)"
266,"(8626.5,)"
267,"(8626.5,)"
268,"(8626.5,)"
269,"(8626.5,)"
270,"(8626.5,)"
271,"(8626.5,)"
272,"(8626.5,)"
273,"(8626.5,)"
274,"(8626.5,)"
275,"(8626.5,)"
276,"(8626.5,)"
277,"(8626.5,)"
278,"(8626.5,)"
279,"(8626.5,)"
280,"(8626.5,)"
281,"(8626.5,)"
282,"(8626.5,)"
283,"(8626.5,)"
284,"(8626.5,)"
285,"(8626.5,)"
286,"(8626.5,)"
287,"(8626.5,)"
288,"(8626.5,)"
289,"(8626.5,)"
290,"(8626.5,)"
291,"(8626.5,)"
292,"(8626.5,)"
293,"(8626.5,)"
294,"(8626.5,)"
295,"(8626.5,)"
296,"(8626.5,)"
297,"(8626.5,)"
298,"(8626.5,)"
299,"(8626.5,)"
300,"(8626.5,)"
301,"(8626.5,)"
302,"(8626.5,)"
303,"(8626.5,)"
304,"(8626.5,)"
305,"(8626.5,)"
306,"(8626.5,)"
307,"(8626.5,)"
308,"(8626.5,)"
309,"(8626.5,)"
310,"(8626.5,)"
311,"(8626.5,)"
312,"(8626.5,)"
313,"(8626.5,)"
314,"(8626.5,)"
315,"(8626.5,)"
316,"(8626.5,)"
317,"(8626.5,)"
318,"(8626.5,)"
319,"(8626.5,)"
320,"(8626.5,)"
321,"(8626.5,)"
322,"(8626.5,)"
323,"(8626.5,)"
324,"(8626.5,)"
325,"(8626.5,)"
326,"(8626.5,)"
327,"(8626.5,)"
328,"(8626.5,)"
329,"(8626.5,)"
330,"(8626.5,)"
331,"(8626.5,)"
332,"(8626.5,)"
333,"(8626.5,)"
334,"(8626.5,)"
335,"(8626.5,)"
336,"(8626.5,)"
337,"(8626.5,)"
338,"(8626.5,)"
339,"(8626.5,)"
340,"(8626.5,)"
341,"(8626.5,)"
342,"(8626.5,)"
343,"(8626.5,)"
344,"(8626.5,)"
345,"(8626.5,)"
346,"(8626.5,)"
347,"(8626.5,)"
348,"(8626.5,)"
349,"(8626.5,)"
350,"(8626.5,)"
351,"(8626.5,)"
352,"(8626.5,)"
353,"(8626.5,)"
354,"(8626.5,)"
355,"(8626.5,)"
356,"(8626.5,)"
357,"(8626.5,)"
358,"(8626.5,)"
359,"(8626.5,)"
360,"(8626.5,)"
361,"(8626.5,)"
362,"(8626.5,)"
363,"(8626.5,)"
364,"(8626.5,)"
365,"(8626.5,)"
366,"(8626.5,)"
367,"(8626.5,)"
368,"(8626.5,)"
369,"(8626.5,)"
370,"(8626.5,)"
371,"(8626.5,)"
372,"(8626.5,)"
373,"(8626.5,)"
374,"(8626.5,)"
375,"(8626.5,)"
376,"(8626.5,)"
377,"(8626.5,)"
378,"(8626.5,)"
379,"(8626.5,)"
380,"(8626.5,)"
381,"(8626.5,)"
382,"(8626.5,)"
383,"(8626.5,)"
384,"(8626.5,)"
385,"(8626.5,)"
386,"(8626.5,)"
387,"(8626.5,)"
388,"(8626.5,)"
389,"(8626.5,)"
390,"(8626.5,)"
391,"(8626.5,)"
392,"(8626.5,)"
393,"(8626.5,)"
394,"(8626.5,)"
395,"(8626.5,)"
396,"(8626.5,)"
397,"(8626.5,)"
398,"(8626.5,)"
399,"(8626.5,)"
400,"(8626.5,)"
401,"(8626.5,)"
402,"(8626.5,)"
403,"(8626.5,)"
404,"(8626.5,)"
405,"(8626.5,)"
406,"(8626.5,)"
407,"(8626.5,)"
408,"(8626.5,)"
409,"(8626.5,)"
410,"(8626.5,)"
411,"(8626.5,)"
412,"(8626.5,)"
413,"(8626.5,)"
414,"(8626.5,)"
415,"(8626.5,)"
416,"(8626.5,)"
417,"(8626.5,)"
418,"(8626.5,)"
419,"(8626.5,)"
420,"(8626.5,)"
421,"(8626.5,)"
422,"(8626.5,)"
423,"(8626.5,)"
424,"(8626.5,)"
425,"(8626.5,)"
426,"(8626.5,)"
427,"(8626.5,)"
428,"(8626.5,)"
429,"(8626.5,)"
430,"(8626.5,)"
431,"(8626.5,)"
432,"(8626.5,)"
