generation,fitness
1,"(11344.49,)"
2,"(10836.73,)"
3,"(10836.73,)"
4,"(10504.32,)"
5,"(10013.71,)"
6,"(9756.48,)"
7,"(9756.48,)"
8,"(9756.48,)"
9,"(9756.48,)"
10,"(9756.48,)"
11,"(9317.34,)"
12,"(9317.34,)"
13,"(9317.34,)"
14,"(9317.34,)"
15,"(9317.34,)"
16,"(9317.34,)"
17,"(9317.34,)"
18,"(9317.34,)"
19,"(9317.34,)"
20,"(9317.34,)"
21,"(9317.34,)"
22,"(9317.34,)"
23,"(9317.34,)"
24,"(9317.34,)"
25,"(9317.34,)"
26,"(9277.16,)"
27,"(9277.16,)"
28,"(9277.16,)"
29,"(9277.16,)"
30,"(9276.08,)"
31,"(9067.54,)"
32,"(9067.54,)"
33,"(9067.54,)"
34,"(9067.54,)"
35,"(9067.54,)"
36,"(9067.54,)"
37,"(9021.25,)"
38,"(9021.25,)"
39,"(9021.25,)"
40,"(9021.25,)"
41,"(9021.25,)"
42,"(9021.25,)"
43,"(9021.25,)"
44,"(9021.25,)"
45,"(9021.25,)"
46,"(8924.32,)"
47,"(8924.32,)"
48,"(8924.32,)"
49,"(8924.32,)"
50,"(8924.32,)"
51,"(8924.32,)"
52,"(8811.52,)"
53,"(8811.52,)"
54,"(8811.52,)"
55,"(8811.52,)"
56,"(8811.52,)"
57,"(8811.52,)"
58,"(8798.83,)"
59,"(8798.83,)"
60,"(8798.83,)"
61,"(8798.83,)"
62,"(8798.83,)"
63,"(8787.07,)"
64,"(8749.75,)"
65,"(8749.75,)"
66,"(8749.75,)"
67,"(8737.99,)"
68,"(8737.99,)"
69,"(8737.99,)"
70,"(8737.99,)"
71,"(8737.99,)"
72,"(8630.92,)"
73,"(8630.92,)"
74,"(8630.92,)"
75,"(8630.92,)"
76,"(8630.92,)"
77,"(8630.92,)"
78,"(8630.92,)"
79,"(8629.84,)"
80,"(8629.84,)"
81,"(8629.84,)"
82,"(8629.84,)"
83,"(8629.84,)"
84,"(8629.84,)"
85,"(8629.84,)"
86,"(8342.36,)"
87,"(8342.36,)"
88,"(8342.36,)"
89,"(8342.36,)"
90,"(8342.36,)"
91,"(8342.36,)"
92,"(8342.36,)"
93,"(8342.36,)"
94,"(8342.36,)"
95,"(8342.36,)"
96,"(8342.36,)"
97,"(8342.36,)"
98,"(8342.36,)"
99,"(8342.36,)"
100,"(8342.36,)"
101,"(8342.36,)"
102,"(8342.36,)"
103,"(8341.28,)"
104,"(8341.28,)"
105,"(8341.28,)"
106,"(8341.28,)"
107,"(8341.28,)"
108,"(8341.28,)"
109,"(8341.28,)"
110,"(8341.28,)"
111,"(8341.28,)"
112,"(8341.28,)"
113,"(8341.28,)"
114,"(8341.28,)"
115,"(8341.28,)"
116,"(8341.28,)"
117,"(8341.28,)"
118,"(8341.28,)"
119,"(8341.28,)"
120,"(8341.28,)"
121,"(8341.28,)"
122,"(8341.28,)"
123,"(8341.28,)"
124,"(8341.28,)"
125,"(8341.28,)"
126,"(8341.28,)"
127,"(8341.28,)"
128,"(8341.28,)"
129,"(8341.28,)"
130,"(8341.28,)"
131,"(8341.28,)"
132,"(8341.28,)"
133,"(8341.28,)"
134,"(8341.28,)"
135,"(8341.28,)"
136,"(8341.28,)"
137,"(8341.28,)"
138,"(8341.28,)"
139,"(8341.28,)"
140,"(8341.28,)"
141,"(8341.28,)"
142,"(8341.28,)"
143,"(8341.28,)"
144,"(8341.28,)"
145,"(8341.28,)"
146,"(8341.28,)"
147,"(8341.28,)"
148,"(8341.28,)"
149,"(8341.28,)"
150,"(8341.28,)"
151,"(8341.28,)"
152,"(8341.28,)"
153,"(8341.28,)"
154,"(8341.28,)"
155,"(8341.28,)"
156,"(8341.28,)"
157,"(8341.28,)"
158,"(8341.28,)"
159,"(8341.28,)"
160,"(8341.28,)"
161,"(8341.28,)"
162,"(8341.28,)"
163,"(8341.28,)"
164,"(8341.28,)"
165,"(8341.28,)"
166,"(8341.28,)"
167,"(8341.28,)"
168,"(8341.28,)"
169,"(8341.28,)"
170,"(8341.28,)"
171,"(8341.28,)"
172,"(8341.28,)"
173,"(8341.28,)"
174,"(8341.28,)"
175,"(8341.28,)"
176,"(8341.28,)"
177,"(8341.28,)"
178,"(8341.28,)"
179,"(8341.28,)"
180,"(8341.28,)"
181,"(8341.28,)"
