generation,fitness
1,"(11655.41,)"
2,"(11355.61,)"
3,"(10624.63,)"
4,"(10624.63,)"
5,"(10373.82,)"
6,"(10289.41,)"
7,"(10100.27,)"
8,"(9803.27,)"
9,"(9794.73,)"
10,"(9642.31,)"
11,"(9642.31,)"
12,"(9437.47,)"
13,"(9437.47,)"
14,"(9142.75,)"
15,"(9142.75,)"
16,"(9142.75,)"
17,"(9101.99,)"
18,"(9101.99,)"
19,"(9101.99,)"
20,"(9101.99,)"
21,"(9101.99,)"
22,"(9101.99,)"
23,"(9101.99,)"
24,"(8999.3,)"
25,"(8999.3,)"
26,"(8999.3,)"
27,"(8999.3,)"
28,"(8999.3,)"
29,"(8999.3,)"
30,"(8999.3,)"
31,"(8999.3,)"
32,"(8999.3,)"
33,"(8999.3,)"
34,"(8787.98,)"
35,"(8787.98,)"
36,"(8726.01,)"
37,"(8726.01,)"
38,"(8726.01,)"
39,"(8655.03,)"
40,"(8655.03,)"
41,"(8655.03,)"
42,"(8655.03,)"
43,"(8567.39,)"
44,"(8567.39,)"
45,"(8340.73,)"
46,"(8340.73,)"
47,"(8340.73,)"
48,"(8340.73,)"
49,"(8340.73,)"
50,"(8340.73,)"
51,"(8340.73,)"
52,"(8340.73,)"
53,"(8340.73,)"
54,"(8340.73,)"
55,"(8340.73,)"
56,"(8297.71,)"
57,"(8297.71,)"
58,"(8297.71,)"
59,"(8297.71,)"
60,"(8297.71,)"
61,"(8297.71,)"
62,"(8261.32,)"
63,"(8261.32,)"
64,"(8261.32,)"
65,"(8261.32,)"
66,"(8261.32,)"
67,"(8261.32,)"
68,"(8261.32,)"
69,"(8261.32,)"
70,"(8261.32,)"
71,"(8261.32,)"
72,"(8183.11,)"
73,"(8183.11,)"
74,"(8183.11,)"
75,"(8183.11,)"
76,"(8183.11,)"
77,"(8183.11,)"
78,"(8183.11,)"
79,"(8183.11,)"
80,"(8183.11,)"
81,"(8183.11,)"
82,"(8183.11,)"
83,"(8183.11,)"
84,"(8183.11,)"
85,"(8183.11,)"
86,"(8122.78,)"
87,"(8122.78,)"
88,"(8122.78,)"
89,"(8078.33,)"
90,"(8078.33,)"
