generation,fitness
1,"(11964.76,)"
2,"(11166.68,)"
3,"(10721.61,)"
4,"(10721.61,)"
5,"(10711.35,)"
6,"(10537.54,)"
7,"(10157.92,)"
8,"(10071.93,)"
9,"(9982.36,)"
10,"(9933.3,)"
11,"(9869.82,)"
12,"(9869.82,)"
13,"(9869.82,)"
14,"(9869.82,)"
15,"(9863.24,)"
16,"(9863.24,)"
17,"(9863.24,)"
18,"(9863.24,)"
19,"(9574.26,)"
20,"(9574.26,)"
21,"(9567.68,)"
22,"(9567.68,)"
23,"(9567.68,)"
24,"(9567.68,)"
25,"(9565.8,)"
26,"(9295.32,)"
27,"(9295.32,)"
28,"(9295.32,)"
29,"(9295.32,)"
30,"(9216.19,)"
31,"(9216.19,)"
32,"(9216.19,)"
33,"(9216.19,)"
34,"(8845.74,)"
35,"(8845.74,)"
36,"(8845.74,)"
37,"(8845.74,)"
38,"(8845.74,)"
39,"(8845.74,)"
40,"(8845.74,)"
41,"(8845.74,)"
42,"(8845.74,)"
43,"(8845.74,)"
44,"(8845.74,)"
45,"(8845.74,)"
46,"(8845.74,)"
47,"(8845.74,)"
48,"(8845.74,)"
49,"(8845.74,)"
50,"(8845.74,)"
51,"(8845.74,)"
52,"(8845.74,)"
53,"(8845.74,)"
54,"(8845.74,)"
55,"(8845.74,)"
56,"(8845.74,)"
57,"(8845.74,)"
58,"(8845.74,)"
59,"(8845.74,)"
60,"(8845.74,)"
61,"(8845.74,)"
62,"(8845.74,)"
63,"(8845.74,)"
64,"(8845.74,)"
65,"(8845.74,)"
66,"(8845.74,)"
67,"(8845.74,)"
68,"(8845.74,)"
69,"(8845.74,)"
70,"(8845.74,)"
71,"(8845.74,)"
72,"(8845.74,)"
73,"(8845.74,)"
74,"(8845.74,)"
75,"(8845.74,)"
76,"(8845.74,)"
77,"(8845.74,)"
78,"(8845.74,)"
79,"(8845.74,)"
80,"(8845.74,)"
81,"(8845.74,)"
82,"(8845.74,)"
83,"(8845.74,)"
84,"(8845.74,)"
85,"(8845.74,)"
86,"(8845.74,)"
87,"(8845.74,)"
88,"(8845.74,)"
