index,fitness
1,10465.1153
2,9660.1318
3,9478.2069
4,9478.2069
5,9478.2069
6,9260.7269
7,9144.1668
8,9144.1668
9,9144.1668
10,9144.1668
11,9133.1653
12,9032.035
13,8987.9116
14,8987.9116
15,8987.9116
16,8987.9116
17,8987.9116
18,8971.7465
19,8971.7465
20,8971.7465
21,8971.7465
22,8971.7465
23,8971.7465
24,8971.7465
25,8971.7465
26,8971.7465
27,8971.7465
28,8971.7465
29,8971.7465
30,8971.7465
31,8971.7465
32,8971.7465
33,8971.7465
34,8971.7465
35,8971.7465
36,8971.7465
37,8971.7465
38,8971.7465
39,8971.7465
40,8971.7465
41,8971.7465
42,8971.7465
43,8971.7465
44,8971.7465
45,8971.7465
46,8971.7465
47,8971.7465
48,8971.7465
49,8971.7465
50,8971.7465
51,8971.7465
52,8971.7465
53,8971.7465
54,8971.7465
55,8971.7465
56,8971.7465
57,8971.7465
58,8971.7465
59,8971.7465
60,8971.7465
61,8971.7465
62,8971.7465
63,8971.7465
64,8971.7465
65,8971.7465
66,8971.7465
67,8971.7465
68,8971.7465
69,8971.7465
70,8971.7465
71,8971.7465
72,8971.7465
73,8971.7465
74,8971.7465
75,8971.7465
76,8971.7465
77,8971.7465
78,8823.5231
79,8823.5231
80,8823.5231
81,8823.5231
82,8823.5231
83,8823.5231
84,8823.5231
85,8823.5231
86,8823.5231
87,8823.5231
88,8823.5231
89,8823.5231
90,8823.5231
91,8823.5231
92,8823.5231
93,8823.5231
94,8823.5231
95,8823.5231
96,8823.5231
97,8823.5231
98,8823.5231
99,8823.5231
100,8823.5231
101,8823.5231
102,8823.5231
103,8823.5231
104,8823.5231
105,8823.5231
106,8823.5231
107,8823.5231
108,8823.5231
109,8823.5231
110,8823.5231
111,8823.5231
112,8823.5231
113,8823.5231
114,8823.5231
115,8823.5231
116,8823.5231
117,8823.5231
118,8823.5231
119,8823.5231
120,8823.5231
121,8823.5231
122,8823.5231
123,8823.5231
124,8823.5231
125,8823.5231
126,8823.5231
127,8823.5231
128,8823.5231
129,8823.5231
130,8823.5231
131,8823.5231
132,8823.5231
133,8823.5231
134,8823.5231
135,8823.5231
136,8823.5231
137,8823.5231
138,8823.5231
139,8823.5231
140,8823.5231
141,8823.5231
142,8823.5231
143,8823.5231
144,8823.5231
145,8823.5231
146,8823.5231
147,8823.5231
148,8823.5231
149,8823.5231
150,8823.5231
151,8823.5231
152,8823.5231
153,8823.5231
154,8823.5231
155,8823.5231
156,8823.5231
157,8823.5231
158,8823.5231
159,8823.5231
160,8823.5231
161,8823.5231
162,8823.5231
163,8823.5231
164,8823.5231
165,8823.5231
166,8823.5231
167,8823.5231
168,8823.5231
169,8823.5231
170,8823.5231
171,8823.5231
172,8823.5231
173,8823.5231
174,8823.5231
175,8823.5231
176,8823.5231
177,8823.5231
178,8823.5231
179,8823.5231
180,8823.5231
181,8823.5231
182,8823.5231
183,8823.5231
184,8823.5231
185,8823.5231
186,8823.5231
187,8823.5231
188,8823.5231
189,8823.5231
190,8823.5231
191,8823.5231
192,8823.5231
193,8823.5231
194,8823.5231
195,8823.5231
196,8823.5231
197,8823.5231
198,8823.5231
199,8823.5231
200,8823.5231
201,8823.5231
202,8823.5231
203,8823.5231
204,8823.5231
205,8823.5231
206,8823.5231
207,8823.5231
208,8823.5231
