generation,fitness
1,"(12080.98,)"
2,"(11737.17,)"
3,"(11202.3,)"
4,"(10902.69,)"
5,"(9808.43,)"
6,"(9808.43,)"
7,"(9808.43,)"
8,"(9808.43,)"
9,"(9808.43,)"
10,"(9371.23,)"
11,"(9035.67,)"
12,"(8957.29,)"
13,"(8874.41,)"
14,"(8812.16,)"
15,"(8812.16,)"
16,"(8730.13,)"
17,"(8730.13,)"
18,"(8525.2,)"
19,"(8525.2,)"
20,"(8357.08,)"
21,"(8357.08,)"
22,"(8357.08,)"
23,"(8357.08,)"
24,"(8357.08,)"
25,"(8357.08,)"
26,"(8357.08,)"
27,"(8357.08,)"
28,"(8357.08,)"
29,"(8357.08,)"
30,"(8357.08,)"
31,"(8352.81,)"
32,"(8352.81,)"
33,"(8261.75,)"
34,"(8261.75,)"
35,"(8261.75,)"
36,"(8261.75,)"
37,"(8261.75,)"
38,"(8261.75,)"
39,"(8261.75,)"
40,"(8261.75,)"
41,"(8261.75,)"
42,"(8261.75,)"
43,"(8261.75,)"
44,"(8261.75,)"
45,"(8261.75,)"
46,"(8261.75,)"
47,"(8261.75,)"
48,"(8261.75,)"
49,"(8210.76,)"
50,"(8210.76,)"
51,"(8210.76,)"
52,"(8210.76,)"
53,"(8210.76,)"
54,"(8210.76,)"
55,"(8210.76,)"
56,"(8210.76,)"
57,"(8210.76,)"
58,"(8210.76,)"
59,"(8210.76,)"
60,"(8210.76,)"
61,"(8210.76,)"
62,"(8210.76,)"
63,"(8119.69,)"
64,"(8119.69,)"
65,"(8119.69,)"
66,"(8119.69,)"
67,"(8042.65,)"
68,"(8042.65,)"
69,"(8042.65,)"
70,"(8042.65,)"
71,"(8042.65,)"
72,"(8042.65,)"
73,"(8042.65,)"
74,"(8042.65,)"
75,"(8042.65,)"
76,"(8042.65,)"
77,"(8042.65,)"
78,"(8042.65,)"
79,"(8042.65,)"
80,"(8042.65,)"
81,"(8042.65,)"
82,"(8042.65,)"
83,"(8042.65,)"
84,"(8042.65,)"
85,"(8042.65,)"
86,"(8042.65,)"
87,"(8042.65,)"
88,"(8042.65,)"
89,"(8042.65,)"
90,"(8042.65,)"
91,"(8042.65,)"
92,"(8042.65,)"
93,"(8042.65,)"
94,"(8042.65,)"
95,"(8042.65,)"
96,"(8042.65,)"
97,"(8042.65,)"
98,"(8042.65,)"
99,"(8042.65,)"
100,"(8042.65,)"
101,"(7916.99,)"
102,"(7916.99,)"
103,"(7916.99,)"
104,"(7916.99,)"
105,"(7916.99,)"
106,"(7916.99,)"
107,"(7916.99,)"
108,"(7916.99,)"
109,"(7916.99,)"
110,"(7916.99,)"
111,"(7916.99,)"
112,"(7916.99,)"
113,"(7916.99,)"
114,"(7916.99,)"
115,"(7916.99,)"
116,"(7916.99,)"
117,"(7916.99,)"
118,"(7916.99,)"
119,"(7916.99,)"
120,"(7916.99,)"
121,"(7916.99,)"
122,"(7916.99,)"
123,"(7916.99,)"
124,"(7916.99,)"
125,"(7916.99,)"
126,"(7916.99,)"
127,"(7916.99,)"
128,"(7916.99,)"
129,"(7916.99,)"
130,"(7916.99,)"
131,"(7916.99,)"
132,"(7916.99,)"
133,"(7916.99,)"
134,"(7916.99,)"
135,"(7916.99,)"
136,"(7916.99,)"
137,"(7916.99,)"
138,"(7916.99,)"
139,"(7916.99,)"
140,"(7916.99,)"
141,"(7916.99,)"
142,"(7916.99,)"
143,"(7916.99,)"
144,"(7916.99,)"
145,"(7916.99,)"
146,"(7916.99,)"
147,"(7916.99,)"
148,"(7916.99,)"
149,"(7916.99,)"
150,"(7916.99,)"
151,"(7916.99,)"
152,"(7916.99,)"
153,"(7916.99,)"
154,"(7916.99,)"
155,"(7916.99,)"
156,"(7916.99,)"
157,"(7916.99,)"
158,"(7916.99,)"
159,"(7916.99,)"
160,"(7916.99,)"
161,"(7916.99,)"
162,"(7916.99,)"
163,"(7916.99,)"
164,"(7916.99,)"
165,"(7916.99,)"
166,"(7916.99,)"
167,"(7916.99,)"
168,"(7916.99,)"
169,"(7916.99,)"
170,"(7916.99,)"
171,"(7916.99,)"
172,"(7916.99,)"
173,"(7916.99,)"
174,"(7916.99,)"
175,"(7916.99,)"
176,"(7916.99,)"
177,"(7916.99,)"
178,"(7916.99,)"
179,"(7916.99,)"
180,"(7916.99,)"
181,"(7916.99,)"
182,"(7916.99,)"
183,"(7916.99,)"
184,"(7916.99,)"
185,"(7916.99,)"
186,"(7916.99,)"
187,"(7916.99,)"
188,"(7916.99,)"
189,"(7916.99,)"
190,"(7916.99,)"
191,"(7916.99,)"
192,"(7916.99,)"
193,"(7916.99,)"
194,"(7916.99,)"
195,"(7916.99,)"
196,"(7916.99,)"
197,"(7916.99,)"
198,"(7916.99,)"
199,"(7916.99,)"
200,"(7916.99,)"
201,"(7916.99,)"
202,"(7916.99,)"
203,"(7916.99,)"
204,"(7916.99,)"
205,"(7916.99,)"
206,"(7916.99,)"
207,"(7916.99,)"
208,"(7916.99,)"
209,"(7916.99,)"
210,"(7916.99,)"
211,"(7916.99,)"
212,"(7916.99,)"
213,"(7916.99,)"
214,"(7916.99,)"
215,"(7916.99,)"
216,"(7916.99,)"
217,"(7916.99,)"
218,"(7916.99,)"
219,"(7916.99,)"
220,"(7916.99,)"
221,"(7916.99,)"
222,"(7916.99,)"
223,"(7916.99,)"
224,"(7916.99,)"
225,"(7916.99,)"
226,"(7916.99,)"
227,"(7916.99,)"
228,"(7916.99,)"
229,"(7916.99,)"
230,"(7916.99,)"
231,"(7916.99,)"
232,"(7916.99,)"
233,"(7916.99,)"
234,"(7916.99,)"
235,"(7916.99,)"
236,"(7916.99,)"
237,"(7916.99,)"
238,"(7916.99,)"
239,"(7916.99,)"
240,"(7916.99,)"
241,"(7916.99,)"
242,"(7916.99,)"
243,"(7916.99,)"
244,"(7916.99,)"
245,"(7916.99,)"
246,"(7916.99,)"
247,"(7916.99,)"
248,"(7916.99,)"
249,"(7916.99,)"
250,"(7916.99,)"
251,"(7916.99,)"
252,"(7916.99,)"
253,"(7916.99,)"
254,"(7916.99,)"
255,"(7916.99,)"
256,"(7916.99,)"
257,"(7916.99,)"
258,"(7916.99,)"
259,"(7916.99,)"
260,"(7916.99,)"
261,"(7916.99,)"
262,"(7916.99,)"
263,"(7916.99,)"
264,"(7916.99,)"
265,"(7916.99,)"
266,"(7916.99,)"
267,"(7916.99,)"
268,"(7916.99,)"
269,"(7916.99,)"
270,"(7916.99,)"
271,"(7916.99,)"
272,"(7916.99,)"
273,"(7916.99,)"
274,"(7916.99,)"
275,"(7916.99,)"
276,"(7916.99,)"
277,"(7916.99,)"
278,"(7916.99,)"
279,"(7916.99,)"
280,"(7916.99,)"
281,"(7916.99,)"
282,"(7916.99,)"
283,"(7916.99,)"
284,"(7916.99,)"
285,"(7916.99,)"
286,"(7916.99,)"
287,"(7916.99,)"
288,"(7916.99,)"
289,"(7916.99,)"
290,"(7916.99,)"
291,"(7916.99,)"
292,"(7916.99,)"
293,"(7916.99,)"
294,"(7916.99,)"
295,"(7916.99,)"
296,"(7916.99,)"
297,"(7916.99,)"
298,"(7916.99,)"
299,"(7916.99,)"
300,"(7916.99,)"
301,"(7916.99,)"
302,"(7916.99,)"
303,"(7916.99,)"
304,"(7916.99,)"
305,"(7916.99,)"
306,"(7916.99,)"
307,"(7916.99,)"
308,"(7916.99,)"
309,"(7916.99,)"
310,"(7916.99,)"
311,"(7916.99,)"
312,"(7916.99,)"
313,"(7916.99,)"
314,"(7916.99,)"
315,"(7916.99,)"
316,"(7916.99,)"
317,"(7916.99,)"
318,"(7916.99,)"
319,"(7916.99,)"
320,"(7916.99,)"
321,"(7916.99,)"
322,"(7916.99,)"
323,"(7916.99,)"
324,"(7916.99,)"
325,"(7916.99,)"
326,"(7916.99,)"
327,"(7916.99,)"
328,"(7916.99,)"
329,"(7916.99,)"
330,"(7916.99,)"
331,"(7916.99,)"
332,"(7916.99,)"
333,"(7916.99,)"
334,"(7916.99,)"
335,"(7916.99,)"
336,"(7916.99,)"
337,"(7916.99,)"
338,"(7916.99,)"
339,"(7916.99,)"
340,"(7916.99,)"
341,"(7916.99,)"
342,"(7916.99,)"
343,"(7916.99,)"
344,"(7916.99,)"
345,"(7916.99,)"
346,"(7916.99,)"
347,"(7916.99,)"
348,"(7916.99,)"
349,"(7916.99,)"
350,"(7916.99,)"
351,"(7916.99,)"
352,"(7916.99,)"
353,"(7916.99,)"
354,"(7916.99,)"
355,"(7916.99,)"
356,"(7916.99,)"
357,"(7916.99,)"
358,"(7916.99,)"
359,"(7916.99,)"
360,"(7916.99,)"
361,"(7916.99,)"
362,"(7916.99,)"
363,"(7916.99,)"
364,"(7916.99,)"
365,"(7916.99,)"
366,"(7916.99,)"
367,"(7916.99,)"
368,"(7916.99,)"
369,"(7916.99,)"
370,"(7916.99,)"
371,"(7916.99,)"
372,"(7916.99,)"
373,"(7916.99,)"
374,"(7916.99,)"
375,"(7916.99,)"
376,"(7916.99,)"
377,"(7916.99,)"
378,"(7916.99,)"
379,"(7916.99,)"
380,"(7916.99,)"
381,"(7916.99,)"
382,"(7916.99,)"
383,"(7916.99,)"
384,"(7916.99,)"
385,"(7916.99,)"
386,"(7916.99,)"
387,"(7916.99,)"
388,"(7916.99,)"
389,"(7916.99,)"
390,"(7916.99,)"
391,"(7916.99,)"
392,"(7916.99,)"
393,"(7916.99,)"
394,"(7916.99,)"
395,"(7916.99,)"
396,"(7916.99,)"
397,"(7916.99,)"
398,"(7916.99,)"
399,"(7916.99,)"
400,"(7916.99,)"
401,"(7916.99,)"
402,"(7916.99,)"
403,"(7916.99,)"
404,"(7916.99,)"
405,"(7916.99,)"
406,"(7916.99,)"
407,"(7916.99,)"
408,"(7916.99,)"
409,"(7916.99,)"
410,"(7916.99,)"
411,"(7916.99,)"
412,"(7916.99,)"
413,"(7916.99,)"
414,"(7916.99,)"
415,"(7916.99,)"
416,"(7916.99,)"
417,"(7916.99,)"
418,"(7916.99,)"
419,"(7916.99,)"
420,"(7916.99,)"
421,"(7916.99,)"
422,"(7916.99,)"
423,"(7916.99,)"
424,"(7916.99,)"
425,"(7916.99,)"
426,"(7916.99,)"
427,"(7916.99,)"
428,"(7916.99,)"
429,"(7916.99,)"
430,"(7916.99,)"
431,"(7916.99,)"
432,"(7916.99,)"
433,"(7916.99,)"
434,"(7916.99,)"
435,"(7916.99,)"
436,"(7916.99,)"
437,"(7916.99,)"
438,"(7916.99,)"
439,"(7916.99,)"
440,"(7916.99,)"
441,"(7916.99,)"
442,"(7916.99,)"
443,"(7916.99,)"
444,"(7916.99,)"
445,"(7916.99,)"
