generation,fitness
1,"(11394.49,)"
2,"(11394.49,)"
3,"(11038.11,)"
4,"(11013.76,)"
5,"(10481.67,)"
6,"(10476.87,)"
7,"(10130.65,)"
8,"(10127.64,)"
9,"(10012.36,)"
10,"(10012.36,)"
11,"(9952.09,)"
12,"(9952.09,)"
13,"(9952.09,)"
14,"(9784.68,)"
15,"(9737.42,)"
16,"(9643.59,)"
17,"(9454.86,)"
18,"(9454.86,)"
19,"(9428.88,)"
20,"(9165.58,)"
21,"(9165.58,)"
22,"(9165.58,)"
23,"(9165.58,)"
24,"(9165.58,)"
25,"(9165.58,)"
26,"(9165.58,)"
27,"(9165.58,)"
28,"(9165.58,)"
29,"(9165.58,)"
30,"(9165.58,)"
31,"(9165.58,)"
32,"(9165.58,)"
33,"(9142.45,)"
34,"(9142.45,)"
35,"(9107.41,)"
36,"(9107.41,)"
37,"(9107.41,)"
38,"(9107.41,)"
39,"(9065.26,)"
40,"(9065.26,)"
41,"(9042.13,)"
42,"(9042.13,)"
43,"(9042.13,)"
44,"(9042.13,)"
45,"(9042.13,)"
46,"(9042.13,)"
47,"(9042.13,)"
48,"(9042.13,)"
49,"(9042.13,)"
50,"(9042.13,)"
51,"(9042.13,)"
52,"(9042.13,)"
53,"(9042.13,)"
54,"(9042.13,)"
55,"(9042.13,)"
56,"(9042.13,)"
57,"(9042.13,)"
58,"(9042.13,)"
59,"(9042.13,)"
60,"(9042.13,)"
61,"(9042.13,)"
62,"(9042.13,)"
63,"(9042.13,)"
64,"(9042.13,)"
65,"(9042.13,)"
66,"(9042.13,)"
67,"(9042.13,)"
68,"(9042.13,)"
69,"(9042.13,)"
70,"(9042.13,)"
71,"(9042.13,)"
72,"(9042.13,)"
73,"(9042.13,)"
74,"(9042.13,)"
75,"(9042.13,)"
76,"(9042.13,)"
77,"(9042.13,)"
78,"(9042.13,)"
79,"(9042.13,)"
80,"(9042.13,)"
81,"(9042.13,)"
82,"(9042.13,)"
83,"(9042.13,)"
84,"(9042.13,)"
85,"(9042.13,)"
86,"(9042.13,)"
87,"(9042.13,)"
88,"(9042.13,)"
89,"(9042.13,)"
90,"(9042.13,)"
91,"(9042.13,)"
92,"(9042.13,)"
93,"(9042.13,)"
94,"(9042.13,)"
95,"(9042.13,)"
96,"(9042.13,)"
97,"(9042.13,)"
98,"(9042.13,)"
99,"(9042.13,)"
100,"(9042.13,)"
101,"(9042.13,)"
102,"(9042.13,)"
103,"(9042.13,)"
104,"(9042.13,)"
105,"(9042.13,)"
106,"(9042.13,)"
107,"(9042.13,)"
108,"(9042.13,)"
109,"(9042.13,)"
110,"(9042.13,)"
111,"(9042.13,)"
112,"(9042.13,)"
113,"(9042.13,)"
114,"(9042.13,)"
115,"(9042.13,)"
116,"(9042.13,)"
117,"(9042.13,)"
118,"(9042.13,)"
119,"(9042.13,)"
120,"(9042.13,)"
121,"(9042.13,)"
122,"(9042.13,)"
123,"(9042.13,)"
124,"(9042.13,)"
125,"(9042.13,)"
126,"(9042.13,)"
127,"(9042.13,)"
128,"(9042.13,)"
129,"(9042.13,)"
130,"(9042.13,)"
131,"(9042.13,)"
132,"(9042.13,)"
133,"(9042.13,)"
134,"(9042.13,)"
135,"(9042.13,)"
136,"(9042.13,)"
137,"(9042.13,)"
138,"(9042.13,)"
139,"(9042.13,)"
140,"(9042.13,)"
141,"(9042.13,)"
142,"(9042.13,)"
143,"(9042.13,)"
144,"(9042.13,)"
145,"(9042.13,)"
146,"(9042.13,)"
147,"(9042.13,)"
148,"(9042.13,)"
149,"(9042.13,)"
150,"(9042.13,)"
