generation,fitness
1,"(12019.54,)"
2,"(11527.17,)"
3,"(11136.82,)"
4,"(10643.23,)"
5,"(10643.23,)"
6,"(10492.61,)"
7,"(10329.26,)"
8,"(10329.26,)"
9,"(10178.62,)"
10,"(10178.62,)"
11,"(9919.14,)"
12,"(9818.54,)"
13,"(9807.48,)"
14,"(9712.68,)"
15,"(9589.96,)"
16,"(9589.96,)"
17,"(9589.96,)"
18,"(9589.96,)"
19,"(9503.47,)"
20,"(9416.52,)"
21,"(9416.52,)"
22,"(8993.11,)"
23,"(8819.67,)"
24,"(8795.69,)"
25,"(8714.8,)"
26,"(8714.8,)"
27,"(8714.8,)"
28,"(8714.8,)"
29,"(8714.8,)"
30,"(8612.04,)"
31,"(8612.04,)"
32,"(8612.04,)"
33,"(8612.04,)"
34,"(8612.04,)"
35,"(8612.04,)"
36,"(8612.04,)"
37,"(8612.04,)"
38,"(8612.04,)"
39,"(8611.25,)"
40,"(8611.25,)"
41,"(8611.25,)"
42,"(8587.17,)"
43,"(8587.17,)"
44,"(8587.17,)"
45,"(8587.17,)"
46,"(8587.17,)"
47,"(8587.17,)"
48,"(8587.17,)"
49,"(8587.17,)"
50,"(8587.17,)"
51,"(8587.17,)"
52,"(8587.17,)"
53,"(8587.17,)"
54,"(8587.17,)"
55,"(8587.17,)"
56,"(8587.17,)"
57,"(8587.17,)"
58,"(8587.17,)"
59,"(8587.17,)"
60,"(8587.17,)"
61,"(8587.17,)"
62,"(8587.17,)"
63,"(8587.17,)"
64,"(8587.17,)"
65,"(8587.17,)"
66,"(8587.17,)"
67,"(8587.17,)"
68,"(8587.17,)"
69,"(8587.17,)"
70,"(8586.38,)"
71,"(8586.38,)"
72,"(8586.38,)"
73,"(8586.38,)"
74,"(8586.38,)"
75,"(8586.38,)"
76,"(8586.38,)"
77,"(8586.38,)"
78,"(8586.38,)"
79,"(8586.38,)"
80,"(8586.38,)"
81,"(8586.38,)"
82,"(8586.38,)"
83,"(8586.38,)"
84,"(8586.38,)"
85,"(8586.38,)"
86,"(8586.38,)"
87,"(8586.38,)"
88,"(8586.38,)"
89,"(8586.38,)"
90,"(8586.38,)"
91,"(8586.38,)"
92,"(8586.38,)"
93,"(8586.38,)"
94,"(8586.38,)"
95,"(8586.38,)"
96,"(8586.38,)"
97,"(8586.38,)"
98,"(8586.38,)"
99,"(8586.38,)"
100,"(8586.38,)"
101,"(8586.38,)"
102,"(8586.38,)"
103,"(8586.38,)"
104,"(8586.38,)"
105,"(8586.38,)"
106,"(8586.38,)"
107,"(8586.38,)"
108,"(8586.38,)"
109,"(8586.38,)"
110,"(8586.38,)"
111,"(8586.38,)"
112,"(8586.38,)"
113,"(8586.38,)"
114,"(8586.38,)"
115,"(8586.38,)"
116,"(8586.38,)"
117,"(8586.38,)"
118,"(8586.38,)"
119,"(8586.38,)"
120,"(8586.38,)"
121,"(8586.38,)"
122,"(8586.38,)"
123,"(8586.38,)"
124,"(8586.38,)"
125,"(8586.38,)"
126,"(8586.38,)"
127,"(8586.38,)"
128,"(8586.38,)"
129,"(8586.38,)"
130,"(8586.38,)"
131,"(8586.38,)"
132,"(8586.38,)"
133,"(8586.38,)"
134,"(8586.38,)"
135,"(8586.38,)"
136,"(8586.38,)"
137,"(8586.38,)"
138,"(8586.38,)"
139,"(8586.38,)"
140,"(8586.38,)"
141,"(8586.38,)"
142,"(8586.38,)"
143,"(8586.38,)"
144,"(8586.38,)"
145,"(8586.38,)"
146,"(8586.38,)"
147,"(8586.38,)"
148,"(8586.38,)"
149,"(8586.38,)"
150,"(8586.38,)"
151,"(8586.38,)"
152,"(8586.38,)"
153,"(8586.38,)"
154,"(8586.38,)"
155,"(8586.38,)"
156,"(8586.38,)"
157,"(8586.38,)"
158,"(8586.38,)"
159,"(8586.38,)"
160,"(8586.38,)"
161,"(8586.38,)"
162,"(8586.38,)"
163,"(8586.38,)"
164,"(8586.38,)"
165,"(8586.38,)"
166,"(8586.38,)"
167,"(8586.38,)"
168,"(8586.38,)"
169,"(8586.38,)"
170,"(8586.38,)"
171,"(8586.38,)"
172,"(8586.38,)"
173,"(8586.38,)"
174,"(8586.38,)"
175,"(8586.38,)"
176,"(8586.38,)"
177,"(8586.38,)"
178,"(8586.38,)"
179,"(8586.38,)"
180,"(8586.38,)"
181,"(8586.38,)"
182,"(8586.38,)"
183,"(8586.38,)"
184,"(8586.38,)"
185,"(8586.38,)"
186,"(8586.38,)"
187,"(8586.38,)"
188,"(8586.38,)"
189,"(8586.38,)"
190,"(8586.38,)"
191,"(8586.38,)"
192,"(8586.38,)"
193,"(8586.38,)"
194,"(8586.38,)"
195,"(8586.38,)"
196,"(8586.38,)"
197,"(8586.38,)"
198,"(8586.38,)"
199,"(8586.38,)"
200,"(8586.38,)"
201,"(8586.38,)"
202,"(8586.38,)"
203,"(8586.38,)"
204,"(8586.38,)"
205,"(8586.38,)"
206,"(8586.38,)"
207,"(8586.38,)"
208,"(8586.38,)"
209,"(8586.38,)"
210,"(8586.38,)"
211,"(8586.38,)"
212,"(8586.38,)"
213,"(8586.38,)"
214,"(8586.38,)"
215,"(8586.38,)"
216,"(8586.38,)"
217,"(8586.38,)"
218,"(8586.38,)"
219,"(8586.38,)"
220,"(8586.38,)"
221,"(8586.38,)"
