generation,fitness
1,"(372067.78,)"
2,"(345004.97,)"

最好的粒子：[47, 15, 53, 61, 98, 88, 81, 95, 50, 96, 54, 67, 94, 41, 74, 87, 17, 9, 48, 86, 25, 24, 75, 70, 39, 44, 37, 42, 92, 85, 57, 14, 83, 11, 52, 10, 82, 99, 4, 7, 3, 2, 66, 20, 23, 18, 59, 78, 6, 46, 68, 65, 19, 76, 63, 22, 51, 29, 38, 34, 30, 71, 56, 84, 62, 36, 27, 91, 77, 49, 72, 55, 45, 8, 69, 1, 79, 12, 13, 40, 43, 100, 93, 5, 73, 64, 33, 89, 32, 28, 26, 31, 80, 60, 90, 16, 58, 21, 97, 35]

所有解：
(345004.97,)
(345004.97,)
(353696.03,)
(354894.41,)
(357589.99,)
(358358.77,)
(361972.41,)
(362532.71,)
(363870.01,)
(366732.75,)
(368759.55,)
(370545.16,)
(370815.28,)
(371644.29,)
(372019.51,)
(372067.78,)
(372647.25,)
(373584.63,)
(373722.4,)
(374023.17,)
(374316.65,)
(375290.45,)
(375290.45,)
(375702.85,)
(376464.3,)
(378337.6,)
(378619.17,)
(379070.14,)
(379254.72,)
(379403.21,)
(380631.31,)
(380648.81,)
(382226.52,)
(382570.34,)
(382826.73,)
(383567.97,)
(383593.99,)
(383593.99,)
(383922.3,)
(384389.26,)
(384440.07,)
(384636.28,)
(384636.28,)
(385427.83,)
(385679.17,)
(385935.66,)
(386396.91,)
(386778.96,)
(387209.37,)
(387866.56,)
(387876.15,)
(387992.42,)
(388739.34,)
(389366.56,)
(389803.65,)
(389818.07,)
(389818.07,)
(389886.74,)
(390032.7,)
(390166.8,)
(390166.8,)
(391426.59,)
(391471.04,)
(391846.4,)
(392544.04,)
(393106.03,)
(393439.19,)
(393592.37,)
(394705.23,)
(394774.51,)
(394959.57,)
(395080.92,)
(395377.02,)
(395377.02,)
(395820.05,)
(396065.98,)
(396076.63,)
(396172.27,)
(396219.49,)
(396361.26,)
(396375.26,)
(397280.25,)
(397826.16,)
(397826.16,)
(397949.04,)
(397953.37,)
(397953.44,)
(398129.11,)
(398129.11,)
(398139.05,)
(398461.51,)
(398630.19,)
(399043.98,)
(399391.78,)
(399457.57,)
(399777.27,)
(400009.06,)
(400009.06,)
(400047.5,)
(400289.45,)
(400383.82,)
(400391.59,)
(400606.15,)
(400721.83,)
(400778.43,)
(400896.7,)
(400910.3,)
(401211.58,)
(401993.16,)
(402018.25,)
(402232.82,)
(402290.83,)
(402292.43,)
(402329.41,)
(402409.78,)
(402751.79,)
(402776.97,)
(402892.22,)
(402892.22,)
(402933.02,)
