generation,fitness
1,"(11773.92,)"
2,"(11100.41,)"
3,"(11100.41,)"
4,"(10721.41,)"
5,"(10437.67,)"
6,"(10157.74,)"
7,"(9856.86,)"
8,"(9795.7,)"
9,"(9795.7,)"
10,"(9703.22,)"
11,"(9703.22,)"
12,"(9638.32,)"
13,"(9281.37,)"
14,"(9281.37,)"
15,"(9281.37,)"
16,"(9281.37,)"
17,"(9183.67,)"
18,"(9183.67,)"
19,"(9183.67,)"
20,"(9183.67,)"
21,"(9183.67,)"
22,"(9183.67,)"
23,"(9183.67,)"
24,"(9183.67,)"
25,"(9183.67,)"
26,"(9183.67,)"
27,"(9183.67,)"
28,"(9183.67,)"
29,"(9183.67,)"
30,"(8893.18,)"
31,"(8893.18,)"
32,"(8893.18,)"
33,"(8893.18,)"
34,"(8893.18,)"
35,"(8893.18,)"
36,"(8893.18,)"
37,"(8893.18,)"
38,"(8893.18,)"
39,"(8893.18,)"
40,"(8893.18,)"
41,"(8893.18,)"
42,"(8893.18,)"
43,"(8893.18,)"
44,"(8893.18,)"
45,"(8893.18,)"
46,"(8893.18,)"
47,"(8893.18,)"
48,"(8893.18,)"
49,"(8893.18,)"
50,"(8893.18,)"
51,"(8893.18,)"
52,"(8893.18,)"
53,"(8893.18,)"
54,"(8893.18,)"
55,"(8893.18,)"
56,"(8893.18,)"
57,"(8776.62,)"
58,"(8776.62,)"
59,"(8776.62,)"
60,"(8776.62,)"
61,"(8776.62,)"
62,"(8776.62,)"
63,"(8776.62,)"
64,"(8776.62,)"
65,"(8776.62,)"
66,"(8776.62,)"
67,"(8776.62,)"
68,"(8776.62,)"
69,"(8776.62,)"
70,"(8776.62,)"
71,"(8776.62,)"
72,"(8776.62,)"
73,"(8776.62,)"
74,"(8776.62,)"
75,"(8776.62,)"
76,"(8775.92,)"
77,"(8753.14,)"
78,"(8753.14,)"
79,"(8753.14,)"
80,"(8753.14,)"
81,"(8753.14,)"
82,"(8753.14,)"
83,"(8753.14,)"
84,"(8753.14,)"
85,"(8753.14,)"
86,"(8753.14,)"
87,"(8753.14,)"
88,"(8753.14,)"
89,"(8753.14,)"
90,"(8753.14,)"
91,"(8753.14,)"
92,"(8753.14,)"
93,"(8753.14,)"
94,"(8753.14,)"
95,"(8753.14,)"
96,"(8753.14,)"
97,"(8753.14,)"
98,"(8753.14,)"
99,"(8753.14,)"
100,"(8753.14,)"
101,"(8753.14,)"
102,"(8753.14,)"
103,"(8753.14,)"
104,"(8753.14,)"
105,"(8753.14,)"
106,"(8753.14,)"
107,"(8753.14,)"
108,"(8753.14,)"
109,"(8753.14,)"
110,"(8753.14,)"
111,"(8753.14,)"
112,"(8753.14,)"
113,"(8753.14,)"
114,"(8753.14,)"
115,"(8753.14,)"
116,"(8753.14,)"
117,"(8753.14,)"
118,"(8713.49,)"
119,"(8603.36,)"
120,"(8603.36,)"
121,"(8603.36,)"
122,"(8570.06,)"
123,"(8570.06,)"
124,"(8570.06,)"
125,"(8570.06,)"
126,"(8227.03,)"
127,"(8182.22,)"
128,"(8182.22,)"
129,"(8090.72,)"
130,"(8090.72,)"
131,"(8090.72,)"
132,"(8090.72,)"
133,"(8090.72,)"
134,"(8029.21,)"
135,"(7935.91,)"
136,"(7935.91,)"
137,"(7935.91,)"
138,"(7862.89,)"
139,"(7862.89,)"
140,"(7862.89,)"
141,"(7862.89,)"
142,"(7862.89,)"
143,"(7862.89,)"
144,"(7862.89,)"
145,"(7862.89,)"
146,"(7862.89,)"
147,"(7862.89,)"
148,"(7862.89,)"
149,"(7862.89,)"
150,"(7862.89,)"
151,"(7862.89,)"
152,"(7862.89,)"
153,"(7862.89,)"
154,"(7862.89,)"
155,"(7862.89,)"
156,"(7862.89,)"
157,"(7862.89,)"
158,"(7862.89,)"
159,"(7862.89,)"
160,"(7862.89,)"
161,"(7862.89,)"
162,"(7862.89,)"
163,"(7862.89,)"
164,"(7862.89,)"
165,"(7862.89,)"
166,"(7862.89,)"
167,"(7862.89,)"
168,"(7862.89,)"
169,"(7862.89,)"
170,"(7862.89,)"
171,"(7862.89,)"
172,"(7862.89,)"
173,"(7862.89,)"
174,"(7862.89,)"
175,"(7862.89,)"
176,"(7862.89,)"
177,"(7862.89,)"
178,"(7862.89,)"
179,"(7862.89,)"
180,"(7862.89,)"
181,"(7862.89,)"
182,"(7862.89,)"
183,"(7862.89,)"
184,"(7862.89,)"
185,"(7862.89,)"
186,"(7862.89,)"
187,"(7862.89,)"
188,"(7862.89,)"
189,"(7862.89,)"
190,"(7862.89,)"
191,"(7862.89,)"
192,"(7862.89,)"
193,"(7862.89,)"
194,"(7862.89,)"
195,"(7862.89,)"
196,"(7862.89,)"
197,"(7862.89,)"
198,"(7862.89,)"
199,"(7862.89,)"
200,"(7862.89,)"
201,"(7862.89,)"
202,"(7862.89,)"
203,"(7862.89,)"
204,"(7862.89,)"
205,"(7862.89,)"
206,"(7862.89,)"
207,"(7862.89,)"
208,"(7862.89,)"
209,"(7862.89,)"
210,"(7862.89,)"
211,"(7862.89,)"
212,"(7862.89,)"
213,"(7862.89,)"
214,"(7862.89,)"
215,"(7862.89,)"
216,"(7862.89,)"
217,"(7862.89,)"
218,"(7862.89,)"
219,"(7862.89,)"
220,"(7862.89,)"
221,"(7862.89,)"
222,"(7862.89,)"
223,"(7862.89,)"
224,"(7862.89,)"
225,"(7862.89,)"
226,"(7862.89,)"
227,"(7862.89,)"
228,"(7862.89,)"
229,"(7862.89,)"
230,"(7862.89,)"
231,"(7862.89,)"
232,"(7862.89,)"
233,"(7862.89,)"
234,"(7862.89,)"
235,"(7862.89,)"
236,"(7862.89,)"
