index,type,fitness,vehicle,distance,satisfaction
1,定向,9973.7618,12,1879.881,70.13
2,定向,9973.7618,12,1879.881,70.13
3,定向,9907.7417,13,2030.871,72.07
4,定向,9424.3497,14,1979.175,74.07
5,定向,9424.3497,14,1979.175,74.07
6,定向,9424.3497,14,1979.175,74.07
7,定向,9424.3497,14,1979.175,74.07
8,定向,9424.3497,14,1979.175,74.07
9,定向,9424.3497,14,1979.175,74.07
10,定向,9287.8425,13,2286.921,77.73
11,定向,9287.8425,13,2286.921,77.73
12,定向,9287.8425,13,2286.921,77.73
13,定向,8842.1742,14,2074.087,77.93
14,定向,8842.1742,14,2074.087,77.93
15,定向,8842.1742,14,2074.087,77.93
16,定向,8842.1742,14,2074.087,77.93
17,定向,8842.1742,14,2074.087,77.93
18,定向,8711.2214,13,2045.611,78.2
19,定向,8711.2214,13,2045.611,78.2
20,定向,8487.294,14,2070.647,79.67
21,定向,8361.8889,14,2173.944,81.33
22,定向,8351.418,14,2168.709,81.33
23,定向,8351.418,14,2168.709,81.33
24,定向,8351.418,14,2168.709,81.33
25,定向,8142.362,14,2218.181,82.87
26,定向,7913.5787,14,2103.789,82.87
27,定向,7893.7304,14,2106.865,83.0
28,定向,7893.7304,14,2106.865,83.0
29,定向,7888.2602,14,2091.13,82.87
30,定向,7888.2602,14,2091.13,82.87
31,定向,7879.3749,14,2119.687,83.2
32,定向,7460.6581,14,2117.329,85.27
33,定向,7435.3397,14,2104.67,85.27
34,定向,7435.3397,14,2104.67,85.27
35,定向,7413.7855,14,2093.893,85.27
36,定向,7367.884,14,2070.942,85.27
37,定向,7367.884,14,2070.942,85.27
38,定向,7354.7794,14,2224.39,86.87
39,定向,7345.4249,14,2059.712,85.27
40,定向,7345.4249,14,2059.712,85.27
41,定向,7311.617,14,2062.808,85.47
42,定向,7242.5858,14,2068.293,85.87
43,定向,7199.5375,14,2086.769,86.27
44,定向,7074.2393,14,2084.12,86.87
45,定向,7074.2393,14,2084.12,86.87
46,定向,7061.1725,14,2097.586,87.07
47,定向,7027.9496,14,2080.975,87.07
48,定向,7027.9496,14,2080.975,87.07
49,定向,7027.9496,14,2080.975,87.07
50,定向,7016.7591,14,2075.38,87.07
51,定向,7016.7591,14,2075.38,87.07
52,定向,7016.7591,14,2075.38,87.07
53,定向,7003.3136,14,2068.657,87.07
54,定向,6947.1855,14,2086.593,87.53
55,定向,6947.1855,14,2086.593,87.53
56,定向,6947.1855,14,2086.593,87.53
57,定向,6947.1855,14,2086.593,87.53
58,定向,6933.7401,14,2079.87,87.53
59,定向,6932.7017,14,2079.351,87.53
60,定向,6932.7017,14,2079.351,87.53
61,定向,6919.2563,14,2072.628,87.53
62,定向,6918.2417,14,2072.121,87.53
63,定向,6918.2417,14,2072.121,87.53
64,定向,6913.3795,14,2069.69,87.53
65,定向,6913.3795,14,2069.69,87.53
66,定向,6899.934,14,2062.967,87.53
67,定向,6898.9195,14,2062.46,87.53
68,定向,6898.9195,14,2062.46,87.53
69,定向,6898.9195,14,2062.46,87.53
70,定向,6898.9195,14,2062.46,87.53
71,定向,6898.9195,14,2062.46,87.53
72,定向,6898.9195,14,2062.46,87.53
73,定向,6898.9195,14,2062.46,87.53
74,定向,6898.9195,14,2062.46,87.53
75,定向,6875.7275,14,2070.864,87.73
76,定向,6875.7275,14,2070.864,87.73
77,定向,6875.7275,14,2070.864,87.73
78,定向,6870.8575,14,2068.429,87.73
79,定向,6646.3534,14,2130.177,89.47
80,定向,6646.3534,14,2130.177,89.47
81,定向,6611.0188,14,2138.509,89.73
82,定向,6611.0188,14,2138.509,89.73
83,定向,6607.2466,14,2130.623,89.67
84,定向,6606.3151,14,2136.158,89.73
85,定向,6602.6532,14,2134.327,89.73
86,定向,6586.3953,14,2120.198,89.67
87,定向,6581.802,14,2123.901,89.73
88,定向,6581.802,14,2123.901,89.73
89,定向,6581.802,14,2123.901,89.73
90,定向,6581.802,14,2123.901,89.73
91,定向,6575.3769,14,2120.688,89.73
92,定向,6575.3769,14,2120.688,89.73
93,定向,6575.3769,14,2120.688,89.73
94,定向,6575.3769,14,2120.688,89.73
95,定向,6573.4843,14,2119.742,89.73
96,定向,6573.4843,14,2119.742,89.73
97,定向,6573.4843,14,2119.742,89.73
98,定向,6573.4843,14,2119.742,89.73
99,定向,6573.4843,14,2119.742,89.73
100,定向,6573.4843,14,2119.742,89.73
101,定向,6573.4843,14,2119.742,89.73
102,定向,6573.4843,14,2119.742,89.73
103,定向,6355.8224,14,2117.911,90.8
104,定向,6355.8224,14,2117.911,90.8
105,定向,6355.8224,14,2117.911,90.8
106,定向,6355.8224,14,2117.911,90.8
107,定向,6281.067,14,2120.534,91.2
108,定向,6281.067,14,2120.534,91.2
109,定向,6281.067,14,2120.534,91.2
110,定向,6281.067,14,2120.534,91.2
111,定向,5970.7487,14,2125.374,92.8
112,定向,5942.6847,14,2111.342,92.8
113,定向,5942.6847,14,2111.342,92.8
114,定向,5942.6847,14,2111.342,92.8
115,定向,5942.6847,14,2111.342,92.8
116,定向,5942.6847,14,2111.342,92.8
117,定向,5942.6847,14,2111.342,92.8
118,定向,5942.6847,14,2111.342,92.8
119,定向,5942.6847,14,2111.342,92.8
120,定向,5942.2099,14,2111.105,92.8
121,定向,5942.2099,14,2111.105,92.8
122,定向,5942.2099,14,2111.105,92.8
123,定向,5942.2099,14,2111.105,92.8
124,定向,5930.2655,14,2105.133,92.8
125,定向,5930.2655,14,2105.133,92.8
126,定向,5929.5951,14,2097.798,92.73
127,定向,5929.5951,14,2097.798,92.73
128,定向,5919.6343,14,2099.817,92.8
129,定向,5918.964,14,2092.482,92.73
130,定向,5917.6507,14,2091.825,92.73
131,定向,5907.0196,14,2086.51,92.73
132,定向,5907.0196,14,2086.51,92.73
133,定向,5895.2521,14,2080.626,92.73
134,定向,5895.2521,14,2080.626,92.73
135,定向,5883.3077,14,2074.654,92.73
136,定向,5883.3077,14,2074.654,92.73
137,定向,5872.3895,14,2076.195,92.8
138,定向,5867.2942,14,2080.647,92.87
139,定向,5867.2942,14,2080.647,92.87
140,定向,5867.2942,14,2080.647,92.87
141,定向,5867.2942,14,2080.647,92.87
142,定向,5867.2942,14,2080.647,92.87
143,定向,5867.2942,14,2080.647,92.87
144,定向,5862.2907,14,2078.145,92.87
145,定向,5853.4342,14,2079.717,92.93
146,定向,5853.4342,14,2079.717,92.93
147,定向,5853.4342,14,2079.717,92.93
148,定向,5852.8819,14,2079.441,92.93
149,定向,5848.4307,14,2077.215,92.93
150,定向,5813.0491,14,2059.525,92.93
151,定向,5813.0491,14,2059.525,92.93
152,定向,5812.4968,14,2059.248,92.93
153,定向,5811.3429,14,2058.671,92.93
154,定向,5810.7906,14,2058.395,92.93
155,定向,5810.7906,14,2058.395,92.93
156,定向,5810.7906,14,2058.395,92.93
157,定向,5810.7906,14,2058.395,92.93
158,定向,5810.7906,14,2058.395,92.93
159,定向,5810.7906,14,2058.395,92.93
160,定向,5810.7906,14,2058.395,92.93
161,定向,5810.7906,14,2058.395,92.93
162,定向,5810.7906,14,2058.395,92.93
163,定向,5810.7906,14,2058.395,92.93
164,定向,5810.7906,14,2058.395,92.93
165,定向,5810.7906,14,2058.395,92.93
166,定向,5810.7906,14,2058.395,92.93
167,定向,5810.7906,14,2058.395,92.93
168,定向,5810.7906,14,2058.395,92.93
169,定向,5810.7906,14,2058.395,92.93
170,定向,5810.7906,14,2058.395,92.93
171,定向,5810.7906,14,2058.395,92.93
172,定向,5810.7906,14,2058.395,92.93
173,定向,5810.7906,14,2058.395,92.93
174,定向,5810.7906,14,2058.395,92.93
175,定向,5810.7906,14,2058.395,92.93
176,定向,5810.7906,14,2058.395,92.93
177,定向,5810.7906,14,2058.395,92.93
178,定向,5810.7906,14,2058.395,92.93
179,定向,5810.7906,14,2058.395,92.93
180,定向,5810.7906,14,2058.395,92.93
181,定向,5810.7906,14,2058.395,92.93
182,定向,5810.7906,14,2058.395,92.93
183,定向,5810.7906,14,2058.395,92.93
184,定向,5810.7906,14,2058.395,92.93
185,定向,5810.7906,14,2058.395,92.93
186,定向,5810.7906,14,2058.395,92.93
187,定向,5810.7906,14,2058.395,92.93
188,定向,5810.7906,14,2058.395,92.93
189,定向,5810.7906,14,2058.395,92.93
190,定向,5810.7906,14,2058.395,92.93
191,定向,5810.7906,14,2058.395,92.93
192,定向,5810.7906,14,2058.395,92.93
193,定向,5810.7906,14,2058.395,92.93
194,定向,5810.7906,14,2058.395,92.93
195,定向,5810.7906,14,2058.395,92.93
196,定向,5810.7906,14,2058.395,92.93
197,定向,5802.7906,14,2054.395,92.93
198,定向,5802.7906,14,2054.395,92.93
199,定向,5802.7906,14,2054.395,92.93
200,定向,5802.7906,14,2054.395,92.93
201,定向,5802.7906,14,2054.395,92.93
202,定向,5802.7906,14,2054.395,92.93
203,定向,5802.7906,14,2054.395,92.93
204,定向,5802.7906,14,2054.395,92.93
205,定向,5798.5276,14,2052.264,92.93
206,定向,5798.5276,14,2052.264,92.93
207,定向,5798.5276,14,2052.264,92.93
208,定向,5798.5276,14,2052.264,92.93
209,定向,5798.5276,14,2052.264,92.93
210,定向,5798.5276,14,2052.264,92.93
211,定向,5798.5276,14,2052.264,92.93
212,定向,5798.5276,14,2052.264,92.93
