generation,fitness
1,"(11991.2,)"
2,"(11360.95,)"
3,"(11360.95,)"
4,"(10882.3,)"
5,"(10692.59,)"
6,"(10537.27,)"
7,"(10233.64,)"
8,"(10174.34,)"
9,"(10091.26,)"
10,"(10091.26,)"
11,"(10091.26,)"
12,"(10025.0,)"
13,"(10025.0,)"
14,"(10025.0,)"
15,"(9967.12,)"
16,"(9967.12,)"
17,"(9967.12,)"
18,"(9967.12,)"
19,"(9781.25,)"
20,"(9781.25,)"
21,"(9781.25,)"
22,"(9781.25,)"
23,"(9781.25,)"
24,"(9781.25,)"
25,"(9781.25,)"
26,"(9781.25,)"
27,"(9781.25,)"
28,"(9781.25,)"
29,"(9781.25,)"
30,"(9781.25,)"
31,"(9609.52,)"
32,"(9609.52,)"
33,"(9609.52,)"
34,"(9609.52,)"
35,"(9609.52,)"
36,"(9609.52,)"
37,"(9587.31,)"
38,"(9587.31,)"
39,"(9587.31,)"
40,"(9587.31,)"
41,"(9587.31,)"
42,"(9587.31,)"
43,"(9446.4,)"
44,"(9446.4,)"
45,"(9446.4,)"
46,"(9446.4,)"
47,"(9307.29,)"
48,"(9307.29,)"
49,"(9307.29,)"
50,"(9307.29,)"
51,"(9307.29,)"
52,"(9307.29,)"
53,"(9306.43,)"
54,"(9306.43,)"
55,"(9306.43,)"
56,"(9306.43,)"
57,"(9306.43,)"
58,"(9306.43,)"
59,"(9306.43,)"
60,"(9287.77,)"
61,"(9287.77,)"
62,"(9287.77,)"
63,"(9287.77,)"
64,"(9286.91,)"
65,"(9286.91,)"
66,"(9286.91,)"
67,"(9286.91,)"
68,"(9286.91,)"
69,"(9286.91,)"
70,"(9286.91,)"
71,"(9286.91,)"
72,"(9286.91,)"
73,"(9286.91,)"
74,"(9286.91,)"
75,"(9286.91,)"
76,"(9286.91,)"
77,"(9286.91,)"
78,"(9286.91,)"
79,"(9286.91,)"
80,"(9286.91,)"
81,"(9286.91,)"
82,"(9286.91,)"
83,"(9286.91,)"
84,"(9286.91,)"
85,"(9286.91,)"
86,"(9286.91,)"
87,"(9286.91,)"
88,"(9286.91,)"
89,"(9263.23,)"
90,"(9263.23,)"
91,"(9263.23,)"
92,"(9263.23,)"
93,"(9263.23,)"
94,"(9263.23,)"
95,"(9263.23,)"
96,"(9263.23,)"
97,"(9263.23,)"
98,"(9263.23,)"
99,"(9263.23,)"
100,"(9263.23,)"
101,"(9263.23,)"
102,"(9263.23,)"
103,"(9263.23,)"
104,"(9263.23,)"
105,"(9263.23,)"
106,"(9263.23,)"
107,"(9263.23,)"
108,"(9263.23,)"
109,"(9263.23,)"
110,"(9263.23,)"
111,"(9263.23,)"
112,"(9263.23,)"
113,"(9263.23,)"
114,"(9263.23,)"
115,"(9263.23,)"
116,"(9263.23,)"
117,"(9263.23,)"
118,"(9263.23,)"
119,"(9263.23,)"
120,"(9263.23,)"
121,"(9263.23,)"
122,"(9263.23,)"
123,"(9263.23,)"
124,"(9263.23,)"
125,"(9263.23,)"
126,"(9263.23,)"
127,"(9263.23,)"
128,"(9263.23,)"
129,"(9263.23,)"
130,"(9263.23,)"
131,"(9263.23,)"
132,"(9263.23,)"
133,"(9263.23,)"
134,"(9263.23,)"
135,"(9263.23,)"
136,"(9263.23,)"
137,"(9263.23,)"
138,"(9263.23,)"
139,"(9263.23,)"
140,"(9263.23,)"
141,"(9263.23,)"
142,"(9263.23,)"
143,"(9263.23,)"
144,"(9263.23,)"
145,"(9263.23,)"
146,"(9263.23,)"
147,"(9263.23,)"
148,"(9263.23,)"
149,"(9263.23,)"
150,"(9263.23,)"
151,"(9263.23,)"
152,"(9263.23,)"
153,"(9263.23,)"
154,"(9263.23,)"
155,"(9263.23,)"
156,"(9263.23,)"
157,"(9263.23,)"
158,"(9263.23,)"
159,"(9263.23,)"
160,"(9263.23,)"
161,"(9263.23,)"
162,"(9263.23,)"
163,"(9263.23,)"
164,"(9263.23,)"
165,"(9263.23,)"
166,"(9263.23,)"
167,"(9263.23,)"
168,"(9263.23,)"
169,"(9263.23,)"
170,"(9263.23,)"
171,"(9263.23,)"
172,"(9263.23,)"
173,"(9263.23,)"
174,"(9263.23,)"
175,"(9263.23,)"
176,"(9263.23,)"
177,"(9263.23,)"
178,"(9263.23,)"
179,"(9263.23,)"
180,"(9263.23,)"
181,"(9263.23,)"
182,"(9263.23,)"
183,"(9263.23,)"
184,"(9263.23,)"
185,"(9263.23,)"
186,"(9263.23,)"
187,"(9263.23,)"
188,"(9263.23,)"
189,"(9263.23,)"
190,"(9263.23,)"
191,"(9263.23,)"
192,"(9263.23,)"
193,"(9263.23,)"
194,"(9263.23,)"
195,"(9263.23,)"
196,"(9263.23,)"
197,"(9263.23,)"
198,"(9263.23,)"
199,"(9263.23,)"
200,"(9263.23,)"
201,"(9263.23,)"
202,"(9263.23,)"
203,"(9263.23,)"
204,"(9263.23,)"
205,"(9263.23,)"
206,"(9263.23,)"
207,"(9263.23,)"
208,"(9263.23,)"
209,"(9263.23,)"
210,"(9263.23,)"
211,"(9263.23,)"
212,"(9263.23,)"
213,"(9263.23,)"
214,"(9263.23,)"
215,"(9263.23,)"
216,"(9263.23,)"
217,"(9263.23,)"
218,"(9263.23,)"
219,"(9263.23,)"
220,"(9263.23,)"
221,"(9263.23,)"
222,"(9263.23,)"
223,"(9263.23,)"
224,"(9263.23,)"
225,"(9263.23,)"
226,"(9263.23,)"
227,"(9263.23,)"
228,"(9263.23,)"
229,"(9263.23,)"
230,"(9263.23,)"
231,"(9263.23,)"
232,"(9263.23,)"
233,"(9263.23,)"
234,"(9263.23,)"
235,"(9263.23,)"
236,"(9263.23,)"
237,"(9263.23,)"
238,"(9263.23,)"
239,"(9263.23,)"
240,"(9263.23,)"
241,"(9263.23,)"
242,"(9263.23,)"
243,"(9263.23,)"
244,"(9263.23,)"
245,"(9263.23,)"
246,"(9263.23,)"
247,"(9263.23,)"
248,"(9263.23,)"
249,"(9263.23,)"
250,"(9263.23,)"
251,"(9263.23,)"
252,"(9263.23,)"
253,"(9263.23,)"
254,"(9263.23,)"
255,"(9263.23,)"
256,"(9263.23,)"
257,"(9263.23,)"
258,"(9263.23,)"
259,"(9263.23,)"
260,"(9263.23,)"
261,"(9263.23,)"
262,"(9263.23,)"
263,"(9263.23,)"
264,"(9263.23,)"
265,"(9263.23,)"
266,"(9263.23,)"
267,"(9263.23,)"
268,"(9263.23,)"
269,"(9263.23,)"
270,"(9263.23,)"
271,"(9263.23,)"
272,"(9263.23,)"
273,"(9263.23,)"
274,"(9263.23,)"
275,"(9263.23,)"
276,"(9263.23,)"
277,"(9263.23,)"
278,"(9263.23,)"
279,"(9263.23,)"
280,"(9263.23,)"
281,"(9263.23,)"
282,"(9263.23,)"
283,"(9263.23,)"
284,"(9263.23,)"
285,"(9263.23,)"
286,"(9263.23,)"
287,"(9263.23,)"
288,"(9263.23,)"
289,"(9263.23,)"
290,"(9263.23,)"
291,"(9263.23,)"
292,"(9263.23,)"
293,"(9263.23,)"
294,"(9263.23,)"
295,"(9263.23,)"
296,"(9263.23,)"
297,"(9263.23,)"
298,"(9263.23,)"
299,"(9263.23,)"
300,"(9263.23,)"
301,"(9263.23,)"
302,"(9263.23,)"
303,"(9263.23,)"
304,"(9263.23,)"
305,"(9263.23,)"
306,"(9263.23,)"
307,"(9263.23,)"
308,"(9263.23,)"
309,"(9263.23,)"
310,"(9263.23,)"
311,"(9263.23,)"
312,"(9263.23,)"
313,"(9263.23,)"
314,"(9263.23,)"
315,"(9263.23,)"
316,"(9263.23,)"
317,"(9263.23,)"
318,"(9263.23,)"
319,"(9263.23,)"
320,"(9263.23,)"
321,"(9263.23,)"
322,"(9263.23,)"
323,"(9263.23,)"
324,"(9263.23,)"
325,"(9263.23,)"
326,"(9263.23,)"
327,"(9263.23,)"
328,"(9263.23,)"
329,"(9263.23,)"
330,"(9263.23,)"
331,"(9263.23,)"
332,"(9263.23,)"
333,"(9263.23,)"
334,"(9263.23,)"
335,"(9263.23,)"
336,"(9263.23,)"
337,"(9263.23,)"
338,"(9263.23,)"
339,"(9263.23,)"
340,"(9263.23,)"
341,"(9263.23,)"
342,"(9263.23,)"
343,"(9263.23,)"
344,"(9263.23,)"
345,"(9263.23,)"
346,"(9263.23,)"
347,"(9263.23,)"
348,"(9263.23,)"
349,"(9263.23,)"
350,"(9263.23,)"
351,"(9263.23,)"
352,"(9263.23,)"
353,"(9263.23,)"
354,"(9263.23,)"
355,"(9263.23,)"
356,"(9263.23,)"
357,"(9263.23,)"
358,"(9263.23,)"
359,"(9263.23,)"
360,"(9263.23,)"
361,"(9263.23,)"
362,"(9263.23,)"
363,"(9263.23,)"
364,"(9263.23,)"
365,"(9263.23,)"
366,"(9263.23,)"
367,"(9263.23,)"
368,"(9263.23,)"
369,"(9263.23,)"
370,"(9263.23,)"
371,"(9263.23,)"
372,"(9263.23,)"
373,"(9263.23,)"
374,"(9263.23,)"
375,"(9263.23,)"
376,"(9263.23,)"
377,"(9263.23,)"
378,"(9263.23,)"
379,"(9263.23,)"
380,"(9263.23,)"
381,"(9263.23,)"
382,"(9263.23,)"
383,"(9263.23,)"
384,"(9263.23,)"
385,"(9263.23,)"
386,"(9263.23,)"
387,"(9263.23,)"
388,"(9263.23,)"
389,"(9263.23,)"
390,"(9263.23,)"
391,"(9263.23,)"
392,"(9263.23,)"
393,"(9263.23,)"
394,"(9263.23,)"
395,"(9263.23,)"
396,"(9263.23,)"
397,"(9263.23,)"
398,"(9263.23,)"
399,"(9263.23,)"
400,"(9263.23,)"
401,"(9263.23,)"
402,"(9263.23,)"
403,"(9263.23,)"
404,"(9263.23,)"
405,"(9263.23,)"
406,"(9263.23,)"
407,"(9263.23,)"
408,"(9263.23,)"
409,"(9263.23,)"
410,"(9263.23,)"
411,"(9263.23,)"
412,"(9263.23,)"
413,"(9263.23,)"
414,"(9263.23,)"
415,"(9263.23,)"
416,"(9263.23,)"
417,"(9263.23,)"
418,"(9263.23,)"
419,"(9263.23,)"
420,"(9263.23,)"
421,"(9263.23,)"
422,"(9263.23,)"
423,"(9263.23,)"
424,"(9263.23,)"
425,"(9263.23,)"
426,"(9263.23,)"
427,"(9263.23,)"
428,"(9263.23,)"
429,"(9263.23,)"
430,"(9263.23,)"
431,"(9263.23,)"
432,"(9263.23,)"
433,"(9263.23,)"
434,"(9263.23,)"
435,"(9263.23,)"
436,"(9263.23,)"
437,"(9263.23,)"
438,"(9263.23,)"
439,"(9263.23,)"
440,"(9263.23,)"
441,"(9263.23,)"
442,"(9263.23,)"
443,"(9263.23,)"
444,"(9263.23,)"
445,"(9263.23,)"
446,"(9263.23,)"
447,"(9263.23,)"
448,"(9263.23,)"
449,"(9263.23,)"
450,"(9263.23,)"
451,"(9263.23,)"
452,"(9216.86,)"
453,"(9216.86,)"
454,"(9216.86,)"
455,"(9216.86,)"
456,"(9216.86,)"
457,"(9216.86,)"
458,"(9216.86,)"
459,"(9216.86,)"
460,"(9216.86,)"
461,"(9216.86,)"
462,"(9216.86,)"
463,"(9216.86,)"
464,"(9216.86,)"
465,"(9216.86,)"
466,"(9216.86,)"
467,"(9216.86,)"
468,"(9216.86,)"
469,"(9216.86,)"
470,"(9216.86,)"
471,"(9216.86,)"
472,"(9216.86,)"
473,"(9216.86,)"
474,"(9216.86,)"
475,"(9216.86,)"
476,"(9216.86,)"
477,"(9216.86,)"
478,"(9216.86,)"
479,"(9216.86,)"
480,"(9216.86,)"
481,"(9216.86,)"
482,"(9216.86,)"
483,"(9216.86,)"
484,"(9216.86,)"
485,"(9216.86,)"
486,"(9216.86,)"
487,"(9216.86,)"
488,"(9216.86,)"
489,"(9216.86,)"
490,"(9216.86,)"
491,"(9216.86,)"
492,"(9216.86,)"
493,"(9216.86,)"
494,"(9216.86,)"
495,"(9216.86,)"
496,"(9216.86,)"
497,"(9216.86,)"
498,"(9216.86,)"
499,"(9216.86,)"
500,"(9216.86,)"
501,"(9216.86,)"
502,"(9216.86,)"
503,"(9216.86,)"
504,"(9216.86,)"
505,"(9216.86,)"
506,"(9216.86,)"
507,"(9216.86,)"
508,"(9216.86,)"
509,"(9216.86,)"
510,"(9216.86,)"
511,"(9216.86,)"
512,"(9216.86,)"
513,"(9216.86,)"
514,"(9216.86,)"
515,"(9216.86,)"
516,"(9216.86,)"
517,"(9216.86,)"
518,"(9216.86,)"
519,"(9216.86,)"
520,"(9216.86,)"
521,"(9216.86,)"
522,"(9216.86,)"
523,"(9216.86,)"
524,"(9216.86,)"
525,"(9216.86,)"
526,"(9216.86,)"
527,"(9216.86,)"
528,"(9216.86,)"
529,"(9216.86,)"
530,"(9216.86,)"
531,"(9216.86,)"
532,"(9216.86,)"
533,"(9216.86,)"
534,"(9216.86,)"
535,"(9216.86,)"
536,"(9216.86,)"
537,"(9216.86,)"
538,"(9216.86,)"
539,"(9216.86,)"
540,"(9216.86,)"
541,"(9216.86,)"
542,"(9216.86,)"
543,"(9216.86,)"
544,"(9216.86,)"
545,"(9216.86,)"
546,"(9216.86,)"
547,"(9216.86,)"
548,"(9216.86,)"
549,"(9216.86,)"
550,"(9216.86,)"
551,"(9216.86,)"
552,"(9216.86,)"
553,"(9216.86,)"
554,"(9216.86,)"
555,"(9216.86,)"
556,"(9216.86,)"
557,"(9216.86,)"
558,"(9216.86,)"
559,"(9216.86,)"
560,"(9216.86,)"
561,"(9216.86,)"
562,"(9216.86,)"
563,"(9216.86,)"
564,"(9216.86,)"
565,"(9216.86,)"
566,"(9216.86,)"
567,"(9216.86,)"
568,"(9216.86,)"
569,"(9216.86,)"
570,"(9216.86,)"
571,"(9216.86,)"
572,"(9216.86,)"
573,"(9216.86,)"
574,"(9216.86,)"
575,"(9216.86,)"
576,"(9216.86,)"
577,"(9216.86,)"
578,"(9216.86,)"
579,"(9216.86,)"
580,"(9216.86,)"
581,"(9216.86,)"
582,"(9216.86,)"
583,"(9216.86,)"
584,"(9216.86,)"
585,"(9216.86,)"
586,"(9216.86,)"
587,"(9216.86,)"
588,"(9216.86,)"
589,"(9216.86,)"
590,"(9216.86,)"
591,"(9216.86,)"
592,"(9216.86,)"
593,"(9216.86,)"
594,"(9216.86,)"
595,"(9216.86,)"
596,"(9216.86,)"
597,"(9216.86,)"
598,"(9216.86,)"
599,"(9216.86,)"
600,"(9216.86,)"
601,"(9216.86,)"
602,"(9216.86,)"
603,"(9216.86,)"
604,"(9216.86,)"
605,"(9216.86,)"
606,"(9216.86,)"
607,"(9216.86,)"
608,"(9216.86,)"
609,"(9216.86,)"
610,"(9216.86,)"
611,"(9216.86,)"
612,"(9216.86,)"
613,"(9216.86,)"
614,"(9216.86,)"
615,"(9216.86,)"
616,"(9216.86,)"
617,"(9216.86,)"
618,"(9216.86,)"
619,"(9216.86,)"
620,"(9216.86,)"
621,"(9216.86,)"
622,"(9216.86,)"
623,"(9216.86,)"
624,"(9216.86,)"
625,"(9216.86,)"
626,"(9216.86,)"
627,"(9216.86,)"
628,"(9216.86,)"
629,"(9216.86,)"
630,"(9216.86,)"
631,"(9216.86,)"
632,"(9216.86,)"
633,"(9216.86,)"
634,"(9216.86,)"
635,"(9216.86,)"
636,"(9216.86,)"
637,"(9216.86,)"
638,"(9216.86,)"
639,"(9216.86,)"
640,"(9216.86,)"
641,"(9216.86,)"
642,"(9216.86,)"
643,"(9216.86,)"
644,"(9216.86,)"
645,"(9216.86,)"
646,"(9216.86,)"
647,"(9216.86,)"
648,"(9216.86,)"
649,"(9216.86,)"
650,"(9216.86,)"
651,"(9216.86,)"
652,"(9216.86,)"
653,"(9216.86,)"
654,"(9216.86,)"
655,"(9216.86,)"
656,"(9216.86,)"
657,"(9216.86,)"
658,"(9216.86,)"
659,"(9216.86,)"
660,"(9216.86,)"
661,"(9216.86,)"
662,"(9216.86,)"
663,"(9216.86,)"
664,"(9216.86,)"
665,"(9216.86,)"
666,"(9216.86,)"
667,"(9216.86,)"
668,"(9216.86,)"
669,"(9216.86,)"
670,"(9216.86,)"
671,"(9216.86,)"
672,"(9216.86,)"
673,"(9216.86,)"
674,"(9216.86,)"
675,"(9216.86,)"
676,"(9216.86,)"
677,"(9216.86,)"
678,"(9216.86,)"
679,"(9216.86,)"
680,"(9216.86,)"
681,"(9216.86,)"
682,"(9216.86,)"
683,"(9216.86,)"
684,"(9216.86,)"
685,"(9216.86,)"
686,"(9216.86,)"
687,"(9216.86,)"
688,"(9216.86,)"
689,"(9216.86,)"
690,"(9216.86,)"
691,"(9216.86,)"
692,"(9216.86,)"
693,"(9216.86,)"
694,"(9216.86,)"
695,"(9216.86,)"
696,"(9216.86,)"
697,"(9216.86,)"
698,"(9216.86,)"
699,"(9216.86,)"
700,"(9216.86,)"
701,"(9216.86,)"
702,"(9216.86,)"
703,"(9216.86,)"
704,"(9216.86,)"
705,"(9216.86,)"
706,"(9216.86,)"
707,"(9216.86,)"
708,"(9216.86,)"
709,"(9216.86,)"
710,"(9216.86,)"
711,"(9216.86,)"
712,"(9216.86,)"
713,"(9216.86,)"
714,"(9216.86,)"
715,"(9216.86,)"
716,"(9216.86,)"
717,"(9216.86,)"
718,"(9216.86,)"
719,"(9216.86,)"
720,"(9216.86,)"
721,"(9216.86,)"
722,"(9216.86,)"
723,"(9216.86,)"
724,"(9216.86,)"
725,"(9216.86,)"
726,"(9216.86,)"
727,"(9216.86,)"
728,"(9216.86,)"
729,"(9216.86,)"
730,"(9216.86,)"
731,"(9216.86,)"
732,"(9216.86,)"
733,"(9216.86,)"
734,"(9216.86,)"
735,"(9216.86,)"
736,"(9216.86,)"
737,"(9216.86,)"
738,"(9216.86,)"
739,"(9216.86,)"
740,"(9216.86,)"
741,"(9216.86,)"
742,"(9216.86,)"
743,"(9216.86,)"
744,"(9216.86,)"
745,"(9216.86,)"
746,"(9216.86,)"
747,"(9216.86,)"
748,"(9216.86,)"
749,"(9216.86,)"
750,"(9216.86,)"
751,"(9216.86,)"
752,"(9216.86,)"
753,"(9216.86,)"
754,"(9216.86,)"
755,"(9216.86,)"
756,"(9216.86,)"
757,"(9216.86,)"
758,"(9216.86,)"
759,"(9216.86,)"
760,"(9216.86,)"
761,"(9216.86,)"
762,"(9216.86,)"
763,"(9216.86,)"
764,"(9216.86,)"
765,"(9216.86,)"
766,"(9216.86,)"
767,"(9216.86,)"
768,"(9216.86,)"
769,"(9216.86,)"
770,"(9216.86,)"
771,"(9216.86,)"
772,"(9216.86,)"
773,"(9216.86,)"
774,"(9216.86,)"
775,"(9216.86,)"
776,"(9216.86,)"
777,"(9216.86,)"
778,"(9216.86,)"
779,"(9216.86,)"
780,"(9216.86,)"
781,"(9216.86,)"
782,"(9216.86,)"
783,"(9216.86,)"
784,"(9216.86,)"
785,"(9216.86,)"
786,"(9216.86,)"
787,"(9216.86,)"
788,"(9216.86,)"
789,"(9216.86,)"
790,"(9216.86,)"
791,"(9216.86,)"
792,"(9216.86,)"
793,"(9216.86,)"
794,"(9216.86,)"
795,"(9216.86,)"
796,"(9216.86,)"
797,"(9216.86,)"
798,"(9216.86,)"
799,"(9216.86,)"
800,"(9216.86,)"
801,"(9216.86,)"
802,"(9216.86,)"
803,"(9216.86,)"
804,"(9216.86,)"
805,"(9216.86,)"
806,"(9216.86,)"
807,"(9216.86,)"
808,"(9216.86,)"
809,"(9216.86,)"
810,"(9216.86,)"
811,"(9216.86,)"
812,"(9216.86,)"
813,"(9216.86,)"
814,"(9216.86,)"
815,"(9216.86,)"
816,"(9216.86,)"
817,"(9216.86,)"
818,"(9216.86,)"
819,"(9216.86,)"
820,"(9216.86,)"
821,"(9216.86,)"
822,"(9216.86,)"
823,"(9216.86,)"
824,"(9216.86,)"
825,"(9216.86,)"
826,"(9216.86,)"
827,"(9216.86,)"
828,"(9216.86,)"
829,"(9216.86,)"
830,"(9216.86,)"
831,"(9216.86,)"
832,"(9216.86,)"
833,"(9216.86,)"
834,"(9216.86,)"
835,"(9216.86,)"
836,"(9216.86,)"
837,"(9216.86,)"
838,"(9216.86,)"
839,"(9216.86,)"
840,"(9216.86,)"
841,"(9216.86,)"
842,"(9216.86,)"
843,"(9216.86,)"
844,"(9216.86,)"
845,"(9216.86,)"
846,"(9216.86,)"
847,"(9216.86,)"
848,"(9216.86,)"
849,"(9216.86,)"
850,"(9216.86,)"
851,"(9216.86,)"
852,"(9216.86,)"
853,"(9216.86,)"
854,"(9216.86,)"
855,"(9216.86,)"
856,"(9216.86,)"
857,"(9216.86,)"
858,"(9216.86,)"
859,"(9216.86,)"
860,"(9216.86,)"
861,"(9216.86,)"
862,"(9216.86,)"
863,"(9216.86,)"
864,"(9216.86,)"
865,"(9216.86,)"
866,"(9216.86,)"
867,"(9216.86,)"
868,"(9216.86,)"
869,"(9216.86,)"
870,"(9216.86,)"
871,"(9216.86,)"
872,"(9216.86,)"
873,"(9216.86,)"
874,"(9216.86,)"
875,"(9216.86,)"
876,"(9216.86,)"
877,"(9216.86,)"
878,"(9216.86,)"
879,"(9216.86,)"
880,"(9216.86,)"
