index,type,fitness,vehicle,distance,satisfaction
1,定向,8943.2549,13,2048.627,77.07
2,定向,8943.2549,13,2048.627,77.07
3,定向,8943.2549,13,2048.627,77.07
4,定向,8943.2549,13,2048.627,77.07
5,定向,8943.2549,13,2048.627,77.07
6,定向,8943.2549,13,2048.627,77.07
7,定向,8553.5115,12,1823.756,76.67
8,定向,8553.5115,12,1823.756,76.67
9,定向,8553.5115,12,1823.756,76.67
10,定向,8553.5115,12,1823.756,76.67
11,定向,8111.3608,13,2192.68,82.67
12,定向,7941.6566,12,1730.828,78.8
13,定向,7941.6566,12,1730.828,78.8
14,定向,7941.6566,12,1730.828,78.8
15,定向,7941.6566,12,1730.828,78.8
16,定向,7941.6566,12,1730.828,78.8
17,定向,7941.6566,12,1730.828,78.8
18,定向,7941.6566,12,1730.828,78.8
19,定向,7681.41,13,2250.705,85.4
20,定向,7681.41,13,2250.705,85.4
21,定向,7681.41,13,2250.705,85.4
22,定向,7681.41,13,2250.705,85.4
23,定向,7681.41,13,2250.705,85.4
24,定向,7681.41,13,2250.705,85.4
25,定向,7524.6484,13,2179.324,85.47
26,定向,7524.6484,13,2179.324,85.47
27,定向,7524.6484,13,2179.324,85.47
28,定向,7411.8807,13,2197.94,86.22
29,定向,7411.8807,13,2197.94,86.22
30,定向,7411.8807,13,2197.94,86.22
31,定向,7411.8807,13,2197.94,86.22
32,定向,7411.8807,13,2197.94,86.22
33,定向,7411.8807,13,2197.94,86.22
34,定向,7411.8807,13,2197.94,86.22
35,定向,7130.0294,13,2224.015,87.89
36,定向,7130.0294,13,2224.015,87.89
37,定向,7130.0294,13,2224.015,87.89
38,定向,7130.0294,13,2224.015,87.89
39,定向,7130.0294,13,2224.015,87.89
40,定向,7130.0294,13,2224.015,87.89
41,定向,7130.0294,13,2224.015,87.89
42,定向,7130.0294,13,2224.015,87.89
43,定向,7130.0294,13,2224.015,87.89
44,定向,7130.0294,13,2224.015,87.89
45,定向,7130.0294,13,2224.015,87.89
46,定向,7130.0294,13,2224.015,87.89
47,定向,7012.352,13,2178.176,88.02
48,定向,7012.352,13,2178.176,88.02
49,定向,7012.352,13,2178.176,88.02
50,定向,7012.352,13,2178.176,88.02
51,定向,6955.3002,13,2196.65,88.49
52,定向,6933.7661,13,2185.883,88.49
53,定向,6933.7661,13,2185.883,88.49
54,定向,6933.7661,13,2185.883,88.49
55,定向,6933.7661,13,2185.883,88.49
56,定向,6933.7661,13,2185.883,88.49
57,定向,6933.7661,13,2185.883,88.49
58,定向,6933.7661,13,2185.883,88.49
59,定向,6933.7661,13,2185.883,88.49
60,定向,6933.7661,13,2185.883,88.49
