Generation,evals,avg,std,min,max,best_one,fitness_best_one
20,342,[ 77.94717666 553.40447179],[ 3.45127253 57.17269461],[ 72.         505.48599592],[ 80.83146306 649.3816018 ],"[12, 18, 22, 3, 10, 16, 19, 7, 2, 15, 6, 4, 5, 13, 1, 17, 9, 24, 20, 14, 8, 11, 23, 21, 25]","(80.8314630577923, 649.3816018012839)"
21,340,[ 77.79733955 565.12717597],[ 3.44634592 62.64335306],[ 72.         505.48599592],[ 84.         656.47603213],"[6, 18, 22, 3, 10, 16, 14, 7, 2, 15, 12, 20, 5, 13, 1, 17, 9, 24, 4, 8, 19, 11, 23, 21, 25]","(84.0, 656.4760321332938)"
22,338,[ 76.67857315 536.59264484],[ 3.49833607 48.25206498],[ 72.         503.65042148],[ 84.         703.70197763],"[6, 18, 22, 3, 10, 16, 14, 7, 2, 15, 12, 20, 5, 13, 1, 17, 9, 24, 4, 8, 19, 11, 23, 21, 25]","(84.0, 656.4760321332938)"
23,298,[ 78.6599308  553.64555571],[ 2.99468393 55.24730529],[ 72.         502.83997587],[ 84.         703.70197763],"[6, 18, 22, 3, 10, 16, 14, 7, 2, 15, 12, 20, 5, 13, 1, 17, 9, 24, 4, 8, 19, 11, 23, 21, 25]","(84.0, 656.4760321332938)"
24,344,[ 79.17150895 561.07546865],[ 2.83897795 55.72003419],[ 72.        500.8509949],[ 84.         690.74707704],"[6, 18, 22, 3, 20, 16, 14, 7, 2, 15, 12, 10, 5, 13, 1, 17, 9, 24, 4, 8, 19, 11, 23, 21, 25]","(84.0, 654.7847162001325)"
25,324,[ 78.38504534 559.86429142],[ 3.49318857 60.69060672],[ 72.         498.87990967],[ 84.         690.74707704],"[6, 18, 21, 3, 10, 16, 14, 7, 2, 15, 12, 20, 5, 13, 1, 17, 9, 24, 4, 8, 19, 11, 23, 22, 25]","(84.0, 653.5499507074384)"
26,342,[ 78.52931258 551.70160515],[ 3.27617951 55.99392036],[ 72.         498.87990967],[ 84.         657.47951266],"[6, 18, 22, 3, 10, 16, 14, 7, 2, 15, 12, 19, 9, 13, 1, 17, 5, 24, 4, 8, 20, 11, 23, 21, 25]","(84.0, 645.1494337388054)"
27,344,[ 77.65571759 534.00989781],[ 3.03225558 45.53278817],[ 72.         498.87990967],[ 84.        654.7847162],"[6, 18, 22, 3, 10, 16, 14, 7, 2, 15, 12, 20, 19, 13, 1, 17, 9, 24, 4, 8, 5, 11, 23, 21, 25]","(84.0, 630.9307698395764)"
28,336,[ 77.58554892 524.30047244],[ 2.70829412 38.10215202],[ 72.         497.93091329],[ 84.         653.54995071],"[6, 18, 22, 3, 24, 16, 14, 7, 2, 15, 12, 19, 9, 13, 1, 17, 5, 10, 4, 8, 20, 11, 23, 21, 25]","(84.0, 621.4550541074291)"
29,338,[ 78.99852356 540.79065095],[ 3.07499259 46.61028054],[ 72.         492.29118634],[ 84.         650.11390318],"[6, 18, 22, 3, 24, 16, 14, 7, 2, 15, 12, 19, 9, 13, 1, 17, 5, 10, 4, 8, 20, 11, 23, 21, 25]","(84.0, 621.4550541074291)"
30,348,[ 79.11797806 550.16098624],[ 3.32305831 43.67464003],[ 72.         491.01678966],[ 84.         645.14943374],"[6, 18, 22, 3, 10, 16, 14, 7, 2, 15, 12, 20, 1, 13, 19, 17, 9, 24, 4, 8, 5, 11, 23, 21, 25]","(84.0, 588.4993636851952)"
31,326,[ 78.20214848 533.67780988],[ 3.58161163 43.47209208],[ 72.         486.13207655],[ 84.         626.50658817],"[6, 18, 22, 20, 24, 16, 14, 7, 2, 15, 12, 19, 9, 13, 1, 17, 5, 10, 4, 8, 3, 11, 23, 21, 25]","(84.0, 571.1032866152376)"
32,332,[ 76.94906701 521.03265827],[ 3.88723861 37.99532803],[ 72.         486.13207655],[ 84.         621.45505411],"[6, 18, 22, 20, 24, 16, 14, 7, 2, 15, 12, 19, 9, 13, 1, 17, 5, 10, 4, 8, 3, 11, 23, 21, 25]","(84.0, 571.1032866152376)"
33,340,[ 78.42126605 530.99966197],[ 4.0510029  43.72592394],[ 72.         486.13207655],[ 84.         636.98315708],"[6, 18, 22, 20, 24, 16, 14, 7, 2, 15, 12, 19, 9, 13, 1, 17, 5, 10, 4, 8, 3, 11, 23, 21, 25]","(84.0, 571.1032866152376)"
34,360,[ 79.32926727 528.23409612],[ 3.10187285 38.83000252],[ 72.         486.13207655],[ 84.         617.05957525],"[6, 18, 22, 20, 24, 16, 14, 7, 2, 15, 12, 19, 9, 13, 10, 17, 5, 1, 4, 8, 3, 11, 23, 21, 25]","(84.0, 547.1072400414189)"
35,338,[ 78.40755447 516.41481002],[ 3.38629918 30.46416854],[ 72.         486.13207655],[ 84.         588.26760711],"[6, 18, 22, 20, 24, 16, 14, 7, 2, 15, 12, 19, 9, 13, 10, 17, 5, 1, 4, 8, 3, 11, 23, 21, 25]","(84.0, 547.1072400414189)"
36,346,[ 78.85494893 519.56428398],[ 3.35133451 31.93225997],[ 72.         481.78982195],[ 84.         580.79914908],"[6, 18, 22, 20, 24, 16, 14, 7, 2, 15, 12, 19, 9, 13, 10, 17, 5, 1, 4, 8, 3, 11, 23, 21, 25]","(84.0, 547.1072400414189)"
37,344,[ 77.87384411 506.70098071],[ 3.14249394 22.79513447],[ 72.         481.47264369],[ 84.         554.61896226],"[6, 18, 22, 20, 24, 16, 14, 7, 2, 15, 12, 19, 9, 13, 10, 17, 5, 1, 4, 8, 3, 11, 23, 21, 25]","(84.0, 547.1072400414189)"
38,344,[ 76.4603705  498.62703723],[ 2.99558457 18.58423921],[ 72.         481.47264369],[ 84.         554.26975113],"[17, 18, 22, 20, 24, 16, 14, 7, 2, 15, 12, 19, 9, 13, 10, 6, 5, 1, 4, 8, 3, 11, 23, 21, 25]","(84.0, 510.9928876102279)"
39,338,[ 76.36064871 498.33275392],[ 3.7342122 19.723122 ],[ 69.68214892 481.47264369],[ 84.         554.26975113],"[17, 18, 22, 20, 24, 16, 14, 7, 2, 15, 12, 19, 9, 13, 10, 6, 5, 1, 4, 8, 3, 11, 23, 21, 25]","(84.0, 510.9928876102279)"
40,338,[ 76.67712553 501.86604577],[ 4.81936915 24.40475627],[ 69.68214892 481.47264369],[ 84.         554.26975113],"[17, 18, 22, 20, 24, 16, 14, 7, 2, 15, 12, 19, 9, 13, 10, 6, 5, 1, 4, 8, 3, 11, 23, 21, 25]","(84.0, 510.9928876102279)"
41,336,[ 79.52687936 510.50395633],[ 3.94085489 26.31354482],[ 69.68214892 481.47264369],[ 84.         554.11361044],"[17, 18, 22, 20, 24, 16, 14, 7, 2, 15, 12, 19, 9, 13, 10, 6, 5, 1, 4, 8, 3, 11, 23, 21, 25]","(84.0, 510.9928876102279)"
42,320,[ 77.77496452 498.35996967],[ 4.03200714 18.91120419],[ 69.68214892 479.39850265],[ 84.        542.8175487],"[17, 18, 22, 20, 24, 16, 14, 7, 2, 15, 12, 19, 9, 13, 10, 6, 5, 1, 4, 8, 3, 11, 23, 21, 25]","(84.0, 510.9928876102279)"
43,330,[ 78.41490801 502.60397298],[ 3.86944403 20.67338673],[ 69.03871962 475.56660755],[ 84.        542.8175487],"[17, 18, 22, 20, 24, 16, 14, 7, 2, 15, 19, 12, 9, 13, 10, 6, 5, 1, 4, 8, 3, 11, 23, 21, 25]","(84.0, 507.94943694814873)"
44,352,[ 77.23706984 491.42446354],[ 4.3738525  12.58778361],[ 69.03871962 475.56660755],[ 84.         533.14306793],"[17, 18, 22, 20, 24, 16, 14, 7, 2, 15, 19, 12, 9, 13, 10, 6, 5, 1, 4, 8, 3, 11, 23, 21, 25]","(84.0, 507.94943694814873)"
45,330,[ 77.3516292  491.10879391],[ 4.89553922 13.08649749],[ 72.         466.78313258],[ 84.         511.05373359],"[17, 18, 22, 20, 24, 16, 14, 7, 2, 15, 19, 12, 9, 13, 10, 6, 5, 1, 4, 8, 3, 11, 23, 21, 25]","(84.0, 507.94943694814873)"
46,350,[ 75.25049424 486.47351548],[ 4.23004421 11.24703643],[ 72.         466.78313258],[ 84.         510.99288761],"[17, 18, 22, 20, 24, 16, 14, 7, 2, 15, 19, 12, 9, 13, 10, 6, 5, 1, 4, 8, 3, 11, 23, 21, 25]","(84.0, 507.94943694814873)"
47,340,[ 74.74653122 484.21021604],[3.60233556 8.82469942],[ 69.03871962 466.78313258],[ 84.         510.99288761],"[17, 18, 22, 20, 24, 16, 14, 7, 2, 15, 12, 19, 9, 13, 10, 8, 5, 1, 4, 6, 3, 11, 23, 21, 25]","(84.0, 505.2477405650857)"
48,338,[ 75.91321834 485.89529619],[ 4.31047732 11.02713294],[ 69.03871962 466.78313258],[ 84.         509.43663459],"[17, 18, 22, 20, 24, 16, 14, 7, 2, 15, 12, 19, 9, 13, 10, 8, 5, 1, 4, 6, 3, 11, 23, 21, 25]","(84.0, 505.2477405650857)"
49,342,[ 77.80478545 488.41435576],[ 4.67513295 13.54177765],[ 69.03484209 464.3401026 ],[ 84.         509.70679626],"[17, 18, 22, 20, 24, 16, 14, 7, 2, 15, 12, 19, 9, 13, 10, 8, 5, 1, 4, 6, 3, 11, 23, 21, 25]","(84.0, 505.2477405650857)"
50,346,[ 75.99545613 481.29790078],[3.82907187 9.96062107],[ 69.03484209 464.3401026 ],[ 84.         507.94943695],"[17, 18, 22, 20, 9, 16, 14, 7, 2, 15, 19, 12, 24, 13, 10, 6, 5, 1, 4, 8, 3, 11, 23, 21, 25]","(84.0, 504.4411489263295)"
51,330,[ 76.44080656 480.20594106],[3.12078333 9.593774  ],[ 69.03484209 464.3401026 ],[ 84.         505.97468908],"[17, 18, 22, 20, 9, 16, 14, 7, 2, 15, 19, 12, 24, 13, 10, 6, 5, 1, 4, 8, 3, 11, 23, 21, 25]","(84.0, 504.4411489263295)"
52,328,[ 77.23890444 483.12286169],[2.63240143 7.96752157],[ 72.         463.78712081],[ 84.        505.3562394],"[17, 18, 22, 20, 9, 16, 14, 7, 2, 15, 19, 12, 24, 13, 10, 6, 5, 1, 4, 8, 3, 11, 23, 21, 25]","(84.0, 504.4411489263295)"
53,342,[ 76.25318463 480.76790657],[1.99506365 7.08016962],[ 68.         463.78712081],[ 84.         505.24774057],"[17, 18, 22, 20, 24, 16, 14, 7, 2, 15, 12, 19, 9, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 501.9179155472708)"
54,340,[ 76.57819012 480.70694002],[ 2.7795897  10.08659414],[ 68.         461.24139023],[ 84.         541.21004539],"[17, 18, 22, 20, 24, 16, 14, 7, 2, 15, 12, 19, 9, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 501.9179155472708)"
55,350,[ 76.86331578 479.78358141],[ 3.18626809 11.42085766],[ 72.         461.24139023],[ 84.         505.24774057],"[17, 18, 22, 20, 24, 16, 14, 7, 2, 15, 19, 12, 9, 13, 10, 8, 5, 6, 4, 1, 3, 11, 21, 23, 25]","(84.0, 498.8744648851916)"
